source,target,color,edge
ZMYND11,EZH1,1,pp
ZMYND8,SMARCA4,6,pp
SMARCE1,ARID1A,6,pp
CBX5,MECP2,5,pp
ZMYND11,EP400,1,pp
PCGF2,RING1,6,pp
GTF2F1,POLR2B,2,pp
MECP2,ATRX,4,pp
ATRX,MECP2,1,pp
MBD1,CBX4,5,pp
PHF8,WDR5,6,pp
PHF8,ASH2L,6,pp
CBX5,ATRX,5,pp
UBE2E1,RING1,4,pp
DNMT1,SETD7,4,pp
SETD7,DNMT1,4,pp
PRKAA1,PARP1,4,pp
PRMT5,DNMT3A,4,pp
EHMT2,UHRF1,1,pp
SIN3A,NCOR1,5,pp
HDAC1,SMARCA4,2,pp
HDAC2,SMARCA4,2,pp
HDAC3,SMARCA4,4,pp
KDM4A,KDM4A,5,pp
KDM4C,KDM4A,5,pp
KDM4A,KDM4C,5,pp
KDM4C,KDM4C,5,pp
BRD2,BRD2,2,pp
UHRF1,DNMT3A,4,pp
UHRF1,DNMT3B,4,pp
DNMT3A,UHRF1,3,pp
DNMT3B,UHRF1,5,pp
UHRF1,EHMT2,4,pp
CBX7,HDAC2,1,pp
EHMT2,CBX1,1,pp
EZH1,EZH1,1,pp
CHD1L,PARP1,5,pp
CHD1L,RPA3,5,pp
CHD1L,H2AFZ,5,pp
EHMT2,DNMT1,1,pp
DNMT1,EHMT2,4,pp
CHD1L,CBX1,5,pp
CHD1L,CBX3,5,pp
CHD1L,CBX5,5,pp
ARID1A,SMARCC1,5,pp
SMARCC1,ARID1A,6,pp
CBX7,PCGF6,1,pp
CBX7,PHC2,1,pp
PCGF2,PHC1,6,pp
PCGF2,PHC3,6,pp
PCGF2,PHC2,6,pp
PCGF2,CBX4,6,pp
CBX7,PCGF2,1,pp
MEN1,ASH2L,5,pp
PRMT5,SMARCA4,4,pp
SMARCA4,PRMT5,6,pp
GTF2H1,BRPF1,4,pp
NCOA3,EHMT2,5,pp
RBBP7,HDAC1,1,pp
NCOA3,CARM1,5,pp
CARM1,NCOA3,1,pp
SMARCA1,PARP1,6,pp
MBD2,PRMT5,4,pp
SMARCC1,SMARCA4,6,pp
SMARCC1,SMARCE1,6,pp
SMARCE1,ARID2,6,pp
SMARCE1,BRD7,6,pp
SMARCE1,SMARCD1,6,pp
BRD7,ARID2,4,pp
BRD7,SMARCA4,4,pp
BRD7,SMARCC1,4,pp
BRPF1,ING5,2,pp
SMARCA4,BRD7,6,pp
SMARCA4,SMARCD3,6,pp
SMARCA4,SMARCD1,6,pp
SMARCA4,ARID2,6,pp
CHAF1A,CHAF1A,4,pp
SIN3A,ID2,5,pp
ARID1B,SMARCC1,3,pp
SUV39H1,RUNX3,4,pp
SUV39H1,MECOM,4,pp
EHMT2,MECOM,1,pp
HDAC3,MBD1,4,pp
PRMT5,MBD2,4,pp
NCOR2,BCL6,2,pp
SMARCA1,BPTF,6,pp
SMARCA1,RBBP7,6,pp
BPTF,RBBP7,1,pp
BPTF,SMARCA1,1,pp
SMARCA4,SMARCD2,6,pp
PRMT5,SIN3A,4,pp
PRMT5,SMARCE1,4,pp
SIN3A,PRMT5,5,pp
SMARCC1,PRMT5,6,pp
SIN3A,SMARCE1,5,pp
SIN3B,SMARCA4,6,pp
SIN3B,SMARCE1,6,pp
MEN1,SIN3A,5,pp
MEN1,HDAC1,5,pp
MEN1,HDAC2,5,pp
SMARCA4,CHD4,6,pp
CHD4,SMARCA4,5,pp
SMARCA5,SIN3A,5,pp
SMARCC1,ARID1B,6,pp
SMARCC1,SMARCC1,6,pp
CHD4,SMARCC1,5,pp
PARP1,GTF2F1,5,pp
GTF2F1,PARP1,2,pp
PARP1,PARP1,5,pp
PARP1,HDAC1,5,pp
PARP1,HDAC2,5,pp
PARP1,HDAC3,5,pp
HDAC1,HES1,2,pp
SIN3A,TAF1,5,pp
BCL6,HDAC2,3,pp
SMARCA4,ACTL6B,6,pp
ACTL6B,SMARCA4,4,pp
SMARCA4,SMARCA4,6,pp
SMARCE1,HDAC1,6,pp
SMARCA4,HDAC1,6,pp
SMARCE1,HDAC2,6,pp
SIN3B,SIN3A,6,pp
SIN3A,SIN3B,5,pp
SUV39H1,CBX4,4,pp
CBX4,SUV39H1,1,pp
NCOR1,NCOA3,2,pp
NCOA3,NCOR1,5,pp
NCOR1,BCL6,2,pp
KDM4A,NCOR1,5,pp
WDR5,KMT2D,4,pp
SIN3B,HDAC2,6,pp
KDM4A,HDAC1,5,pp
KDM4A,HDAC3,5,pp
ATRX,CBX5,1,pp
CBX5,CHAF1B,5,pp
CBX5,CHD4,5,pp
RBBP7,HAT1,1,pp
DNMT3B,HDAC2,5,pp
HDAC2,DNMT3B,2,pp
PHF1,RBBP7,5,pp
PARP1,HES1,5,pp
PARP1,TAF1,5,pp
HES1,PARP1,6,pp
PARP1,CARM1,5,pp
MBD2,RBBP7,4,pp
RING1,PHC2,6,pp
DNMT1,SMARCA5,4,pp
SMARCA5,DNMT1,5,pp
SMARCE1,CHD4,6,pp
CHD4,SMARCE1,5,pp
ATM,HDAC1,1,pp
HDAC1,ATM,2,pp
ARID1B,ARID1A,3,pp
ARID1A,SMARCA4,5,pp
SMARCA5,DNMT3B,5,pp
DNMT3B,SUV39H1,5,pp
CBX3,DNMT3B,2,pp
SUV39H1,DNMT3B,4,pp
DNMT3B,DNMT1,5,pp
CHD4,SIN3A,5,pp
CHD4,RBBP7,5,pp
RBBP7,CHD4,1,pp
SIN3A,BCL6,5,pp
ATAD2,NCOA3,3,pp
EHMT2,EHMT2,1,pp
EHMT2,CBX5,1,pp
EHMT2,CBX3,1,pp
DNMT3A,CBX4,3,pp
CBX4,DNMT3A,1,pp
CARM1,ARID1A,1,pp
CARM1,SMARCA4,1,pp
CARM1,SMARCC1,1,pp
CARM1,SMARCE1,1,pp
CARM1,SMARCD1,1,pp
SMARCA4,CARM1,6,pp
ATM,PARP1,1,pp
KMT2D,ASH2L,4,pp
KMT2D,WDR5,4,pp
KMT2B,ASH2L,4,pp
KDM4A,SMARCA4,5,pp
KDM4A,ARID1B,5,pp
KDM4C,SMARCA4,5,pp
KDM4C,ARID1B,5,pp
EHMT2,PRDM5,1,pp
PRDM5,EHMT2,5,pp
HDAC1,PRDM5,2,pp
PRDM5,HDAC1,5,pp
KDM2B,CBX3,6,pp
KDM2B,RING1,6,pp
KDM2B,WDR5,6,pp
ING4,ING4,1,pp
