source,target,color,edge
EP400,ACTL6B,2,pp
EP400,EPC2,2,pp
EP400,ING3,2,pp
POLR2B,POLR2B,5,pp
CHD4,H2AFZ,5,pp
CHAF1B,CBX3,5,pp
CBX1,CHAF1B,1,pp
CBX1,EHMT2,1,pp
CBX1,HDAC2,1,pp
CBX1,PCGF6,1,pp
CBX1,RING1,1,pp
CBX1,WDR5,1,pp
CBX3,HDAC2,2,pp
CBX3,WDR5,2,pp
CBX4,KDM2B,1,pp
CBX4,PCGF5,1,pp
CBX4,PCGF6,1,pp
CBX5,HDAC2,5,pp
CBX5,PCGF6,5,pp
CBX7,PHC1,1,pp
EHMT2,WDR5,1,pp
EZH1,PHF1,1,pp
SUV39H1,CHD4,4,pp
WDR5,CBX3,4,pp
WDR5,MEN1,4,pp
WDR5,RING1,4,pp
PHC2,CBX7,3,pp
PHC3,CBX7,4,pp
RING1,CBX3,6,pp
RING1,CBX6,6,pp
RING1,CBX7,6,pp
RING1,KDM2B,6,pp
RING1,PCGF5,6,pp
RING1,PCGF6,6,pp
RING1,PHC3,6,pp
BRD4,KMT2A,5,pp
BRD4,KDM4C,5,pp
KDM6B,KDM3A,6,pp
BRD4,BRD4,5,pp
KDM3A,PRMT5,4,pp
BRD4,KDM6B,5,pp
PRMT5,HDAC1,4,pp
PHF8,PRMT5,6,pp
PRMT5,EZH1,4,pp
BRD4,KDM2B,5,pp
KDM6B,PRMT5,6,pp
BRD4,PRMT5,5,pp
PRMT5,DNMT1,4,pp
KDM4A,PRMT5,5,pp
PRMT6,PRMT5,4,pp
KDM2B,PRMT5,6,pp
KDM6B,KMT2A,6,pp
BRD4,KDM3A,5,pp
KDM6B,PRMT7,6,pp
KDM4C,PRMT5,5,pp
PRMT5,MBD1,4,pp
ING3,BRD4,2,pp
PRMT5,CARM1,4,pp
HIRA,SMARCC1,1,pp
HIRA,SMARCA4,1,pp
SMARCA4,HIRA,6,pp
ATRX,MEN1,1,pp
CHD4,EHMT2,5,pp
EHMT2,CHD4,1,pp
POLR2B,ZMYND8,5,pp
ZMYND8,POLR2B,6,pp
CHD4,KMT2A,5,pp
CHD4,BRD2,5,pp
CHD4,ARID1A,5,pp
CHD4,SMARCA5,5,pp
CHD4,MBD2,5,pp
CHD4,BAZ1B,5,pp
CHD4,CBX1,5,pp
CHD4,CBX3,5,pp
CHD4,BOP1,5,pp
CHD4,ZMYND8,5,pp
CHD4,BRD1,5,pp
CHD4,PAF1,5,pp
CHD4,IWS1,5,pp
CHD4,CBX5,5,pp
SIRT6,SMARCA5,5,pp
SMARCA5,SIRT6,5,pp
HES1,KDM6B,6,pp
KDM6B,KDM6B,6,pp
KDM6B,CBX3,6,pp
KDM6B,FKBP5,6,pp
PAF1,SMARCD3,4,pp
EP400,MEN1,2,pp
MBD2,PAF1,4,pp
ARID1A,RBBP7,5,pp
PAF1,PHC3,4,pp
EP400,HCFC1,2,pp
PAF1,PHC1,4,pp
INO80,MEN1,3,pp
EPC1,PHC2,5,pp
HCFC1,PAF1,6,pp
BRD2,CARM1,2,pp
CARM1,DOT1L,1,pp
PRKAA1,RBBP7,4,pp
