source,target,color,edge,source_n,target_n,sourcesize,targetsize
CHAF1A,MBD1,4,pp,23,8,4.795831523312719,2.8284271247461903
CBX5,SUV39H1,5,pp,36,24,6.0,4.898979485566356
RING1,CBX4,6,pp,28,23,5.291502622129181,4.795831523312719
ARID1B,SMARCA4,3,pp,17,49,4.123105625617661,7.0
PHC1,PHC2,6,pp,16,17,4.0,4.123105625617661
SUV39H1,CBX5,4,pp,24,36,4.898979485566356,6.0
KMT2A,ASH2L,4,pp,22,12,4.69041575982343,3.4641016151377544
KMT2A,HCFC1,4,pp,22,16,4.69041575982343,4.0
ASH2L,MEN1,2,pp,12,14,3.4641016151377544,3.7416573867739413
HCFC1,MEN1,6,pp,16,14,4.0,3.7416573867739413
KMT2A,MEN1,4,pp,22,14,4.69041575982343,3.7416573867739413
ASH2L,KMT2A,2,pp,12,22,3.4641016151377544,4.69041575982343
HCFC1,KMT2A,6,pp,16,22,4.0,4.69041575982343
MEN1,KMT2A,5,pp,14,22,3.7416573867739413,4.69041575982343
WDR5,KMT2A,4,pp,28,22,5.291502622129181,4.69041575982343
ASH2L,WDR5,2,pp,12,28,3.4641016151377544,5.291502622129181
HCFC1,WDR5,6,pp,16,28,4.0,5.291502622129181
MEN1,WDR5,5,pp,14,28,3.7416573867739413,5.291502622129181
KMT2A,WDR5,4,pp,22,28,4.69041575982343,5.291502622129181
ASH2L,HCFC1,2,pp,12,16,3.4641016151377544,4.0
HDAC1,HDAC2,2,pp,58,47,7.615773105863909,6.855654600401044
HCFC1,SIN3A,6,pp,16,32,4.0,5.656854249492381
DNMT3B,SIN3A,5,pp,27,32,5.196152422706632,5.656854249492381
DNMT3B,HDAC1,5,pp,27,58,5.196152422706632,7.615773105863909
DNMT3B,SMARCA5,5,pp,27,19,5.196152422706632,4.358898943540674
DNMT3A,DNMT3B,3,pp,20,27,4.47213595499958,5.196152422706632
CBX7,RING1,1,pp,13,28,3.605551275463989,5.291502622129181
NCOR1,KDM4A,2,pp,20,9,4.47213595499958,3.0
NCOR1,HDAC3,2,pp,20,18,4.47213595499958,4.242640687119285
NCOR1,TRIM33,2,pp,20,7,4.47213595499958,2.6457513110645907
NCOR2,HDAC3,2,pp,14,18,3.7416573867739413,4.242640687119285
HDAC1,SIN3A,2,pp,58,32,7.615773105863909,5.656854249492381
HDAC2,SIN3A,2,pp,47,32,6.855654600401044,5.656854249492381
HDAC1,CHD4,2,pp,58,44,7.615773105863909,6.6332495807108
HDAC1,RBBP7,2,pp,58,31,7.615773105863909,5.5677643628300215
SMARCD1,SMARCA4,2,pp,21,49,4.58257569495584,7.0
SMARCD1,SMARCC1,2,pp,21,28,4.58257569495584,5.291502622129181
DNMT3B,CBX5,5,pp,27,36,5.196152422706632,6.0
CBX5,DNMT3B,5,pp,36,27,6.0,5.196152422706632
DNMT1,DNMT3B,4,pp,33,27,5.744562646538029,5.196152422706632
DNMT1,CBX5,4,pp,33,36,5.744562646538029,6.0
DNMT3A,CBX5,3,pp,20,36,4.47213595499958,6.0
KMT2A,HDAC1,4,pp,22,58,4.69041575982343,7.615773105863909
CBX4,KMT2A,1,pp,23,22,4.795831523312719,4.69041575982343
KMT2A,CBX4,4,pp,22,23,4.69041575982343,4.795831523312719
SIN3A,HDAC1,5,pp,32,58,5.656854249492381,7.615773105863909
SIN3A,HDAC2,5,pp,32,47,5.656854249492381,6.855654600401044
SUV39H1,DNMT3A,4,pp,24,20,4.898979485566356,4.47213595499958
DNMT3A,SUV39H1,3,pp,20,24,4.47213595499958,4.898979485566356
DNMT1,SUV39H1,4,pp,33,24,5.744562646538029,4.898979485566356
DNMT1,CBX1,4,pp,33,25,5.744562646538029,5.0
DNMT3A,CBX1,3,pp,20,25,4.47213595499958,5.0
MBD1,SUV39H1,5,pp,8,24,2.8284271247461903,4.898979485566356
MBD1,CBX5,5,pp,8,36,2.8284271247461903,6.0
MBD1,CHAF1A,5,pp,8,23,2.8284271247461903,4.795831523312719
CBX5,CHAF1A,5,pp,36,23,6.0,4.795831523312719
CBX5,MBD1,5,pp,36,8,6.0,2.8284271247461903
CHAF1B,CBX5,5,pp,8,36,2.8284271247461903,6.0
HCFC1,HDAC1,6,pp,16,58,4.0,7.615773105863909
HCFC1,HDAC2,6,pp,16,47,4.0,6.855654600401044
HCFC1,RBBP7,6,pp,16,31,4.0,5.5677643628300215
HCFC1,SIN3B,6,pp,16,11,4.0,3.3166247903554
SIN3A,HCFC1,5,pp,32,16,5.656854249492381,4.0
HDAC3,NCOR1,4,pp,18,20,4.242640687119285,4.47213595499958
HDAC3,NCOR2,4,pp,18,14,4.242640687119285,3.7416573867739413
HDAC2,CHD4,2,pp,47,44,6.855654600401044,6.6332495807108
HDAC2,RBBP7,2,pp,47,31,6.855654600401044,5.5677643628300215
