source,target,color,edge,source_n,target_n,sourcesize,targetsize
HDAC2,HDAC1,2,pp,47,58,6.855654600401044,7.615773105863909
MBD2,HDAC1,4,pp,14,58,3.7416573867739413,7.615773105863909
MBD2,HDAC2,4,pp,14,47,3.7416573867739413,6.855654600401044
HDAC2,DNMT1,2,pp,47,33,6.855654600401044,5.744562646538029
DNMT1,HDAC2,4,pp,33,47,5.744562646538029,6.855654600401044
HDAC1,NCOR2,2,pp,58,14,7.615773105863909,3.7416573867739413
NCOR2,HDAC1,2,pp,14,58,3.7416573867739413,7.615773105863909
CHD4,HDAC2,5,pp,44,47,6.6332495807108,6.855654600401044
NCOR1,SIN3A,2,pp,20,32,4.47213595499958,5.656854249492381
SMARCA4,SMARCC1,6,pp,49,28,7.0,5.291502622129181
SMARCA4,SIN3A,6,pp,49,32,7.0,5.656854249492381
SMARCA4,HDAC2,6,pp,49,47,7.0,6.855654600401044
SIN3A,SMARCC1,5,pp,32,28,5.656854249492381,5.291502622129181
SIN3A,SMARCA4,5,pp,32,49,5.656854249492381,7.0
DNMT1,HDAC1,4,pp,33,58,5.744562646538029,7.615773105863909
BCL6,NCOR2,3,pp,13,14,3.605551275463989,3.7416573867739413
BCL6,NCOR1,3,pp,13,20,3.605551275463989,4.47213595499958
HDAC1,MBD2,2,pp,58,14,7.615773105863909,3.7416573867739413
SMARCA4,ARID1A,6,pp,49,23,7.0,4.795831523312719
SMARCA4,SMARCE1,6,pp,49,26,7.0,5.0990195135927845
CBX5,SMARCA4,5,pp,36,49,6.0,7.0
SMARCA4,ARID1B,6,pp,49,17,7.0,4.123105625617661
ARID1B,SMARCD1,3,pp,17,21,4.123105625617661,4.58257569495584
RBBP7,SIN3A,1,pp,31,32,5.5677643628300215,5.656854249492381
SMARCA5,BAZ1B,5,pp,19,8,4.358898943540674,2.8284271247461903
BAZ1B,SMARCA5,1,pp,8,19,2.8284271247461903,4.358898943540674
HDAC1,SIN3B,2,pp,58,11,7.615773105863909,3.3166247903554
SIN3B,HDAC1,6,pp,11,58,3.3166247903554,7.615773105863909
CHD4,HDAC1,5,pp,44,58,6.6332495807108,7.615773105863909
HDAC1,BCL6,2,pp,58,13,7.615773105863909,3.605551275463989
DNMT3A,HDAC1,3,pp,20,58,4.47213595499958,7.615773105863909
HDAC1,DNMT3A,2,pp,58,20,7.615773105863909,4.47213595499958
NCOR2,NCOR1,2,pp,14,20,3.7416573867739413,4.47213595499958
NCOR2,SMARCA4,2,pp,14,49,3.7416573867739413,7.0
NCOR2,SIN3A,2,pp,14,32,3.7416573867739413,5.656854249492381
NCOR1,SMARCA4,2,pp,20,49,4.47213595499958,7.0
NCOR1,SMARCC1,2,pp,20,28,4.47213595499958,5.291502622129181
NCOR2,HDAC2,2,pp,14,47,3.7416573867739413,6.855654600401044
SMARCE1,SMARCA4,6,pp,26,49,5.0990195135927845,7.0
SMARCE1,SMARCC1,6,pp,26,28,5.0990195135927845,5.291502622129181
SMARCA5,HDAC2,5,pp,19,47,4.358898943540674,6.855654600401044
HDAC2,SMARCA5,2,pp,47,19,6.855654600401044,4.358898943540674
CBX4,RING1,1,pp,23,28,4.795831523312719,5.291502622129181
PHC1,CBX4,6,pp,16,23,4.0,4.795831523312719
RING1,PHC1,6,pp,28,16,5.291502622129181,4.0
CBX4,PHC1,1,pp,23,16,4.795831523312719,4.0
PHC2,PHC1,3,pp,17,16,4.123105625617661,4.0
SUV39H1,CBX1,4,pp,24,25,4.898979485566356,5.0
CBX1,SUV39H1,1,pp,25,24,5.0,4.898979485566356
SUV39H1,HDAC1,4,pp,24,58,4.898979485566356,7.615773105863909
SUV39H1,HDAC2,4,pp,24,47,4.898979485566356,6.855654600401044
SUV39H1,HDAC3,4,pp,24,18,4.898979485566356,4.242640687119285
SUV39H1,RBBP7,4,pp,24,31,4.898979485566356,5.5677643628300215
MBD2,SIN3A,4,pp,14,32,3.7416573867739413,5.656854249492381
SIN3A,RBBP7,5,pp,32,31,5.656854249492381,5.5677643628300215
CHAF1B,CHAF1A,5,pp,8,23,2.8284271247461903,4.795831523312719
DNMT1,DNMT3A,4,pp,33,20,5.744562646538029,4.47213595499958
CBX1,CBX3,1,pp,25,31,5.0,5.5677643628300215
CBX1,CBX5,1,pp,25,36,5.0,6.0
CBX3,CBX1,2,pp,31,25,5.5677643628300215,5.0
CBX3,CBX5,2,pp,31,36,5.5677643628300215,6.0
CBX5,CBX1,5,pp,36,25,6.0,5.0
CBX5,CBX3,5,pp,36,31,6.0,5.5677643628300215
MECP2,NCOR1,4,pp,15,20,3.872983346207417,4.47213595499958
NCOR1,MECP2,2,pp,20,15,4.47213595499958,3.872983346207417
CHAF1A,CBX5,4,pp,23,36,4.795831523312719,6.0
TRIM33,TRIM24,1,pp,7,10,2.6457513110645907,3.1622776601683795
TRIM24,TRIM33,1,pp,10,7,3.1622776601683795,2.6457513110645907
BCL6,SIN3A,3,pp,13,32,3.605551275463989,5.656854249492381
BCL6,HDAC1,3,pp,13,58,3.605551275463989,7.615773105863909
UHRF1,DNMT1,4,pp,19,33,4.358898943540674,5.744562646538029
UHRF1,HDAC1,4,pp,19,58,4.358898943540674,7.615773105863909
HDAC1,UHRF1,2,pp,58,19,7.615773105863909,4.358898943540674
HDAC1,DNMT1,2,pp,58,33,7.615773105863909,5.744562646538029
DNMT1,UHRF1,4,pp,33,19,5.744562646538029,4.358898943540674
MECP2,SIN3A,4,pp,15,32,3.872983346207417,5.656854249492381
SIN3A,MECP2,5,pp,32,15,5.656854249492381,3.872983346207417
MBD2,DNMT1,4,pp,14,33,3.7416573867739413,5.744562646538029
CBX3,RING1,2,pp,31,28,5.5677643628300215,5.291502622129181
CBX3,PCGF6,2,pp,31,15,5.5677643628300215,3.872983346207417
MECP2,SUV39H1,4,pp,15,24,3.872983346207417,4.898979485566356
MECP2,DNMT1,4,pp,15,33,3.872983346207417,5.744562646538029
MECP2,HDAC1,4,pp,15,58,3.872983346207417,7.615773105863909
HDAC1,MECP2,2,pp,58,15,7.615773105863909,3.872983346207417
MECP2,SMARCE1,4,pp,15,26,3.872983346207417,5.0990195135927845
WDR5,ASH2L,4,pp,28,12,5.291502622129181,3.4641016151377544
HDAC1,DNMT3B,2,pp,58,27,7.615773105863909,5.196152422706632
ING3,EPC1,2,pp,7,7,2.6457513110645907,2.6457513110645907
ZMYND8,SMARCA4,6,pp,9,49,3.0,7.0
SMARCE1,ARID1A,6,pp,26,23,5.0990195135927845,4.795831523312719
CBX5,MECP2,5,pp,36,15,6.0,3.872983346207417
PCGF2,RING1,6,pp,15,28,3.872983346207417,5.291502622129181
MBD1,CBX4,5,pp,8,23,2.8284271247461903,4.795831523312719
UBE2E1,RING1,4,pp,8,28,2.8284271247461903,5.291502622129181
PRMT5,DNMT3A,4,pp,25,20,5.0,4.47213595499958
EHMT2,UHRF1,1,pp,23,19,4.795831523312719,4.358898943540674
SIN3A,NCOR1,5,pp,32,20,5.656854249492381,4.47213595499958
HDAC1,SMARCA4,2,pp,58,49,7.615773105863909,7.0
HDAC2,SMARCA4,2,pp,47,49,6.855654600401044,7.0
HDAC3,SMARCA4,4,pp,18,49,4.242640687119285,7.0
KDM4C,KDM4A,5,pp,8,9,2.8284271247461903,3.0
KDM4A,KDM4C,5,pp,9,8,3.0,2.8284271247461903
UHRF1,DNMT3A,4,pp,19,20,4.358898943540674,4.47213595499958
UHRF1,DNMT3B,4,pp,19,27,4.358898943540674,5.196152422706632
DNMT3A,UHRF1,3,pp,20,19,4.47213595499958,4.358898943540674
DNMT3B,UHRF1,5,pp,27,19,5.196152422706632,4.358898943540674
UHRF1,EHMT2,4,pp,19,23,4.358898943540674,4.795831523312719
CBX7,HDAC2,1,pp,13,47,3.605551275463989,6.855654600401044
EHMT2,CBX1,1,pp,23,25,4.795831523312719,5.0
CHD1L,PARP1,5,pp,8,17,2.8284271247461903,4.123105625617661
CHD1L,RPA3,5,pp,8,6,2.8284271247461903,2.449489742783178
CHD1L,H2AFZ,5,pp,8,7,2.8284271247461903,2.6457513110645907
EHMT2,DNMT1,1,pp,23,33,4.795831523312719,5.744562646538029
DNMT1,EHMT2,4,pp,33,23,5.744562646538029,4.795831523312719
CHD1L,CBX1,5,pp,8,25,2.8284271247461903,5.0
CHD1L,CBX3,5,pp,8,31,2.8284271247461903,5.5677643628300215
CHD1L,CBX5,5,pp,8,36,2.8284271247461903,6.0
ARID1A,SMARCC1,5,pp,23,28,4.795831523312719,5.291502622129181
SMARCC1,ARID1A,6,pp,28,23,5.291502622129181,4.795831523312719
CBX7,PCGF6,1,pp,13,15,3.605551275463989,3.872983346207417
CBX7,PHC2,1,pp,13,17,3.605551275463989,4.123105625617661
PCGF2,PHC1,6,pp,15,16,3.872983346207417,4.0
PCGF2,PHC3,6,pp,15,15,3.872983346207417,3.872983346207417
PCGF2,PHC2,6,pp,15,17,3.872983346207417,4.123105625617661
PCGF2,CBX4,6,pp,15,23,3.872983346207417,4.795831523312719
CBX7,PCGF2,1,pp,13,15,3.605551275463989,3.872983346207417
MEN1,ASH2L,5,pp,14,12,3.7416573867739413,3.4641016151377544
PRMT5,SMARCA4,4,pp,25,49,5.0,7.0
SMARCA4,PRMT5,6,pp,49,25,7.0,5.0
NCOA3,EHMT2,5,pp,7,23,2.6457513110645907,4.795831523312719
RBBP7,HDAC1,1,pp,31,58,5.5677643628300215,7.615773105863909
NCOA3,CARM1,5,pp,7,12,2.6457513110645907,3.4641016151377544
CARM1,NCOA3,1,pp,12,7,3.4641016151377544,2.6457513110645907
SMARCA1,PARP1,6,pp,9,17,3.0,4.123105625617661
MBD2,PRMT5,4,pp,14,25,3.7416573867739413,5.0
SMARCC1,SMARCA4,6,pp,28,49,5.291502622129181,7.0
SMARCC1,SMARCE1,6,pp,28,26,5.291502622129181,5.0990195135927845
SMARCE1,ARID2,6,pp,26,9,5.0990195135927845,3.0
SMARCE1,BRD7,6,pp,26,9,5.0990195135927845,3.0
SMARCE1,SMARCD1,6,pp,26,21,5.0990195135927845,4.58257569495584
BRD7,ARID2,4,pp,9,9,3.0,3.0
BRD7,SMARCA4,4,pp,9,49,3.0,7.0
BRD7,SMARCC1,4,pp,9,28,3.0,5.291502622129181
SMARCA4,BRD7,6,pp,49,9,7.0,3.0
SMARCA4,SMARCD3,6,pp,49,9,7.0,3.0
SMARCA4,SMARCD1,6,pp,49,21,7.0,4.58257569495584
SMARCA4,ARID2,6,pp,49,9,7.0,3.0
ARID1B,SMARCC1,3,pp,17,28,4.123105625617661,5.291502622129181
HDAC3,MBD1,4,pp,18,8,4.242640687119285,2.8284271247461903
PRMT5,MBD2,4,pp,25,14,5.0,3.7416573867739413
NCOR2,BCL6,2,pp,14,13,3.7416573867739413,3.605551275463989
SMARCA1,BPTF,6,pp,9,8,3.0,2.8284271247461903
SMARCA1,RBBP7,6,pp,9,31,3.0,5.5677643628300215
BPTF,RBBP7,1,pp,8,31,2.8284271247461903,5.5677643628300215
BPTF,SMARCA1,1,pp,8,9,2.8284271247461903,3.0
SMARCA4,SMARCD2,6,pp,49,10,7.0,3.1622776601683795
PRMT5,SIN3A,4,pp,25,32,5.0,5.656854249492381
PRMT5,SMARCE1,4,pp,25,26,5.0,5.0990195135927845
SIN3A,PRMT5,5,pp,32,25,5.656854249492381,5.0
SMARCC1,PRMT5,6,pp,28,25,5.291502622129181,5.0
SIN3A,SMARCE1,5,pp,32,26,5.656854249492381,5.0990195135927845
SIN3B,SMARCA4,6,pp,11,49,3.3166247903554,7.0
SIN3B,SMARCE1,6,pp,11,26,3.3166247903554,5.0990195135927845
MEN1,SIN3A,5,pp,14,32,3.7416573867739413,5.656854249492381
MEN1,HDAC1,5,pp,14,58,3.7416573867739413,7.615773105863909
MEN1,HDAC2,5,pp,14,47,3.7416573867739413,6.855654600401044
SMARCA4,CHD4,6,pp,49,44,7.0,6.6332495807108
CHD4,SMARCA4,5,pp,44,49,6.6332495807108,7.0
SMARCA5,SIN3A,5,pp,19,32,4.358898943540674,5.656854249492381
SMARCC1,ARID1B,6,pp,28,17,5.291502622129181,4.123105625617661
CHD4,SMARCC1,5,pp,44,28,6.6332495807108,5.291502622129181
PARP1,HDAC1,5,pp,17,58,4.123105625617661,7.615773105863909
PARP1,HDAC2,5,pp,17,47,4.123105625617661,6.855654600401044
PARP1,HDAC3,5,pp,17,18,4.123105625617661,4.242640687119285
BCL6,HDAC2,3,pp,13,47,3.605551275463989,6.855654600401044
SMARCE1,HDAC1,6,pp,26,58,5.0990195135927845,7.615773105863909
SMARCA4,HDAC1,6,pp,49,58,7.0,7.615773105863909
SMARCE1,HDAC2,6,pp,26,47,5.0990195135927845,6.855654600401044
SIN3B,SIN3A,6,pp,11,32,3.3166247903554,5.656854249492381
SIN3A,SIN3B,5,pp,32,11,5.656854249492381,3.3166247903554
SUV39H1,CBX4,4,pp,24,23,4.898979485566356,4.795831523312719
CBX4,SUV39H1,1,pp,23,24,4.795831523312719,4.898979485566356
NCOR1,NCOA3,2,pp,20,7,4.47213595499958,2.6457513110645907
NCOA3,NCOR1,5,pp,7,20,2.6457513110645907,4.47213595499958
NCOR1,BCL6,2,pp,20,13,4.47213595499958,3.605551275463989
KDM4A,NCOR1,5,pp,9,20,3.0,4.47213595499958
WDR5,KMT2D,4,pp,28,6,5.291502622129181,2.449489742783178
SIN3B,HDAC2,6,pp,11,47,3.3166247903554,6.855654600401044
KDM4A,HDAC1,5,pp,9,58,3.0,7.615773105863909
KDM4A,HDAC3,5,pp,9,18,3.0,4.242640687119285
CBX5,CHAF1B,5,pp,36,8,6.0,2.8284271247461903
CBX5,CHD4,5,pp,36,44,6.0,6.6332495807108
DNMT3B,HDAC2,5,pp,27,47,5.196152422706632,6.855654600401044
HDAC2,DNMT3B,2,pp,47,27,6.855654600401044,5.196152422706632
PARP1,CARM1,5,pp,17,12,4.123105625617661,3.4641016151377544
MBD2,RBBP7,4,pp,14,31,3.7416573867739413,5.5677643628300215
RING1,PHC2,6,pp,28,17,5.291502622129181,4.123105625617661
DNMT1,SMARCA5,4,pp,33,19,5.744562646538029,4.358898943540674
SMARCA5,DNMT1,5,pp,19,33,4.358898943540674,5.744562646538029
SMARCE1,CHD4,6,pp,26,44,5.0990195135927845,6.6332495807108
CHD4,SMARCE1,5,pp,44,26,6.6332495807108,5.0990195135927845
ATM,HDAC1,1,pp,10,58,3.1622776601683795,7.615773105863909
HDAC1,ATM,2,pp,58,10,7.615773105863909,3.1622776601683795
ARID1B,ARID1A,3,pp,17,23,4.123105625617661,4.795831523312719
ARID1A,SMARCA4,5,pp,23,49,4.795831523312719,7.0
SMARCA5,DNMT3B,5,pp,19,27,4.358898943540674,5.196152422706632
DNMT3B,SUV39H1,5,pp,27,24,5.196152422706632,4.898979485566356
CBX3,DNMT3B,2,pp,31,27,5.5677643628300215,5.196152422706632
SUV39H1,DNMT3B,4,pp,24,27,4.898979485566356,5.196152422706632
DNMT3B,DNMT1,5,pp,27,33,5.196152422706632,5.744562646538029
CHD4,SIN3A,5,pp,44,32,6.6332495807108,5.656854249492381
CHD4,RBBP7,5,pp,44,31,6.6332495807108,5.5677643628300215
RBBP7,CHD4,1,pp,31,44,5.5677643628300215,6.6332495807108
SIN3A,BCL6,5,pp,32,13,5.656854249492381,3.605551275463989
EHMT2,CBX5,1,pp,23,36,4.795831523312719,6.0
EHMT2,CBX3,1,pp,23,31,4.795831523312719,5.5677643628300215
DNMT3A,CBX4,3,pp,20,23,4.47213595499958,4.795831523312719
CBX4,DNMT3A,1,pp,23,20,4.795831523312719,4.47213595499958
CARM1,ARID1A,1,pp,12,23,3.4641016151377544,4.795831523312719
CARM1,SMARCA4,1,pp,12,49,3.4641016151377544,7.0
CARM1,SMARCC1,1,pp,12,28,3.4641016151377544,5.291502622129181
CARM1,SMARCE1,1,pp,12,26,3.4641016151377544,5.0990195135927845
CARM1,SMARCD1,1,pp,12,21,3.4641016151377544,4.58257569495584
SMARCA4,CARM1,6,pp,49,12,7.0,3.4641016151377544
ATM,PARP1,1,pp,10,17,3.1622776601683795,4.123105625617661
KMT2D,ASH2L,4,pp,6,12,2.449489742783178,3.4641016151377544
KMT2D,WDR5,4,pp,6,28,2.449489742783178,5.291502622129181
KDM4A,SMARCA4,5,pp,9,49,3.0,7.0
KDM4A,ARID1B,5,pp,9,17,3.0,4.123105625617661
KDM4C,SMARCA4,5,pp,8,49,2.8284271247461903,7.0
KDM4C,ARID1B,5,pp,8,17,2.8284271247461903,4.123105625617661
KDM2B,CBX3,6,pp,8,31,2.8284271247461903,5.5677643628300215
KDM2B,RING1,6,pp,8,28,2.8284271247461903,5.291502622129181
KDM2B,WDR5,6,pp,8,28,2.8284271247461903,5.291502622129181
ARID1B,HDAC3,3,pp,17,18,4.123105625617661,4.242640687119285
ARID1A,HDAC1,5,pp,23,58,4.795831523312719,7.615773105863909
ARID1A,HDAC2,5,pp,23,47,4.795831523312719,6.855654600401044
ARID1A,SIN3A,5,pp,23,32,4.795831523312719,5.656854249492381
NCOR2,NCOA3,2,pp,14,7,3.7416573867739413,2.6457513110645907
NCOA3,NCOR2,5,pp,7,14,2.6457513110645907,3.7416573867739413
HDAC1,PARP1,2,pp,58,17,7.615773105863909,4.123105625617661
HDAC2,PARP1,2,pp,47,17,6.855654600401044,4.123105625617661
CHD4,ATM,5,pp,44,10,6.6332495807108,3.1622776601683795
ATM,CHD4,1,pp,10,44,3.1622776601683795,6.6332495807108
CHAF1A,PAF1,4,pp,23,16,4.795831523312719,4.0
KMT2A,AFF1,4,pp,22,6,4.69041575982343,2.449489742783178
KMT2A,PAF1,4,pp,22,16,4.69041575982343,4.0
CARM1,WDR5,1,pp,12,28,3.4641016151377544,5.291502622129181
DNMT3B,DNMT3A,5,pp,27,20,5.196152422706632,4.47213595499958
DNMT3B,CBX1,5,pp,27,25,5.196152422706632,5.0
DNMT3B,CBX3,5,pp,27,31,5.196152422706632,5.5677643628300215
SMARCA4,CBX5,6,pp,49,36,7.0,6.0
DNMT3B,PCGF2,5,pp,27,15,5.196152422706632,3.872983346207417
KMT2D,MEN1,4,pp,6,14,2.449489742783178,3.7416573867739413
BCL6,SMARCA4,3,pp,13,49,3.605551275463989,7.0
BCL6,ZMYND8,3,pp,13,9,3.605551275463989,3.0
ARID1B,SMARCA1,3,pp,17,9,4.123105625617661,3.0
ARID1B,PRMT5,3,pp,17,25,4.123105625617661,5.0
KDM6B,SMARCA4,6,pp,9,49,3.0,7.0
SMARCA4,KDM6B,6,pp,49,9,7.0,3.0
KDM6B,SMARCC1,6,pp,9,28,3.0,5.291502622129181
CHD7,SMARCA4,3,pp,10,49,3.1622776601683795,7.0
CHD7,SMARCC1,3,pp,10,28,3.1622776601683795,5.291502622129181
CHD7,SMARCE1,3,pp,10,26,3.1622776601683795,5.0990195135927845
CHD7,BRD7,3,pp,10,9,3.1622776601683795,3.0
CHD7,ARID2,3,pp,10,9,3.1622776601683795,3.0
ARID2,SMARCC1,5,pp,9,28,3.0,5.291502622129181
ARID2,SMARCD1,5,pp,9,21,3.0,4.58257569495584
ARID2,SMARCE1,5,pp,9,26,3.0,5.0990195135927845
ARID2,SMARCA4,5,pp,9,49,3.0,7.0
AFF1,KMT2A,4,pp,6,22,2.449489742783178,4.69041575982343
AFF1,BRD4,4,pp,6,11,2.449489742783178,3.3166247903554
CARM1,AFF1,1,pp,12,6,3.4641016151377544,2.449489742783178
ASH2L,KMT2D,2,pp,12,6,3.4641016151377544,2.449489742783178
UBE2A,RNF20,6,pp,7,11,2.6457513110645907,3.3166247903554
UBE2B,RNF20,1,pp,6,11,2.449489742783178,3.3166247903554
KMT2A,SIN3A,4,pp,22,32,4.69041575982343,5.656854249492381
BRD4,CHD4,5,pp,11,44,3.3166247903554,6.6332495807108
BRD4,SMARCA4,5,pp,11,49,3.3166247903554,7.0
CHD4,BRD4,5,pp,44,11,6.6332495807108,3.3166247903554
CHD4,CHD5,5,pp,44,8,6.6332495807108,2.8284271247461903
CHD7,ARID1A,3,pp,10,23,3.1622776601683795,4.795831523312719
MECP2,PRMT6,4,pp,15,6,3.872983346207417,2.449489742783178
PRMT6,MECP2,4,pp,6,15,2.449489742783178,3.872983346207417
SMARCE1,ARID1B,6,pp,26,17,5.0990195135927845,4.123105625617661
SMARCE1,SMARCD2,6,pp,26,10,5.0990195135927845,3.1622776601683795
SMARCE1,SMARCD3,6,pp,26,9,5.0990195135927845,3.0
SMARCD1,ARID1A,2,pp,21,23,4.58257569495584,4.795831523312719
SMARCD1,ARID1B,2,pp,21,17,4.58257569495584,4.123105625617661
SMARCD1,ARID2,2,pp,21,9,4.58257569495584,3.0
SMARCD1,BRD7,2,pp,21,9,4.58257569495584,3.0
SMARCD1,SMARCD2,2,pp,21,10,4.58257569495584,3.1622776601683795
SMARCD1,SMARCE1,2,pp,21,26,4.58257569495584,5.0990195135927845
WDR5,HCFC1,4,pp,28,16,5.291502622129181,4.0
BRD7,TRIM24,4,pp,9,10,3.0,3.1622776601683795
TRIM24,BRD7,1,pp,10,9,3.1622776601683795,3.0
ATM,RNF20,1,pp,10,11,3.1622776601683795,3.3166247903554
CHD5,HDAC2,3,pp,8,47,2.8284271247461903,6.855654600401044
CHD5,HDAC1,3,pp,8,58,2.8284271247461903,7.615773105863909
KDM2B,SIN3A,6,pp,8,32,2.8284271247461903,5.656854249492381
CBX5,DNMT1,5,pp,36,33,6.0,5.744562646538029
CBX5,DNMT3A,5,pp,36,20,6.0,4.47213595499958
CBX1,CHD4,1,pp,25,44,5.0,6.6332495807108
CBX1,CHAF1A,1,pp,25,23,5.0,4.795831523312719
CBX3,CHD4,2,pp,31,44,5.5677643628300215,6.6332495807108
WDR5,HDAC3,4,pp,28,18,5.291502622129181,4.242640687119285
MECP2,CBX5,4,pp,15,36,3.872983346207417,6.0
MECP2,CBX1,4,pp,15,25,3.872983346207417,5.0
MECP2,CBX3,4,pp,15,31,3.872983346207417,5.5677643628300215
SIRT7,BAZ1B,3,pp,15,8,3.872983346207417,2.8284271247461903
SIRT7,CHD4,3,pp,15,44,3.872983346207417,6.6332495807108
SIRT7,SMARCA4,3,pp,15,49,3.872983346207417,7.0
SIRT7,HCFC1,3,pp,15,16,3.872983346207417,4.0
SIRT7,KMT2A,3,pp,15,22,3.872983346207417,4.69041575982343
SIRT7,DNMT1,3,pp,15,33,3.872983346207417,5.744562646538029
SIRT7,PRMT5,3,pp,15,25,3.872983346207417,5.0
SIRT7,BPTF,3,pp,15,8,3.872983346207417,2.8284271247461903
SIRT7,CBX3,3,pp,15,31,3.872983346207417,5.5677643628300215
SIRT7,CHD7,3,pp,15,10,3.872983346207417,3.1622776601683795
SIRT7,RBBP7,3,pp,15,31,3.872983346207417,5.5677643628300215
SIRT7,SMARCC1,3,pp,15,28,3.872983346207417,5.291502622129181
SIRT7,HDAC2,3,pp,15,47,3.872983346207417,6.855654600401044
SIRT7,ARID1A,3,pp,15,23,3.872983346207417,4.795831523312719
