gene_name,gene_name2,cluster,interation
AFF1,AFF4,4,pp
PRMT6,SMARCD1,4,pp
MECP2,NCOR1,4,pp
DNMT1,UHRF1,4,pp
NCOR1,SMARCC1,2,pp
HDAC2,NCOR2,2,pp
HCFC1,RPA3,6,pp
MBD2,PRMT5,4,pp
EPC1,H2AFZ,5,pp
EHMT2,KLF12,1,pp
CBX1,MECP2,1,pp
HDAC2,SMARCE1,2,pp
ACTL6B,SMARCD1,4,pp
HDAC3,PARP1,4,pp
KMT2A,WDR5,4,pp
BCL6,NCOR2,3,pp
ATRX,MECP2,1,pp
BCL6,HDAC2,3,pp
KDM4A,KDM4A,5,pp
PHC2,SCML2,3,pp
CBX6,PCGF5,5,pp
HDAC1,WDR5,2,pp
CARM1,WDR5,1,pp
ACTL6B,SMARCA4,4,pp
HLTF,HLTF,2,pp
BPTF,RBBP7,1,pp
CBX5,EHMT2,5,pp
HDAC2,SIN3B,2,pp
NCOR2,SIN3A,2,pp
HDAC3,HDAC3,4,pp
EHMT2,MECOM,1,pp
SMARCC1,SMARCD1,6,pp
KDM6B,SMARCA4,6,pp
ID2,ID2,6,pp
CBX5,SUV39H1,5,pp
DNMT3B,SMARCA5,5,pp
PCGF6,PCGF6,1,pp
SETD7,SETD7,4,pp
CBX3,EZH1,2,pp
KDM2B,PRMT5,6,pp
PHC1,PHC1,6,pp
HDAC2,PARP1,2,pp
PRMT5,SMARCC1,4,pp
FKBP5,KDM6B,2,pp
AFF1,NSD1,4,pp
HES1,PARP1,6,pp
KDM4C,KDM4C,5,pp
ASH2L,KMT2B,2,pp
CBX6,PHC1,5,pp
CBX6,NCOR2,5,pp
SIN3A,SMARCE1,5,pp
NCOR2,SMARCA4,2,pp
BRD4,SIRT5,5,pp
BRD7,TRIM24,4,pp
CBX4,DNMT3A,1,pp
CBX3,CBX3,2,pp
HCFC1,PAF1,6,pp
RPA3,RPA3,6,pp
BAZ1B,ING3,1,pp
DNMT1,SETD7,4,pp
RUNX3,SUV39H1,4,pp
CBX1,CBX5,1,pp
PCGF2,PHC2,6,pp
EP400,MEN1,2,pp
MSL3,PAF1,3,pp
CBX5,DNMT3B,5,pp
ARID1A,SMARCA4,5,pp
CHD4,SMARCA5,5,pp
CBX1,WDR5,1,pp
KDM4C,PRMT5,5,pp
BRD2,BRD4,2,pp
PARP1,TRIM33,5,pp
ING4,KMT2A,1,pp
ATRX,MEN1,1,pp
HES1,HES6,6,pp
CBX1,CHAF1A,1,pp
INO80,SMARCA5,3,pp
BOP1,SIRT7,3,pp
DNMT3A,UHRF1,3,pp
CHD4,DNMT3B,5,pp
RNF20,UBE2B,1,pp
PCGF5,PHC2,5,pp
AFF1,AFF1,4,pp
ID2,SUV39H1,6,pp
CARM1,PARP1,1,pp
ASH2L,MEN1,2,pp
BRD7,SMARCE1,4,pp
MBD1,SUV39H1,5,pp
PRMT5,SMARCE1,4,pp
PRMT6,SUV39H1,4,pp
SIN3A,SMARCC1,5,pp
CBX1,PRDM6,1,pp
CARM1,SMARCE1,1,pp
HDAC1,MEN1,2,pp
CBX7,RING1,1,pp
ARID1A,CHD7,5,pp
NCOR1,SIN3A,2,pp
DNMT1,SUV39H1,4,pp
H2AFZ,H2AFZ,3,pp
CHD1L,H2AFZ,5,pp
CBX5,TRIM24,5,pp
ATRX,NSD1,1,pp
PHF8,WDR5,6,pp
BAZ1B,SMARCC1,1,pp
EHMT2,NCOA3,1,pp
BAZ1B,SMARCD2,1,pp
BRD4,ING3,5,pp
NCOA3,NCOA3,5,pp
BRD4,SMARCA4,5,pp
CBX6,CHAF1B,5,pp
TAF1,TAF3,6,pp
HDAC1,PHF20L1,2,pp
SGK1,SGK1,5,pp
KMT2A,SMARCC1,4,pp
CARM1,SMARCA4,1,pp
UBE2A,UBE2A,6,pp
CBX5,PCGF6,5,pp
CHAF1A,HDAC1,4,pp
GTF2F1,POLR2B,2,pp
ATM,TAF1,1,pp
ZMYND11,ZMYND11,1,pp
BRD4,KDM4C,5,pp
DNMT1,DNMT1,4,pp
HDAC1,KMT2A,2,pp
DNMT1,MECP2,4,pp
ASH2L,WDR5,2,pp
DNMT3A,HDAC1,3,pp
CBX3,CBX5,2,pp
FKBP5,PRKAA1,2,pp
ARID2,BRD7,5,pp
HDAC2,PHC1,2,pp
HDAC1,PARP1,2,pp
ARID1B,KDM4C,3,pp
PRDM6,PRDM6,5,pp
NCOR1,TRIM33,2,pp
DNMT1,MBD2,4,pp
CHD4,SIRT6,5,pp
ARID1B,SMARCE1,3,pp
SIRT3,SIRT4,4,pp
DNMT1,DNMT3A,4,pp
HLTF,RPA3,2,pp
CBX3,SIRT7,2,pp
ATM,PARP1,1,pp
BAZ1B,HDAC11,1,pp
BCL6,SIN3A,3,pp
SUV39H1,SUV39H1,4,pp
DNMT3B,SUV39H1,5,pp
BCL6,HDAC1,3,pp
DNMT1,DNMT3B,4,pp
EZH1,ZMYND11,1,pp
CHAF1A,HDAC2,4,pp
KDM4A,KDM4C,5,pp
CHD5,MBD2,3,pp
PARP1,UHRF1,5,pp
CHD4,PHF20L1,5,pp
KDM6B,PRMT7,6,pp
HCFC1,WDR5,6,pp
SMARCA4,SMARCD1,6,pp
DNMT3A,SUV39H1,3,pp
HDAC1,PRDM6,2,pp
SIRT7,SMARCC1,3,pp
DNMT3A,EHMT2,3,pp
BPTF,CBX6,1,pp
DNMT1,EHMT2,4,pp
ARID1B,SMARCA4,3,pp
SETD7,SMARCA4,4,pp
BCL6,ERCC5,3,pp
CHD4,RPA3,5,pp
SMARCD1,SMARCD3,2,pp
EPC2,ING3,3,pp
RBBP7,SMARCA1,1,pp
PHC3,RING1,4,pp
CBX6,PHC3,5,pp
BOP1,CHD4,3,pp
CBX5,CHD4,5,pp
EZH1,PRMT5,1,pp
SIN3A,SMARCA4,5,pp
PRKAA1,RBBP7,4,pp
HDAC1,RBBP7,2,pp
CARM1,PRMT5,1,pp
ARID1B,PRMT5,3,pp
CHAF1A,RBBP7,4,pp
HDAC1,PHF1,2,pp
CBX5,MBD1,5,pp
CBX4,PHC2,1,pp
HDAC3,WDR5,4,pp
HDAC1,KDM4C,2,pp
HDAC3,KDM4C,4,pp
SMARCC1,SMARCD3,6,pp
HLTF,UBE2A,2,pp
HIRA,MECP2,1,pp
CBX1,DNMT3A,1,pp
SMARCD1,SMARCD2,2,pp
CBX5,CHAF1A,5,pp
HCFC1,SIN3B,6,pp
HCFC1,HDAC2,6,pp
KDM3A,PRMT5,4,pp
ID2,SIN3A,6,pp
CHAF1A,PAF1,4,pp
CHD5,HDAC2,3,pp
HDAC1,HDAC2,2,pp
BCL6,NCOR1,3,pp
KDM2B,SIN3A,6,pp
HCFC1,HDAC1,6,pp
PRMT5,WDR5,4,pp
BRD4,CHD4,5,pp
