x,bc_5_firstrun
Total reads,3024134
Target percentage,74.95147371115168
Control percentage,8.296490830102107
Contaminant percentage,16.752035458746207
No.1 Target,Asxl2.4: 238233
No.2 Target,Asxl3.1: 167961
No.3 Target,Elp4.4: 76964
Top 3 target %,21.316110724585762
No.1 Control,CDK9.1: 39384
No.2 Control,Nfatc3.2: 38138
No.3 Control,Ccnt1.2: 34806
Top 3 control %,44.77056321916962
No.1 Contaminant,Prdm1.4: 132537
No.2 Contaminant,Bcl6: 80016
No.3 Contaminant,Smarce1.4: 43311
Top 3 contaminant %,50.50572044437075
