x,bc_10
Total reads,9708885
Target percentage,79.20563483860403
Control percentage,1.3145484780178158
Contaminant percentage,19.47981668337816
No.1 Target,Psip1.2: 379612
No.2 Target,Kdm5a.2: 246158
No.3 Target,Morf4l1.2: 234862
Top 3 target %,11.19159675754852
No.1 Control,CDK9.1: 35719
No.2 Control,CD4.4: 24506
No.3 Control,Bcl6.3: 23960
Top 3 control %,65.96123107781992
No.1 Contaminant,Baz2b.2: 554235
No.2 Contaminant,Bop1.3: 249430
No.3 Contaminant,Supt16h.4: 109210
Top 3 contaminant %,48.26775404714179
