x,bc_7_firstrun
Total reads,3480139
Target percentage,62.26667957802835
Control percentage,17.449216827258912
Contaminant percentage,20.28410359471274
No.1 Target,Rbbp7.3: 85101
No.2 Target,Psip1.2: 76263
No.3 Target,Mll2.1: 55315
Top 3 target %,9.999183190145489
No.1 Control,Ccnt1.2: 217945
No.2 Control,CDK9.1: 153759
No.3 Control,Ccnt1.4: 132014
Top 3 control %,82.94972309911618
No.1 Contaminant,Baz2b.2: 222000
No.2 Contaminant,Bop1.3: 151732
No.3 Contaminant,Smarce1.4: 40549
Top 3 contaminant %,58.68709405523328
