x,bc_6_firstrun
Total reads,4471221
Target percentage,78.50452929971478
Control percentage,3.9025134297767883
Contaminant percentage,17.592957270508435
No.1 Target,Prkcd.3: 446564
No.2 Target,Mtf2.2: 420996
No.3 Target,Kdm2a.2: 110942
Top 3 target %,27.876668287698024
No.1 Control,Runx3.3: 20656
No.2 Control,Nfatc3.8: 20567
No.3 Control,Klf2.7: 17223
Top 3 control %,33.49532924522896
No.1 Contaminant,Asxl3.4: 276013
No.2 Contaminant,Bop1.3: 55755
No.3 Contaminant,Fosb: 35554
Top 3 contaminant %,46.696244692481756
