x,bc_15
Total reads,9594348
Target percentage,74.09368515713626
Control percentage,4.611631764868233
Contaminant percentage,21.2946830779955
No.1 Target,Tet3.2: 2262053
No.2 Target,Zmynd11.3: 818587
No.3 Target,Smarcb1.2: 635813
Top 3 target %,52.27956706091009
No.1 Control,CD4.4: 132388
No.2 Control,Nfatc3.2: 105243
No.3 Control,Bcl6.2: 46977
Top 3 control %,64.32458820764099
No.1 Contaminant,Rbbp7.1: 1148793
No.2 Contaminant,Prdm2.3: 249059
No.3 Contaminant,Prdm11.4: 94036
Top 3 contaminant %,73.02130208909463
