x,bc_1
Total reads,8214750
Target percentage,88.37405885754283
Control percentage,1.1109406859612283
Contaminant percentage,10.515000456495937
No.1 Target,Asxl3.1: 2523955
No.2 Target,Jhdm1d.1: 802334
No.3 Target,Hdac2.1: 389960
Top 3 target %,51.19006163884278
No.1 Control,Hes1.3: 18237
No.2 Control,Hes1.2: 11458
No.3 Control,Bcl6.2: 7845
Top 3 control %,41.13476731572084
No.1 Contaminant,Prkaa2.2: 338252
No.2 Contaminant,Sirt1.4: 112803
No.3 Contaminant,Phf20.3: 54007
Top 3 contaminant %,58.47107079224942
