x,bc_11
Total reads,10192208
Target percentage,79.85743619047021
Control percentage,2.3936128462056505
Contaminant percentage,17.74895096332414
No.1 Target,Taf1.2: 495732
No.2 Target,Smarcd1.2: 460000
No.3 Target,Arid1a.2: 425892
Top 3 target %,16.97486103118278
No.1 Control,Klf12.4: 73954
No.2 Control,Cd4.5: 60494
No.3 Control,Ccnt1.4: 18336
Top 3 control %,62.626146694977095
No.1 Contaminant,Prdm11.4: 845699
No.2 Contaminant,Rbbp7.3: 190955
No.3 Contaminant,Rbbp7.1: 137671
Top 3 contaminant %,64.91534043482346
