x,bc_8_firstrun
Total reads,2813067
Target percentage,70.27123776291144
Control percentage,5.747534630351855
Contaminant percentage,23.981227606736706
No.1 Target,Rbbp7.3: 94888
No.2 Target,Psip1.2: 75855
No.3 Target,Prmt8.4: 48090
Top 3 target %,11.070191528938267
No.1 Control,Ccnt1.2: 49115
No.2 Control,CDK9.1: 30579
No.3 Control,Ccnt1.4: 22075
Top 3 control %,62.94392696775151
No.1 Contaminant,Baz2b.2: 237257
No.2 Contaminant,Bop1.3: 131486
No.3 Contaminant,Bcl6: 67252
Top 3 contaminant %,64.62938476863602
