x,bc_10_firstrun
Total reads,3266893
Target percentage,77.2977872247423
Control percentage,1.4427775871447275
Contaminant percentage,21.259435188112988
No.1 Target,Psip1.2: 73665
No.2 Target,Kdm5a.2: 72186
No.3 Target,Morf4l1.2: 67522
Top 3 target %,8.449626094353162
No.1 Control,CDK9.1: 14713
No.2 Control,CD4.4: 7022
No.3 Control,Ccnt1.2: 5714
Top 3 control %,58.236092841685405
No.1 Contaminant,Baz2b.2: 195432
No.2 Contaminant,Bop1.3: 178470
No.3 Contaminant,Bcl6: 37818
Top 3 contaminant %,59.280974136205714
