x,bc_6
Total reads,9915777
Target percentage,77.45891219618997
Control percentage,3.1746579214115043
Contaminant percentage,19.366429882398524
No.1 Target,Prkcd.3: 670267
No.2 Target,Mtf2.2: 489189
No.3 Target,Kdm2a.2: 243483
Top 3 target %,18.265881820204612
No.1 Control,Runx3.3: 41298
No.2 Control,Klf2.7: 37060
No.3 Control,Nfatc3.8: 36933
Top 3 control %,36.62450125797352
No.1 Contaminant,Asxl3.4: 705492
No.2 Contaminant,Bop1.3: 132923
No.3 Contaminant,Baz2b.2: 89939
Top 3 contaminant %,48.343411451769796
