x,bc_2_firstrun
Total reads,3757095
Target percentage,71.08452141880895
Control percentage,15.918468923463475
Contaminant percentage,12.99700965772758
No.1 Target,Asxl2.4: 187269
No.2 Target,Asxl3.1: 157129
No.3 Target,Hells.4: 98173
Top 3 target %,16.571267672715116
No.1 Control,Ccnt1.2: 147239
No.2 Control,CDK9.3: 104707
No.3 Control,Ccnt1.3: 76299
Top 3 control %,54.883860137241
No.1 Contaminant,Smarce1.4: 91414
No.2 Contaminant,Prdm1.4: 52624
No.3 Contaminant,Sirt1.4: 41710
Top 3 contaminant %,38.03895066658475
