x,bc_9_firstrun
Total reads,5119738
Target percentage,5.826216107152358
Control percentage,88.62258185868104
Contaminant percentage,5.551202034166592
No.1 Target,Psip1.2: 10715
No.2 Target,Mll3.2: 9481
No.3 Target,Prmt8.4: 9302
Top 3 target %,9.88913361963478
No.1 Control,Ccnt1.2: 2001808
No.2 Control,Ccnt1.3: 1398990
No.3 Control,Ccnt1.4: 470504
Top 3 control %,85.32276421545767
No.1 Contaminant,Ccnt1: 186773
No.2 Contaminant,Baz2b.2: 26000
No.3 Contaminant,Bop1.3: 22002
Top 3 contaminant %,82.60704345776142
