x,bc_8
Total reads,8986394
Target percentage,76.64164291038207
Control percentage,1.4789358223109292
Contaminant percentage,21.879421267307
No.1 Target,Psip1.2: 360538
No.2 Target,Rbbp7.3: 245134
No.3 Target,Morf4l1.2: 225506
Top 3 target %,12.068235540093971
No.1 Control,Bcl6.2: 48995
No.2 Control,CDK9.1: 28359
No.3 Control,Bcl6.3: 21088
Top 3 control %,74.07056274124739
No.1 Contaminant,Baz2b.2: 625348
No.2 Contaminant,Bop1.3: 333708
No.3 Contaminant,Bcl6: 200096
Top 3 contaminant %,58.95479080914122
