x,bc_11_firstrun
Total reads,4747147
Target percentage,79.87985204587092
Control percentage,2.9083784428836945
Contaminant percentage,17.211769511245386
No.1 Target,Setd1a.2: 461933
No.2 Target,Arid1a.2: 179489
No.3 Target,Smyd5.1: 136036
Top 3 target %,20.50250869326959
No.1 Control,Cd4.5: 53584
No.2 Control,Ccnt1.3: 13866
No.3 Control,Klf12.4: 12221
Top 3 control %,57.70542860246985
No.1 Contaminant,Prdm11.4: 392207
No.2 Contaminant,Rbbp7.3: 75371
No.3 Contaminant,Rbbp7.1: 70694
Top 3 contaminant %,65.87848257427778
