shRNA,count,pctg
Bcl6,70087,1.170338359
Bcl6.2,75973,1.26862494
Bcl6.3,9987,0.166766579
CD4.1,3013,0.050312176
CD4.2,4977,0.083107766
CD4.3,16153,0.269728702
CD4.4,166361,2.777956821
CDK9.1,22240,0.371371654
CDK9.2,76,0.001269076
CDK9.3,22705,0.379136394
Ccnt1,49561,0.827587704
Ccnt1.2,80712,1.347758495
Ccnt1.3,33800,0.564404762
Ccnt1.4,3509,0.058594565
Cd14,39951,0.667116409
Cd14.2,11660,0.194702944
Cd19,11656,0.194636151
Cd19.3,5193,0.086714613
Cd19.4,3027,0.050545953
Fosb,5,8.35E-05
Fosb.2,346,0.005777635
Hes1,349,0.00582773
Hes1.2,15918,0.265804586
Hes1.3,13,0.000217079
Id2,402,0.006712743
Id2.2,62,0.001035299
Id2.3,57300,0.956816356
Id2.4,13669,0.228249961
Id2.5,3,5.01E-05
Id3,13041,0.217763387
Id3.2,9376,0.156563877
Id3.3,24298,0.405736891
Id3.4,574,0.009584862
Id3.5,22,0.000367364
Klf12,5744,0.095915413
Klf12.4,42,0.000701331
Klf12.5,36351,0.607002293
Klf2,309,0.005159795
Klf2.2,64,0.001068695
Klf2.3,0,0
Klf2.4,3829,0.063938042
Klf2.5,1,1.67E-05
Klf2.6,953,0.015913543
Klf2.7,5,8.35E-05
Ms4a1,71085,1.187003328
Ms4a1.2,6797,0.113498792
Nfatc3.2,158814,2.651934255
Nfatc3.3,493,0.008232294
Nfatc3.7,185,0.003089198
Nfatc3.8,0,0
Rpa3.1,26,0.000434158
Rpa3.2,1912,0.031927275
Rpa3.3,1163,0.019420199
Rpa3.4,13397,0.223708006
Runx3,291,0.004859224
Runx3.2,0,0
Runx3.3,13090,0.218581607
Satb1.1,1722,0.028754586
Satb1.2,44164,0.737466624
Satb1.3,39698,0.662891723
Scmh1.1,3029,0.05057935
Scmh1.2,7418,0.123868477
Scmh1.3,29973,0.500500116
Scml2.1,1985,0.033146256
Scml2.2,29616,0.494538799
Scml2.3,6407,0.106986429
Scml2.4,5958,0.099488863
Scml4.1,8450,0.14110119
Scml4.2,4940,0.082489927
Scml4.3,966,0.016130621
Setd1a.1,0,0
Setd1a.2,22925,0.382810034
Setd1a.3,2052,0.034265046
Setd1a.4,5922,0.098887722
Setd2.1,3149,0.052583154
Setd2.2,23023,0.384446474
Setd2.3,37782,0.630897654
Setd2.4,54298,0.906687862
Setd3.1,8469,0.141418459
Setd3.2,455,0.007597756
Setd3.3,19920,0.332631445
Setd4.1,0,0
Setd4.2,10063,0.168035654
Setd4.3,1316,0.021975049
Setd4.4,9956,0.166248929
Setd5.1,0,0
Setd5.2,272831,4.555831821
Setd5.3,0,0
Setd5.4,118245,1.974498256
Setd7.1,6670,0.111378099
Setd7.2,769,0.012841043
Setd8.1,172,0.002872119
Setd8.2,3346,0.055872732
Setd8.3,4254,0.071034848
Setd8.4,976,0.016297605
Setdb1.1,71905,1.200695988
Setdb1.2,141457,2.362100721
Setdb1.3,14712,0.245666357
Setdb1.4,2069,0.034548919
Setdb2.1,2330,0.038907192
Setdb2.2,11373,0.189910513
Setdb2.3,6228,0.103997422
Setdb2.4,2180,0.036402437
Setmar.1,13693,0.228650722
Setmar.2,51670,0.862804557
Setmar.3,1292,0.021574289
Setmar.4,7848,0.131048774
Sfmbt1.1,12234,0.204287806
Sfmbt1.2,35,0.000584443
Sfmbt1.3,14781,0.246818544
Sfmbt1.4,25703,0.429198094
Sfmbt2.1,0,0
Sfmbt2.2,4663,0.077864479
Sfmbt2.3,132,0.002204184
Sgk1.1,7593,0.126790691
Sin3a.1,478,0.007981819
Sin3a.2,110018,1.837120801
Sin3a.3,166,0.002771929
Sin3a.4,1196,0.019971245
Sin3b.1,372,0.006211792
Sin3b.2,909,0.015178814
Sin3b.3,977,0.016314303
Sin3b.4,486,0.008115406
Sirt1.1,26051,0.435009126
Sirt1.2,79828,1.33299714
Sirt1.3,8307,0.138713324
Sirt1.4,6493,0.108422489
Sirt3.1,796,0.013291899
Sirt3.2,30,0.000500951
Sirt3.3,14372,0.239988912
Sirt3.4,13348,0.222889786
Sirt4.1,177,0.002955611
Sirt4.2,7810,0.130414236
Sirt4.3,33,0.000551046
Sirt4.4,4250,0.070968054
Sirt5.1,5777,0.096466459
Sirt5.2,2739,0.045736824
Sirt5.3,204,0.003406467
Sirt5.4,2073,0.034615712
Sirt6.1,2447,0.040860901
Sirt6.2,1259,0.021023242
Sirt6.3,2,3.34E-05
Sirt6.4,6021,0.10054086
Sirt7.1,25896,0.432420879
Sirt7.2,5344,0.089236066
Sirt7.3,8157,0.136208569
Sirt7.4,6369,0.106351891
Smarca1.1,19790,0.330460658
Smarca1.2,35387,0.590905068
Smarca1.3,6371,0.106385288
Smarca1.4,2246,0.037504529
Smarca2.1,539,0.009000419
Smarca2.2,12187,0.203502983
Smarca2.3,3699,0.061767255
Smarca4.1,3266,0.054536862
Smarca4.2,2388,0.039875697
Smarca4.3,7564,0.126306438
