"Position","Pool","shRNA","Percentage","precentile","z"
"4_D06",1,"Chd6.2",45.09646302,47.2378152726502,-0.0692931156879499
"4_D07",1,"Dnmt3l.3",49.52874647,59.790783268367,0.247935471052665
"4_D08",1,"Dnmt1.2",51.79806362,65.9227462717838,0.410355650285728
"4_D09",1,"Chd9.2",49.94892748,60.9497190427803,0.278008779648834
"4_D10",1,"Chd3.3",52.87009063,68.6900263494006,0.487083056636526
"4_D11",1,"Dot1l.2",50.90206186,63.5413851303611,0.346226770612678
"4_E02",1,"Crebbp.2",48.05194805,55.6553855577194,0.142237656153806
"4_E03",1,"Ctsl.2",46.89092762,52.3580014618254,0.0591407887398145
"4_E04",1,"Chd3.4",51.74654752,65.7874270051957,0.406668526079493
"4_E05",1,"Dnmt3a.3",42.63074485,40.2930078109279,-0.245770161705789
"4_E06",1,"Dmap1.3",49.36507937,59.3369580268422,0.236221445220464
"4_E07",1,"Chd8.2",46.46464646,51.1420507678736,0.0286308785622624
"4_E08",1,"Chd4.3",56.6230813,77.5083394186241,0.755693117280281
"4_E09",1,"Dnmt3b.3",50.43859649,62.2880752401152,0.313055502126156
"4_E10",1,"Dnmt1.3",47.81021898,54.9713111974917,0.124936557946691
"4_E11",1,"Chd9.3",47.65245548,54.5240419443034,0.113645066166251
"4_F02",1,"Chd5.3",37.11229947,26.0846517883535,-0.640737823104491
"4_F03",1,"Dot1l.3",39.8540146,32.8338017103126,-0.444507048212317
"4_F04",1,"Dmap1.4",43.50031706,42.7189951424505,-0.183532904915
"4_F05",1,"Chd8.3",42.44817374,39.7880430806351,-0.258837190441274
"4_F06",1,"Chd6.3",56.36509207,76.9508219398363,0.737228242515289
"4_F07",1,"Dnmt3a.4",53.74625375,70.8768990466107,0.549792039815805
"4_F08",1,"Ctsl.3",55.3117207,74.5961854240285,0.661836062663135
"4_F09",1,"Crebbp.3",53.42372881,70.0801879057008,0.526708197805475
"4_F10",1,"Chd6.4",47.28682171,53.4853350625807,0.0874758273460799
"4_F11",1,"Dnmt3b.4",50.69306931,62.9779233997431,0.331268699446038
"4_G02",1,"Dnmt1.4",46.59776055,51.5219208420713,0.0381581561207324
"4_G03",1,"Crebbp.4",44.65691789,45.9873523439909,-0.100752358304444
"4_G04",1,"Chd4.4",44.27710843,44.9099738041207,-0.127936183433344
"4_G05",1,"Dot1l.4",51.18397086,64.2968047113778,0.366403637608731
"4_G06",1,"Dnmt3l.4",38.88888889,30.377168385868,-0.513583285881714
"4_G07",1,"Chd8.4",43.69247428,43.2591666001681,-0.169779776528636
"4_G08",1,"Chd5.4",52.59959487,68.00086763141,0.467723061132599
"4_G09",1,"Cxxc1.4",53.09168443,69.2497835875767,0.502943027867491
"4_G10",1,"Chd9.4",43.0408472,41.4330888216336,-0.216418205681969
"4_G11",1,"Ctsl.4",30.53511706,13.3180532069741,-1.11148169682031
