type,shRNA,count,ZScore
control,Bcl6,19737,-0.056457453452326105
control,Bcl6.2,16841,-0.07408434009080637
control,Bcl6.3,2984,-0.15842680146836893
control,CD4.1,8150,-0.12698325990262682
control,CD4.2,2016,-0.16431866136686646
control,CD4.3,37047,0.04890214865820342
control,CD4.4,84470,0.33754850399544445
control,CDK9.1,52205,0.14116331843240368
control,CDK9.2,19591,-0.057346101742801976
control,CDK9.3,83464,0.3314253520761381
control,Ccnt1,2257212,13.562229763893546
control,Ccnt1.2,147757,0.7227531913882279
control,Ccnt1.3,81999,0.32250843601074664
control,Ccnt1.4,141106,0.6822710011145635
control,Cd14,19894,-0.05550185220845821
control,Cd14.2,6085,-0.1395521552439465
control,Cd19,10099,-0.11512041388798662
control,Cd19.3,0,-0.17658931173398534
control,Cd19.4,26,-0.1764310592986951
control,Fosb,0,-0.17658931173398534
control,Fosb.2,0,-0.17658931173398534
control,Hes1,7,-0.1765467053090995
control,Hes1.2,4934,-0.14655786882160216
control,Hes1.3,0,-0.17658931173398534
control,Id2,0,-0.17658931173398534
control,Id2.2,1,-0.17658322510185878
control,Id2.3,16319,-0.07726156206086394
control,Id2.4,0,-0.17658931173398534
control,Id2.5,0,-0.17658931173398534
control,Id3,588,-0.17301037204357567
control,Id3.2,0,-0.17658931173398534
control,Id3.3,0,-0.17658931173398534
control,Id3.4,930,-0.17092874385629658
control,Id3.5,465,-0.17375902779514096
control,Klf12,5699,-0.14190159524479368
control,Klf12.4,0,-0.17658931173398534
control,Klf12.5,12324,-0.10157765740641943
control,Klf2,579,-0.17306515173271458
control,Klf2.2,1,-0.17658322510185878
control,Klf2.3,0,-0.17658931173398534
control,Klf2.4,0,-0.17658931173398534
control,Klf2.5,0,-0.17658931173398534
control,Klf2.6,43,-0.1763275865525438
control,Klf2.7,5,-0.1765588785733526
control,Ms4a1,87806,0.3578535087696054
control,Ms4a1.2,19,-0.17647366572358095
control,Nfatc3.2,112659,0.5091245770106794
control,Nfatc3.3,5,-0.1765588785733526
control,Nfatc3.7,0,-0.17658931173398534
control,Nfatc3.8,0,-0.17658931173398534
target,Rpa3.1,148,-0.17568849017925636
target,Rpa3.2,167,-0.17557284416885197
target,Rpa3.3,1,-0.17658322510185878
target,Rpa3.4,63,-0.17620585391001287
control,Runx3,0,-0.17658931173398534
control,Runx3.2,3016,-0.15823202924031943
control,Runx3.3,747,-0.17204259753545467
target,Satb1.1,897,-0.17112960271647262
target,Satb1.2,13340,-0.09539363916584762
target,Satb1.3,73418,0.2702790457328464
target,Scmh1.1,3850,-0.15315577804677916
target,Scmh1.2,5419,-0.14360585224022684
target,Scmh1.3,11231,-0.10823034632073536
target,Scml2.1,1225,-0.16913318737896518
target,Scml2.2,8044,-0.12762844290804082
target,Scml2.3,879,-0.17123916209475046
target,Scml2.4,7019,-0.13386724083775156
target,Scml4.1,3534,-0.15507915379876805
target,Scml4.2,133,-0.17577978966115457
target,Scml4.3,643,-0.17267560727661557
target,Setd1a.1,0,-0.17658931173398534
target,Setd1a.2,22593,-0.03907403209890772
target,Setd1a.3,6350,-0.13793919773041152
target,Setd1a.4,936,-0.1708922240635373
target,Setd2.1,90,-0.1760415148425961
target,Setd2.2,14823,-0.08636716372217833
target,Setd2.3,6020,-0.13994778633217206
target,Setd2.4,62988,0.20679547265296058
target,Setd3.1,719,-0.172213023234998
target,Setd3.2,329,-0.17458680976435134
target,Setd3.3,1923,-0.16488471815463535
target,Setd4.1,0,-0.17658931173398534
target,Setd4.2,9692,-0.11759767316349128
target,Setd4.3,19,-0.17647366572358095
target,Setd4.4,4020,-0.15212105058526618
target,Setd5.1,0,-0.17658931173398534
target,Setd5.2,261809,1.4169457586851726
target,Setd5.3,0,-0.17658931173398534
target,Setd5.4,86335,0.3489000729114547
target,Setd7.1,148,-0.17568849017925636
target,Setd7.2,320,-0.1746415894534903
target,Setd8.1,217,-0.17526851256252463
target,Setd8.2,594,-0.17297385225081638
target,Setd8.3,2928,-0.15876765286745556
target,Setd8.4,11,-0.1765223587805933
target,Setdb1.1,52363,0.1421250063083981
target,Setdb1.2,67283,0.2329375576364802
target,Setdb1.3,3825,-0.15330794384994284
target,Setdb1.4,1210,-0.1692244868608634
target,Setdb2.1,0,-0.17658931173398534
target,Setdb2.2,28998,-8.915332837382485e-05
target,Setdb2.3,1424,-0.16792194758578233
target,Setdb2.4,492,-0.17359468872772418
target,Setmar.1,4704,-0.14795779421070798
target,Setmar.2,17333,-0.07108971708454523
target,Setmar.3,628,-0.17276690675851378
target,Setmar.4,34,-0.17638236624168274
target,Sfmbt1.1,5345,-0.14405626301759134
target,Sfmbt1.2,3,-0.17657105183760569
target,Sfmbt1.3,6763,-0.1354254186621476
