type,shRNA,count,ZScore
target,Actb,4,-0.11375733804151218
target,Actl6a,810,-0.10951245509631703
target,Actl6b.1,5358,-0.08555993942045158
target,Actl6b.2,3436,-0.0956823525974554
target,Actl6b.3,1217,-0.10736894720711798
target,Actl6b.4,5410,-0.08528607600463253
target,Aff1.1,771,-0.1097178526581813
target,Aff1.2,12110,-0.04999982819717904
target,Aff1.3,361699,1.7911470501251885
target,Aff1.4,725,-0.10996011644909816
target,Aff4.1,55474,0.1783811941793006
target,Aff4.2,89,-0.11330967668873106
target,Aff4.3,2486,-0.10068562654030329
target,Aff4.4,142,-0.11303054666876164
target,Arid1a.1,0,-0.11377840445811364
target,Arid1a.2,0,-0.11377840445811364
target,Arid1b.1,0,-0.11377840445811364
target,Arid1b.2,0,-0.11377840445811364
target,Arid1b.3,4,-0.11375733804151218
target,Arid2.1,69753,0.2535830348423795
target,Arid2.2,3630,-0.09466063139228437
target,Arid2.3,796,-0.10958618755442215
target,Arid2.4,491,-0.11119250182028384
target,Ash1l.1,4403,-0.0905895463840513
target,Ash1l.2,9540,-0.06353500086362016
target,Ash1l.3,118,-0.11315694516837044
target,Ash1l.4,1508,-0.10583636539936142
target,Ash2l.1,3523,-0.09522415803637355
target,Ash2l.2,3820,-0.09365997660371478
target,Ash2l.3,330,-0.1120404250884928
target,Ash2l.4,0,-0.11377840445811364
target,Asxl1.1,874,-0.10917539243069359
target,Asxl1.2,1873,-0.10391405488447776
target,Asxl1.3,170,-0.11288308175255139
target,Asxl1.4,6569,-0.07918208179435812
target,Asxl2.1,92561,0.3737037423039316
target,Asxl2.2,2317,-0.10157568264171517
target,Asxl2.3,3188,-0.09698847042674621
target,Asxl2.4,150390,0.6782661937154582
target,Asxl3.1,4125776,21.615050600623118
target,Asxl3.2,3589,-0.09487656216244937
target,Asxl3.3,1431,-0.10624189391893962
target,Asxl3.4,3618,-0.09472383064208875
target,Atad2.1,4452,-0.09033148278068336
target,Atad2.2,3052,-0.09770472859119603
target,Atad2.3,4846,-0.08825644074543906
target,Atad2.4,3714,-0.0942182366436536
target,Atad2b.1,9603,-0.06320320480214708
target,Atad2b.2,939,-0.10883306316091979
target,Atad2b.3,3125,-0.09732026648821929
target,Atad2b.4,4566,-0.0897310899075416
target,Atm.1,1211,-0.10740054683202019
target,Atm.2,3262,-0.09659874171961912
target,Atm.3,5754,-0.08347436417690657
target,Atm.4,2182,-0.10228667420201461
target,Atr.1,15824,-0.030439660382718992
target,Atr.2,114262,0.48799431897102835
target,Atr.3,6100,-0.08165211914087986
target,Atr.4,2529,-0.10045916256183754
target,Atrx.1,0,-0.11377840445811364
target,Atrx.2,831,-0.10940185640915934
target,Atrx.3,25100,0.01841335971607782
target,Atrx.4,5149,-0.08666065968787812
target,Aurkb.1,25954,0.02291103966049055
target,Aurkb.2,73592,0.2738015281756353
target,Aurkb.3,1958,-0.10346639353169663
target,Aurkb.4,1105,-0.107958806871959
target,Baz1a.1,1,-0.11377313785396329
target,Baz1a.2,185622,0.8638191911411599
target,Baz1a.3,0,-0.11377840445811364
target,Baz1a.4,8854,-0.06714789131077137
target,Baz1b.1,4367,-0.09077914413346448
target,Baz1b.2,52634,0.1634240383922606
target,Baz1b.3,8134,-0.07093984629903502
target,Baz1b.4,165,-0.11290941477330323
target,Baz2a.1,2749,-0.09930050964875697
target,Baz2a.3,0,-0.11377840445811364
target,Baz2a.4,706,-0.11006018192795511
target,Baz2b.1,37338,0.0828660613082593
target,Baz2b.2,5969,-0.08234204428457784
target,Baz2b.3,836,-0.1093755233884075
target,Baz2b.4,1083,-0.10807467216326706
control,Bcl6,9943,-0.06141255939102258
control,Bcl6.2,14541,-0.03719671350763882
control,Bcl6.3,7,-0.11374153822906108
target,Bmi1.1,2965,-0.09816292315227788
target,Bmi1.2,3543,-0.09511882595336622
target,Bmi1.3,1351,-0.10666322225096891
target,Bmi1.4,489904,2.4663520352228865
target,Bop1.1,1133,-0.10781134195574875
target,Bop1.2,1110,-0.10793247385120718
target,Bop1.3,33,-0.11360460652115156
target,Bop1.4,9,-0.11373100502076035
target,Bptf.1,1285,-0.10701081812489309
target,Bptf.2,1653,-0.10507270779755833
target,Bptf.3,165,-0.11290941477330323
target,Bptf.4,703,-0.11007598174040621
target,Brd1.1,1209,-0.10741108004032092
target,Brd1.2,16384,-0.027490362058513924
target,Brd1.3,76,-0.11337814254268581
