"Experiment: 100U p2","Analysis: Analysis 2","User: Admin","Plate: p20","Plate Type: 96 Well","Plate Order: Row","Export Date: 7/20/2015","Export Time: 3:25:08 PM"
"Well ID","Well Type","Count of live cells","Count of Amet+","Count of Amet+GFP+","Count of GFP+","GeoMean BV605-A - PD-1 of Amet+","GeoMean BV605-A - PD-1 of Amet+GFP+","GeoMean BV605-A - PD-1 of GFP+","GeoMean PerCP-Cy5-5-A - LAG3 of Amet+","GeoMean PerCP-Cy5-5-A - LAG3 of Amet+GFP+","GeoMean PerCP-Cy5-5-A - LAG3 of GFP+","Amet+Tim3+ as % of Amet+","Amet+GFP+Tim3+ as % of Amet+GFP+","GFP+ as % of GFP+Tim3+","GFP+Tim3+ as % of GFP+","GeoMean PE-A - Tim3 of Amet+","GeoMean PE-A - Tim3 of Amet+GFP+","GeoMean PE-A - Tim3 of GFP+"
"B02","Sample",18366,5514,2462,717,429.334487979554,953.006922585862,974.701949610988,2425.21041033434,3879.41317541398,3499.73530409095,69.9673558215452,93.8667749796913,106.065088757396,94.2817294281729,569.112055127635,2259.35686955337,2434.8343846813
"B03","Sample",21308,6807,2626,703,546.663969093149,1065.92533431134,714.332372034335,1831.38167978251,2844.46830466808,3755.43793938433,73.1452916115763,94.5544554455445,105.397301349325,94.8790896159317,635.705403794022,2391.27970898665,2302.04821126297
"B04","Sample",14030,744,349,1571,603.729859778559,2645.74418519632,873.401319755235,1778.11558323118,2829.18678742831,4146.58550654762,40.5913978494624,76.2177650429799,110.323033707865,90.6429026098027,164.944462653479,996.047640859225,1563.93432569585
"B05","Sample",19836,4360,2099,1266,487.014364064755,1061.74464974444,833.630520431837,2461.90829280555,3096.39765518618,3525.38444078052,67.0642201834862,92.663172939495,106.655433866891,93.7598736176935,498.479592758421,1938.66230422079,2006.20565257475
"B06","Sample",16483,2780,1588,1328,374.532983197285,714.435831180179,861.655188486547,2822.64979174312,4289.30296646997,3822.07427755132,68.6690647482014,92.4433249370277,106.410256410256,93.9759036144578,592.513126408515,1876.46217807309,1951.53972149046
"B07","Sample",18196,5628,2329,777,319.183584597026,375.82285835206,733.647754566881,2022.32765275123,3966.84025516502,4615.65054248401,70.2558635394456,93.902962644912,107.766990291262,92.7927927927928,638.085589259315,3241.35480190125,2039.11678770299
"B08","Sample",18561,2489,1660,1693,337.970283718415,884.386277579885,836.154626566711,2849.41498155473,4197.03380559934,4623.59165549889,76.1349939734833,94.2168674698795,106.544996853367,93.857058476078,826.711012408672,2357.61934164717,2175.61898999204
"B09","Sample",16756,3283,1449,1160,1150.31817376262,2638.85178497718,1114.26162106503,1660.0539794528,3903.33441982701,4408.90376685969,43.6795613767895,88.8198757763975,107.011070110701,93.448275862069,180.39091322476,1745.01872423064,2127.85620662685
"B10","Sample",19381,5726,2992,756,470.587612394698,1252.42174295084,1235.95803106532,2529.64053439956,3413.37863081461,4063.16602569981,72.0398183723367,93.8502673796791,108.309455587393,92.3280423280423,639.193431374434,2300.3331574558,1926.5835690884
"B11","Sample",20585,7036,2897,556,379.098306156577,906.728211183812,888.016488118679,2616.82309011498,3351.02178182819,3398.3663400722,72.7828311540648,92.8201587849499,107.751937984496,92.8057553956834,666.861740911985,2128.52779297476,1987.22232040984
"C02","Sample",21134,4115,1798,1558,500.859183350663,747.189691529115,1192.24264374752,2400.69815149182,3018.44321431061,3633.66832578742,70.1822600243013,93.6040044493882,106.493506493506,93.9024390243902,591.746405338553,2528.05655810544,2277.39640368704
"C03","Sample",23090,5126,3089,1292,468.420648490284,904.006172567868,1243.71891265635,2458.65609442668,3390.82629535594,3785.94902084476,66.01638704643,92.0362576885723,106.512778235779,93.8854489164087,482.782099455484,2015.78042358245,2396.27833573162
"C04","Sample",21115,5124,3041,1048,631.939980207337,1392.66000811781,1462.75993690758,3108.86111689022,4254.64040742065,4930.12272163016,69.1256830601093,93.719171325222,105.965621840243,94.3702290076336,560.890234344332,2357.47047107226,2443.74199940716
"C05","Sample",23110,2211,1422,2746,887.708415238939,1519.47190514915,1247.8009097126,4526.83935319666,4917.27937734283,4757.34729400573,82.4513794663048,96.3431786216596,106.023166023166,94.3190094683175,1081.8832567994,3058.39679530005,2382.24372475314
"C06","Sample",22323,5063,2250,1471,564.087206027996,1174.73417196979,1480.29748249974,3357.25089207547,3157.24292836281,3786.3556065414,72.8421884258345,95.5555555555556,107.372262773723,93.1339225016995,691.904649490442,2688.96879315302,2021.24024004865
"C07","Sample",24439,1760,1276,3394,529.473650095578,2355.52625119057,1342.24234513431,2229.20822852758,3049.75253621214,4195.25127264914,42.6136363636364,86.5987460815047,107.100031555696,93.3706540954626,159.17059634724,1380.80197874344,2127.36880788818
"C08","Sample",21057,3465,2137,1540,416.82957543855,1217.86949037037,1460.68286907831,2553.34356235092,3710.49815119861,4346.57947642775,70.7070707070707,93.7295273748245,106.722106722107,93.7012987012987,555.646017416712,2321.49628011508,2212.8101859066
"C09","Sample",17936,1448,1180,1940,614.669252766523,1673.55507979116,1201.15568595023,3451.76624723579,4325.23246911377,3647.6367306633,67.7486187845304,94.4915254237288,107.658157602664,92.8865979381443,488.573855752534,2371.44523558537,2028.0447826613
"C10","Sample",23610,5689,2981,1232,728.817917821141,1730.11505488281,1327.46993240213,2507.233067036,3331.67210251593,4083.4303141335,73.2290384953419,94.8674941294867,107.317073170732,93.1818181818182,645.731866391743,2491.61233227447,2259.39220918946
"C11","Sample",24132,3212,2201,2341,483.125923162619,756.648502311096,1322.72791081241,2794.18829379232,2924.53835178452,3575.5351732229,71.4819427148194,91.0495229441163,106.409090909091,93.9769329346433,589.804623829764,1864.21387789124,2275.7308839074
"D02","Sample",23952,4271,2657,1430,612.030320274387,1126.56457541968,1282.11595183073,3001.92056095116,2975.27080053951,3118.78802017397,70.7094357293374,92.6608957470832,107.680722891566,92.8671328671329,632.9205786514,2120.13827933052,2176.35808930572
"D03","Sample",21214,3382,2271,1442,537.687942429782,1128.55336306838,1387.83756032433,3170.46161889974,3352.08803209932,3780.39384601521,67.297457125961,91.369440774989,106.185567010309,94.1747572815534,520.227034520212,1979.25922359555,2287.52374036958
"D04","Sample",23308,5286,3203,1333,439.810263840799,1083.79593355436,1228.61976878075,2660.08681159558,3050.01769465864,3301.98213550265,62.8074158153613,91.820168591945,107.326892109501,93.1732933233308,385.606047116103,1792.31686028689,2109.76418063478
"D05","Sample",20490,4119,2911,1257,429.731538016498,1092.09859448338,1169.86174844401,2626.35095077336,2804.41118398531,3225.64284612343,62.8550619082302,92.2019924424596,109.019947961839,91.7263325377884,400.697176083111,2038.20975843997,1766.89404489398
"D06","Sample",19459,3761,2645,1196,436.543240104144,1213.42561661667,1331.9987292541,2143.43601166105,2550.20280833855,4300.01227440506,46.317468758309,85.5198487712665,108.826205641492,91.8896321070234,169.474284846782,1255.41825709664,1929.64584035478
"D07","Sample",23116,4823,2841,1748,735.980514851482,1534.09129652077,1315.99748384734,3150.74785115157,3435.49053544521,3658.43154221964,61.8494712834335,90.2499120028159,107.768187422935,92.79176201373,417.413274577013,1992.78594684795,1984.5446825671
