Well,GeoMean BV605-A - PD-1 of Amet+GFP+_PD1,GeoMean PerCP-Cy5-5-A - LAG3 of Amet+GFP+_Lag3,Amet+GFP+Tim3+ as % of Amet+GFP+,GeoMean PE-A - Tim3 of Amet+GFP+
B02,876.059583557716,6219.26046175973,94.4038929440389,3075.77848093833
B03,2701.85633709046,5600.91935702571,91.9288645690834,2905.5459928351
B04,1004.64883425306,5509.59136823155,94.04869251578,3130.78382013441
B05,132.114806316283,823.833818704686,75.3195240193918,931.278898581593
B06,984.749906730262,4996.01190941596,91.8367346938775,2564.16603209998
B07,794.58371120781,5947.25828391163,91.8562329390355,2541.72333209167
B08,761.822583193775,4697.85949247537,96.9465648854962,4372.04866049538
B09,1096.56838709769,4018.68575399385,88.1970260223048,1637.02587948329
B10,770.01865167805,3646.88489001323,92.9598413485374,2861.68879523634
B11,1259.1704913772,4902.04625976873,91.0377358490566,2301.52557533355
C02,1340.45836835187,5580.6282341266,93.2056825200741,3116.4461496734
C03,1759.39769916748,7114.07235381246,93.657606103958,3061.53349217477
C04,1068.94815807267,5862.64619367574,92.609437180216,2716.58609251429
C05,189.85790524901,371.63569640485,75.2480158730159,929.146719753133
C06,1076.87472009237,5347.12275673377,91.5708812260536,2336.03746054127
C07,785.658403916961,5993.81466272852,94.6341463414634,3660.17132811189
C08,915.138501066399,3786.53565325546,94.3078913324709,2731.04195062688
C09,1285.73970912716,5712.44016766354,92.4066924066924,2667.56254656955
C10,1759.13056134275,6132.89693652818,95.1293759512938,3298.13101994037
C11,866.818780042898,5358.75697844987,93.6698386429458,2779.15916530063
D02,1895.63893401593,5328.41061028005,86.0527732902531,1759.82489886786
D03,1320.72494830644,5467.72240346818,91.906236178682,2435.77286139793
D04,1813.17704464817,5408.57458397144,92.5392670157068,2577.19104969119
D05,1430.5604588322,4607.71533515337,91.0118711136235,2209.50045931521
D06,1508.31054885105,6194.27575312367,94.3142144638404,3132.22317180757
D07,1707.39889448346,6104.24765607626,91.4893617021277,2124.4815661565
D08,1905.98316228452,6335.65924364717,91.9402985074627,2502.37931727635
D09,1138.31203641507,4990.40285836503,84.5195729537367,1553.18890265894
D10,720.929701999923,4812.98155121422,93.9722724532851,3150.18136663971
D11,546.393803224688,4696.60324390584,93.4453781512605,2730.32621629959
E02,1437.76582932182,7166.70837794503,91.307634164777,2340.99561695916
E03,154.603384674453,805.994198235364,63.6986301369863,455.298412865761
E04,1054.86073781975,6372.49963101242,93.6224489795918,3197.92049214496
E05,1147.20911548441,5834.46701413537,93.0091185410334,2822.20726847883
E06,862.818690107503,7355.56095767348,95.1462765957447,3672.39181356455
E07,914.128668319924,5514.11224320302,90.6396989651928,2228.09853346669
E08,895.982146559831,5173.35670720211,94.9308755760369,3493.78695783896
E09,213.795203915743,160.730781058164,70.1347935973041,779.840587202216
E10,426.901220119173,5532.05957279431,92.84140969163,2600.13230079625
E11,583.788262739862,5340.79173456848,90.4109589041096,2071.07296196154
F02,1601.1177760439,5531.64877924525,93.4710743801653,2877.25882423842
F03,1263.09474979315,4309.12745607751,89.1826923076923,2500.0264084757
F04,964.569182417546,6164.31194498369,94.4921316165951,3051.52285556668
F05,1670.25675336481,5302.92285597458,89.7810218978102,2552.45098071681
F06,1068.58471080084,5945.81599903405,95.005675368899,3493.49008992639
F07,1271.63702323641,5341.63755468082,95.2350698856417,3296.93626103395
F08,258.609823372003,1501.54689356636,79.0094339622642,1092.35312114568
F09,1326.06475890001,5830.03411059359,93.2394366197183,3095.63475930017
F10,709.152418123683,6711.15176975387,92.8730512249443,2832.76860043722
F11,358.111939193167,1191.43535863361,88.4018619084562,2351.11774224149
G02,1713.4757709041,5939.0791635136,89.9355478433317,2422.76591067645
G03,1226.86534289679,6090.84093486482,92.1140939597315,2819.82974382444
G04,865.653616175666,6521.71349207493,93.3296582138919,3127.4530995893
G05,1294.34340367323,5754.05306612698,94.0671031096563,3341.43771897726
G06,1349.7521329386,4949.10484127173,93.1712962962963,3296.11269039984
G07,1110.16506130371,4763.8152874969,93.9909864797196,3217.99890012658
G08,1124.19706084482,5120.93584620149,92.970297029703,2894.98011125269
G09,2487.55355136746,3963.47142774956,92.9411764705882,2589.84786507679
G10,979.753570595001,5754.12160394346,94.814502529511,3298.7702969304
G11,223.993228161873,2913.46236309833,90.0904443570586,2267.59010473182
