"Experiment: 100U p2","Analysis: Analysis 2","User: Admin","Plate: 15","Plate Type: 96 Well","Plate Order: Row","Export Date: 7/10/2015","Export Time: 7:35:51 PM"
"Well ID","Well Type","Count of live cells","Count of Amet+","Count of Amet+GFP+","Count of GFP+","GeoMean BV605-A - PD-1 of Amet+","GeoMean BV605-A - PD-1 of Amet+GFP+","GeoMean BV605-A - PD-1 of GFP+","GeoMean PerCP-Cy5-5-A - LAG3 of Amet+","GeoMean PerCP-Cy5-5-A - LAG3 of Amet+GFP+","GeoMean PerCP-Cy5-5-A - LAG3 of GFP+","Amet+Tim3+ as % of Amet+","Amet+GFP+Tim3+ as % of Amet+GFP+","GFP+ as % of GFP+Tim3+","GFP+Tim3+ as % of GFP+","GeoMean PE-A - Tim3 of Amet+","GeoMean PE-A - Tim3 of Amet+GFP+","GeoMean PE-A - Tim3 of GFP+"
"B02","Sample",15154,545,235,1497,443.102342532954,695.521890546621,761.316846526973,2327.20767514512,4260.75198492842,4419.66540349918,63.4862385321101,89.7872340425532,107.620416966211,92.9191716766867,482.768393123057,2471.79710235866,2560.30683890304
"B03","Sample",14639,4268,2265,495,471.537050341515,1166.98058544871,983.471317975891,1647.81557902738,3082.96246907332,3440.04554818551,56.3261480787254,94.2604856512141,106.223175965665,94.1414141414141,356.757175670829,2702.43807096627,2434.89757615794
"B04","Sample",18626,3592,2210,1417,740.131258840334,1009.42992107571,1076.35038165127,2243.71259326961,2634.89519309584,3428.41438844724,72.9955456570156,94.027149321267,108.749040675365,91.954834156669,741.694990311266,2958.93924034767,2378.58668720727
"B05","Sample",17838,2310,1076,1806,507.02234167826,1270.01986458004,1123.44749416799,2531.75767898111,4461.66580665689,4965.97050058492,74.5887445887446,94.6096654275093,106.297822248381,94.0753045404208,781.808035904034,3175.66426510696,2810.67011129787
"B06","Sample",19144,4477,2113,1165,421.727088075274,749.389877941956,960.989655852156,2265.5291649287,3604.69963301406,4589.38734848413,64.1947732856824,93.4690014197823,106.684981684982,93.7339055793991,513.657055434819,3399.48401590392,2933.23294936069
"B07","Sample",17324,3531,1826,1237,520.48602445755,981.052847605495,1208.52162474887,2564.17491996547,2961.81743663827,3086.12704312659,65.9869725290286,92.3329682365827,108.699472759227,91.9967663702506,505.174041661072,2172.5461167578,2060.62077547528
"B08","Sample",15438,4169,1755,801,530.628479103571,991.196415328557,1085.50335995483,2240.79820016481,2597.65117378128,2508.51211964505,68.4816502758455,92.5356125356125,109.128065395095,91.6354556803995,589.43401626888,2380.03450978212,1869.94177700861
"B09","Sample",17441,3454,1662,1394,389.775100061282,922.932109055337,1046.39174898282,3238.69946926752,4790.20694871633,4277.17014362697,69.3398957730168,94.6450060168472,108.145849495733,92.467718794835,638.788727983424,3465.41025174592,2688.65496619161
"B10","Sample",17964,3684,1516,1178,375.286680277089,866.619429824321,765.026437870698,2346.69020603843,3868.28949469073,4192.5479673581,71.0912052117264,94.7229551451187,105.272564789991,94.9915110356536,706.023921165913,3227.11662250064,3065.47609281658
"B11","Sample",21259,1268,666,2937,564.870048790865,1111.22870634217,1238.46029619035,3414.55068832369,4314.05357699204,4823.43920641358,69.1640378548896,90.6906906906907,106.683617871413,93.7351038474634,608.03074686352,2372.50370190725,2833.413527525
"C02","Sample",17542,2256,1108,2017,438.482979361226,791.655418590918,1148.81885897926,2790.43207759803,3725.96092578853,3474.23142308667,61.436170212766,91.1552346570397,108.208154506438,92.4144769459594,451.687664955647,2159.24474506746,2343.24127147845
"C03","Sample",16460,3857,1782,1112,618.013222250168,1421.22718475179,1034.73662162735,2310.19968815176,3231.70860947535,4362.60843979133,76.4843142338605,95.3423120089787,106.923076923077,93.5251798561151,894.786643190945,3775.83113451707,2647.96442483196
"C04","Sample",13491,541,259,1596,425.140030014169,800.048373123543,628.458222707659,2522.65991445141,3656.22716087159,4224.16392559211,62.1072088724584,90.3474903474904,107.402422611036,93.1077694235589,500.250941546297,2041.30384482984,2333.78294267722
"C05","Sample",17819,4207,2084,1137,608.143211499096,992.600142581018,1192.85944264512,4212.28924617056,5227.37373258155,5456.39412604744,69.6220584739719,93.1861804222649,106.760563380282,93.6675461741425,668.753825559207,3063.82529179698,3081.74453444522
"C06","Sample",15988,4656,2274,628,402.310621347104,915.365656796317,994.682461734136,2596.52327954672,3784.82334638123,4559.10873181577,62.9939862542955,91.688654353562,106.984667802385,93.4713375796178,472.753568537689,2634.43815471644,2955.18643518253
