"Position","shRNA","CD103Percentage_100U_shRNA_fixed_normbycontrolZP.csv","CD103Percentage_10U_shRNA_fixed_normbycontrolZP.csv","CD127GeoMean_100U_shRNA_fixed_normbycontrolZP.csv","CD127GeoMean_10U_shRNA_fixed_normbycontrolZP.csv","CD25GeoMean_100U_shRNA_fixed_normbycontrolZP.csv","CD25GeoMean_10U_shRNA_fixed_normbycontrolZP.csv","CD44GeoMean_100U_shRNA_fixed_normbycontrolZP.csv","CD44GeoMean_10U_shRNA_fixed_normbycontrolZP.csv","CD62LPercentage_100U_shRNA_fixed_normbycontrolZP.csv","CD62LPercentage_10U_shRNA_fixed_normbycontrolZP.csv","CXCR3GeoMean_100U_shRNA_fixed_normbycontrolZP.csv","CXCR3GeoMean_10U_shRNA_fixed_normbycontrolZP.csv","CXCR3Percentage_100U_shRNA_fixed_normbycontrolZP.csv","CXCR3Percentage_10U_shRNA_fixed_normbycontrolZP.csv","Lag3GeoMean_100U_shRNA_fixed_normbycontrolZP.csv","Lag3GeoMean_10U_shRNA_fixed_normbycontrolZP.csv","PD1GeoMean_100U_shRNA_fixed_normbycontrolZP.csv","PD1GeoMean_10U_shRNA_fixed_normbycontrolZP.csv","Tim3GeoMean_100U_shRNA_fixed_normbycontrolZP.csv","Tim3GeoMean_10U_shRNA_fixed_normbycontrolZP.csv","Tim3Percentage_100U_shRNA_fixed_normbycontrolZP.csv","Tim3Percentage_10U_shRNA_fixed_normbycontrolZP.csv"
"1_B02","Actl6b.1",37.9408166106403,30.415744938754,29.8311339492569,75.9307190601427,80.2541913830288,93.9875555802075,96.2385043844215,95.3601981559951,19.5914809094242,41.2073049788163,37.6468112126735,79.7663935293438,53.0862422197667,70.7865862776279,54.3604390741436,22.9627687261198,35.5456860000149,41.7124804525075,84.452861030095,96.4752680724179,87.2159000418541,90.4993355340015
"1_B03","Asxl3.1",29.6497512153421,48.77464651927,53.8200235408783,87.0170523479891,54.6544397369705,87.1122073131619,99.5735138556909,97.1837711052546,31.6111091294067,70.5601281028115,26.4552048186478,85.0118403976484,30.2178866880066,73.7436955859891,63.0629728431895,79.0768868828505,57.6235063781478,67.6610535391223,88.2243205527729,88.2916021046583,89.0641896958285,87.2605577083965
"1_B04","Atad2.1",27.3524210304117,42.3247391815689,40.6879341927317,73.0132356586263,82.0266395307933,81.6253765922214,99.4875091147929,87.3465864654431,31.2510577053262,80.4894520096537,23.2443381482087,61.5891089129171,27.525320406604,65.0154078696665,69.8890012196662,64.2772665328369,63.3617303779945,51.0665180625614,98.718647936081,86.7950180967708,94.8961316191801,89.0902096427412
"1_B05","Asxl2.1",27.1162142769044,54.7362285097276,27.8168666440709,93.2216427891068,28.2505866831511,67.4409814251469,99.8917860911327,87.2775772654548,35.6968243927871,81.8734844607252,29.6400196322579,83.9088471014612,48.7246039461929,72.8289036662992,77.8176562024665,65.9759980407952,63.9837120138635,31.1681217999031,55.5696035745018,34.7646318281185,67.7206684389087,48.1814407025343
"1_B06","Aff4.1",36.4622199666813,64.4665508881472,29.6678007169141,86.092584928761,54.0789748744633,94.221983520811,99.951148826581,99.5522328828127,38.4079735406752,60.8679689167652,25.9198660375562,84.3872769246482,31.7629654133178,74.3425119095553,43.9596506715161,75.4049412725392,50.2180881274535,62.7069947165648,76.0303371630952,64.5713875034691,81.5880598863675,66.3083763552677
"1_B07","Aurkb.1",31.5607078905759,55.3071444477211,28.8733391295262,83.7113908686296,47.3229902485205,87.5803725478879,99.8334358640099,99.0366231954585,38.5109745445212,64.0869581332081,23.1654029649269,84.5470669912945,24.2020930607244,74.2891995780722,81.7672699335723,25.9244473653817,51.8188615645565,40.4109789727606,94.8459578726259,80.8141481691999,90.9300923351178,72.5850717397037
"1_B08","Atm.1",39.7074568591588,46.6368358092371,25.8155495498561,92.8014252415434,50.35263176872,76.8450873575503,99.1155828503456,96.4313816800425,38.4216846591851,67.7814376117816,22.1835203111429,75.2831730952342,25.0854677383882,72.8724292693954,41.5514968196192,44.6991973517091,74.9698395609561,39.6978972580344,77.2430532643012,62.321850771568,82.3269606054586,69.2322323126538
"1_B09","A2l.1",50.0791050526067,72.1303680928107,29.8967230044276,93.4425405844142,73.8245890124544,83.8204998541151,93.2441665991246,41.063670038703,54.6057812521755,59.5094333131361,26.6199790651428,24.8084970694638,37.3481267822287,38.5864703405356,31.3704789822352,10.5706999526907,62.284659006318,51.1905250762787,86.0127583026555,98.8128714645593,80.6873432417927,92.8885296795467
"1_B10","Aff1.1",35.4928290221369,31.4954067414243,33.6546196285975,87.6661720387556,51.5746436305877,81.4126276091631,99.8671418646418,98.4301179509415,26.1590120190297,57.3448574529434,20.7111043262108,70.7637537783937,20.358969405245,69.2076178268681,56.1007605377475,65.763161460556,50.2819816392971,57.5032615210779,99.9880491406967,98.5005918903276,98.135763675981,96.9383123232735
"1_B11","Atr.1",39.7395240598304,20.932548205144,34.2800640855275,47.3606695523762,73.033194296193,84.3299900461816,99.7569478436329,64.3622052131354,30.1156061735507,42.6281411976314,19.7977254016534,55.4282898882793,17.5246455492511,55.6425111525871,35.2196524969519,55.3795880365834,46.3941087837715,76.8953088602176,99.9467619735192,99.58027707691,97.3211495975187,99.5588226251132
"1_C02","Atm.2",45.4514985551054,62.1748286999382,54.0391257800249,93.2372272189743,66.923486011407,89.5981821841564,99.9642929508168,99.7204187818876,14.1882987807542,40.705286308171,27.2889214037791,88.788328806482,32.779420046009,72.9112980333426,50.1758934515854,69.7796170467151,44.9927854138033,54.3407295934496,97.1570785741533,97.0814566777542,93.4807241346847,97.9747391899287
"1_C03","Arid2.1",38.166328465407,52.1112520268924,61.5514656540149,93.5222848541196,89.784068752345,84.5003436553592,99.7981956561503,92.4697523637505,23.4145973146308,57.0192487395442,36.1121605178519,77.459947020025,49.2101762837706,71.4979081493795,60.6477571039561,57.8023857345825,47.9838002387826,42.7870154629849,98.1547822754533,85.9980724998297,92.9916889135354,91.404927571544
"1_C04","Actl6b.2",40.4321873999328,62.4892294573721,30.9754727325202,82.1402340086003,76.9115091086318,57.5702380394865,97.2280731361557,92.4627568644022,19.912265761151,69.1047795625917,28.109445496354,80.207613672489,36.7173495698229,70.5071375485759,79.8771584534646,46.3672447402779,68.2013328170866,48.6419980783597,93.8300131922787,82.5762025125991,88.8350924597234,79.2095106323156
