Position,Pool,shRNA,GeoMean,precentile,z
control1_G07,1,Wdr82.2,433.2090871,22.88243028,-0.742724315
control1_G08,1,Wdr82.3,643.0310911,54.58959136,0.115298947
control1_G09,1,Wdr82.4,442.7632275,24.08239333,-0.703654653
control1_G10,1,Empty,992.8659713,93.89326957,1.545875624
control1_G11,1,Empty,1699.651602,99.99954204,4.436127843
1_B02,1,Actl6b.1,560.5564446,41.21709953,-0.221963894
1_B03,1,Asxl3.1,635.6253036,53.38750788,0.085014526
1_B04,1,Atad2.1,514.3645459,34.05890578,-0.410856016
1_B05,1,Asxl2.1,719.880579,66.62417219,0.429558877
1_B06,1,Aff4.1,730.0211076,68.11890771,0.471026451
1_B07,1,Aurkb.1,654.7405252,56.48125224,0.163182232
1_B08,1,Atm.1,704.2540606,64.26896663,0.365657494
1_B09,1,A2l.1,545.698107,38.8694223,-0.282723962
1_B10,1,Aff1.1,707.1629099,64.71185184,0.377552626
1_B11,1,Atr.1,494.535221,31.13795018,-0.491943899
1_C02,1,Atm.2,764.3498849,72.95348543,0.611406816
1_C03,1,Arid2.1,657.1534841,56.86937498,0.173049524
1_C04,1,Actl6b.2,637.4962895,53.69153597,0.092665532
1_C05,1,Atr.2,532.5676656,36.82777785,-0.33641816
1_C06,1,Atad2b.1,698.1905011,63.3396201,0.340861834
1_C07,1,Atad2.2,733.269861,68.59176098,0.48431155
1_C08,1,Aff4.2,681.2749832,60.70695571,0.271689356
1_C09,1,Atrx.1,592.1816187,46.30950408,-0.09263935
1_C10,1,Asxl3.2,685.6809177,61.39796105,0.289706505
1_C11,1,Asxl1.1,540.3175406,38.02871696,-0.304726665
1_D02,1,Aff1.2,474.9845043,28.36974123,-0.571892472
1_D03,1,Atrx.2,962.475912,92.24290625,1.421601824
1_D04,1,Asxl3.3,524.8611966,35.64619114,-0.367932156
1_D05,1,A1l.1,432.1161818,22.74733766,-0.747193523
1_D06,1,Arid2.2,691.4888222,62.30331505,0.313456718
1_D07,1,Atrx.3,601.3893439,47.80746968,-0.054986281
1_D08,1,Atad2b.2,691.8238322,62.355337,0.314826671
1_D09,1,A2l.2,913.332467,88.8888817,1.220639969
1_D10,1,Actl6b.3,735.5539511,68.92239653,0.493651859
1_D11,1,Aurkb.2,626.5198947,51.90541554,0.047779858
1_E02,1,Asxl1.2,397.7257868,18.73172149,-0.887825861
1_E03,1,Asxl2.2,673.2239596,59.43566282,0.238766377
1_E04,1,Actl6b.4,588.8364029,45.76646639,-0.106318911
1_E05,1,Atm.3,658.532807,57.09094301,0.178689977
1_E06,1,Atad2.3,728.0765759,67.83445862,0.463074695
1_E07,1,A1l.2,723.4733757,67.1569391,0.444250869
1_E08,1,Aff1.3,683.8769344,61.11545634,0.282329492
1_E09,1,Atr.3,869.8901059,85.15238869,1.042991507
1_E10,1,Atad2b.3,753.1187159,71.41260987,0.565479296
1_E11,1,A2l.3,658.5008261,57.08580824,0.178559198
1_F02,1,Aff4.3,614.8070202,49.99531259,-0.000117496
1_F03,1,Aurkb.3,686.5032009,61.52653176,0.293069061
1_F04,1,Atad2.4,1443.327498,99.96479067,3.387943955
1_F05,1,A1l.3,870.0835119,85.1706962,1.0437824
1_F06,1,Arid2.3,754.2537445,71.57021017,0.570120759
1_F07,1,Atm.4,654.8211779,56.49423548,0.163512045
1_F08,1,Asxl2.3,769.7520003,73.67956388,0.633497639
1_F09,1,Asxl1.3,848.6402563,83.04878002,0.956094685
1_F10,1,Arid2.4,583.611419,44.91989757,-0.127685392
1_F11,1,Atr.4,437.8278639,23.45829694,-0.723836792
1_G02,1,Atad2b.4,377.8072044,16.62030661,-0.969278743
1_G03,1,Asxl1.4,692.2428132,62.42036679,0.316540007
1_G04,1,Aff1.4,617.021883,50.3566386,0.008939723
1_G05,1,Aurkb.4,540.6829673,38.08564067,-0.303232329
1_G06,1,Atrx.4,604.4090679,48.29951513,-0.04263775
1_G07,1,A1l.4,702.4785651,63.99768729,0.358396976
1_G08,1,Aff4.4,572.0637252,43.05762475,-0.174907273
1_G09,1,Asxl3.4,616.470955,50.26676345,0.006686818
1_G10,1,A2l.4,609.8754052,49.19082879,-0.020284305
1_G11,1,Asxl2.4,490.4811815,30.55436409,-0.508522047
2_B02,1,Baz1a.1,962.9847702,92.27308271,1.423682693
2_B03,1,Brd2.1,515.6297977,34.24881226,-0.405682033
2_B04,1,Brd3.1,767.8260602,73.42185175,0.625621909
2_B05,1,Brd1.1,779.2040099,74.9255787,0.672149658
2_B06,1,Baz2a.1,926.8247641,89.89893437,1.2758139
2_B07,1,Brpf3.1,1209.543807,99.2490786,2.431934378
2_B08,1,Brd8.1,825.327476,80.53154143,0.860761939
2_B09,1,Bop1.1,1026.132735,95.37071546,1.681913106
2_B10,1,Baz1b.1,1087.732715,97.34319601,1.933813359
2_B11,1,Brd9.1,593.2885982,46.48935956,-0.088112588
2_C02,1,Brd8.2,964.3205825,92.35187504,1.429145218
2_C03,1,Baz2b.1,811.3542652,78.91921734,0.803621412
2_C04,1,Baz1a.2,999.5773893,94.21776952,1.573320566
2_C05,1,Brd9.2,540.6518113,38.08078639,-0.303359735
2_C06,1,Brd4.1,574.1052529,43.38585783,-0.166558872
2_C07,1,Brd3.2,775.7918862,74.47940602,0.658196491
2_C08,1,Baz2a.2,579.3862935,44.23699794,-0.14496316
2_C09,1,Brpf1.1,774.3669509,74.29185874,0.652369515
2_C10,1,Brd2.2,770.5063549,73.78015585,0.636582414
2_C11,1,Bptf.1,1309.874567,99.77599441,2.842216066
2_D02,1,Baz1b.2,772.8112544,74.08628543,0.646007819
2_D03,1,Brpf1.2,627.6914872,52.09630748,0.052570841
2_D04,1,Brd2.3,531.8345329,36.71481258,-0.339416153
2_D05,1,Bmi1.1,718.5973289,66.43305982,0.424311294
2_D06,1,Baz2b.2,806.036093,78.2855645,0.781873858
2_D07,1,Brpf1.3,1037.037661,95.78718366,1.726506523
2_D08,1,Brd4.2,600.9073812,47.7289658,-0.056957166
2_D09,1,Bop1.2,1015.401602,94.92923216,1.638030379
2_D10,1,Baz1a.3,1082.947939,97.22056996,1.914247017
2_D11,1,Brpf3.2,1097.271148,97.57418941,1.972818788
2_E02,1,Bptf.2,723.3413845,67.13742721,0.443711119
2_E03,1,Brd1.2,1065.198831,96.72379712,1.841665746
2_E04,1,Baz1a.4,909.8424079,88.61622052,1.206368102
2_E05,1,Brd8.3,786.4059339,75.85358058,0.701600422
2_E06,1,Brd3.3,939.2172267,90.7661325,1.326490288
2_E07,1,Bmi1.2,1051.25045,96.28390607,1.784626756
2_E08,1,Baz1b.3,955.1659038,91.7994743,1.391709072
2_E09,1,Brd9.3,675.4029812,59.78078475,0.247677031
2_E10,1,Brd4.3,750.912874,71.10514309,0.556458966
2_E11,1,Bop1.3,910.9277698,88.70152061,1.210806462
2_F02,1,Baz2a.3,967.029752,92.50979543,1.440223801
2_F03,1,Brpf3.3,890.0755863,86.98189749,1.125535813
2_F04,1,Brd3.4,1057.300487,96.4803006,1.809367118
2_F05,1,Bmi1.3,810.859664,78.86074767,0.801598844
2_F06,1,Baz2b.3,1062.400617,96.63917027,1.830223035
2_F07,1,Brd8.4,745.8021746,70.38686009,0.535559829
2_F08,1,Brd1.3,845.7176325,82.74517685,0.944143226
2_F09,1,Bptf.3,1055.373648,96.41869789,1.801487713
2_F10,1,Baz2b.4,844.6284476,82.63115048,0.939689231
2_F11,1,Brd9.4,794.1061392,76.82478656,0.733088803
2_G02,1,Brd4.4,730.2416829,68.15110691,0.471928448
2_G03,1,Bptf.4,938.7172261,90.73224573,1.32444564
2_G04,1,Baz1b.4,747.2426145,70.59013453,0.541450207
2_G05,1,Brpf3.4,846.8432619,82.8625158,0.948746252
2_G06,1,Brpf1.4,861.1581241,84.31008157,1.007283891
2_G07,1,Bmi1.4,911.5794348,88.75251616,1.21347131
2_G08,1,Baz2a.4,833.3790022,81.42553016,0.893686974
2_G09,1,Brd2.4,520.9969618,35.05877543,-0.383734137
2_G10,1,Bop1.4,797.4703745,77.242178,0.746846141
2_G11,1,Brd1.4,840.9636081,82.2439696,0.924702636
4_B02,1,Chd3.1,427.823598,22.22110625,-0.764747148
4_B03,1,Cxxc1.1,211.0549099,4.935117577,-1.651177424
4_B04,1,Dmap1.1,279.7066755,8.527473919,-1.370440367
4_B05,1,Ctsl.1,378.160638,16.65637775,-0.96783345
4_B06,1,Chd5.1,517.2568383,34.49360689,-0.399028591
4_B07,1,Dot1l.1,849.934639,83.18213901,0.961387793
4_B08,1,Dnmt3a.1,329.3760319,12.15389862,-1.167327908
4_B09,1,Chd9.1,436.3066561,23.26775333,-0.730057454
4_B10,1,Chd4.1,322.9528694,11.63183936,-1.193594089
4_B11,1,Dnmt3b.1,413.3387193,20.49754514,-0.823980034
4_C02,1,Dnmt3a.2,743.8898297,70.11599905,0.527739694
4_C03,1,Chd6.1,720.6401375,66.73708956,0.432664933
