gene_name,SWISNF,NuRD,Set1cCompass,HistoneH3Acetylation,ESCEZComplex
TRIM24,NA,NA,NA,NA,NA
RPA3,NA,NA,NA,NA,NA
KDM2B,NA,NA,NA,NA,NA
SP110,NA,NA,NA,NA,NA
ARID2,NA,NA,NA,NA,NA
DPY30,NA,NA,Yes,NA,NA
ARID1B,Yes,NA,NA,NA,NA
KDM3B,NA,NA,NA,NA,NA
PHF10,NA,NA,NA,NA,NA
PRDM5,NA,NA,NA,NA,NA
PHC2,NA,NA,NA,NA,NA
JARID2,NA,NA,NA,NA,Yes
SMARCA2,Yes,NA,NA,NA,NA
CXXC1,NA,NA,Yes,NA,NA
SSRP1,NA,NA,NA,NA,NA
MSL3,NA,NA,NA,NA,NA
SETD7,NA,NA,NA,NA,NA
KDM8,NA,NA,NA,NA,NA
SFMBT2,NA,NA,NA,NA,NA
PCGF1,NA,NA,NA,NA,NA
BRD4,NA,NA,NA,NA,NA
MTA2,NA,Yes,NA,NA,NA
EHMT2,NA,NA,NA,NA,NA
MEN1,NA,NA,NA,NA,NA
MORF4L1,NA,NA,NA,NA,NA
PRDM16,NA,NA,NA,NA,NA
MTA3,NA,Yes,NA,NA,NA
KAT8,NA,NA,NA,NA,NA
L3MBTL4,NA,NA,NA,NA,NA
POLR2B,NA,NA,NA,NA,NA
ELP3,NA,NA,NA,NA,NA
WDR82,NA,NA,Yes,NA,NA
SCML2,NA,NA,NA,NA,NA
ZMYND11,NA,NA,NA,NA,NA
NAP1L1,NA,NA,NA,NA,NA
EZH2,NA,NA,NA,NA,Yes
PRDM4,NA,NA,NA,NA,NA
FBXL19,NA,NA,NA,NA,NA
BRD7,NA,NA,NA,NA,NA
SMARCA5,NA,NA,NA,NA,NA
HDAC1,NA,Yes,NA,NA,NA
CHD5,NA,Yes,NA,NA,NA
EED,NA,NA,NA,NA,Yes
GTF3C4,NA,NA,NA,NA,NA
ZMYND8,NA,NA,NA,NA,NA
KDM2A,NA,NA,NA,NA,NA
PARP1,NA,NA,NA,NA,NA
HDAC6,NA,NA,NA,NA,NA
INO80,NA,NA,NA,NA,NA
RNF40,NA,NA,NA,NA,NA
SETDB1,NA,NA,NA,NA,NA
KDM4A,NA,NA,NA,NA,NA
MLL2,NA,NA,NA,NA,NA
KDM1A,NA,NA,NA,NA,NA
SETD1A,NA,NA,Yes,NA,NA
PCGF6,NA,NA,NA,NA,NA
PADI4,NA,NA,NA,NA,NA
H2AFZ,NA,NA,NA,NA,NA
PHF19,NA,NA,NA,NA,Yes
PHC1,NA,NA,NA,NA,NA
WHSC1L1,NA,NA,NA,NA,NA
PRMT5,NA,NA,NA,NA,NA
PRMT1,NA,NA,NA,NA,NA
BOP1,NA,NA,NA,NA,NA
RNF2,NA,NA,NA,NA,NA
SETD8,NA,NA,NA,NA,NA
SIRT1,NA,NA,NA,NA,Yes
SMARCA4,Yes,NA,NA,Yes,NA
L3MBTL2,NA,NA,NA,NA,NA
HAT1,NA,NA,NA,NA,NA
EZH1,NA,NA,NA,NA,Yes
PHF20,NA,NA,NA,NA,NA
PRKAA2,NA,NA,NA,NA,NA
PBRM1,NA,NA,NA,NA,NA
SMARCC2,Yes,NA,NA,NA,NA
PHC3,NA,NA,NA,NA,NA
KDM5B,NA,NA,NA,NA,NA
SETD4,NA,NA,NA,NA,NA
PHF17,NA,NA,NA,NA,NA
KAT7,NA,NA,NA,Yes,NA
ARID1A,Yes,NA,NA,NA,NA
L3MBTL1,NA,NA,NA,NA,NA
WDR5,NA,NA,Yes,Yes,NA
SETMAR,NA,NA,NA,NA,NA
CBX6,NA,NA,NA,NA,NA
BRD1,NA,NA,NA,Yes,NA
BRD8,NA,NA,NA,NA,NA
PHF1,NA,NA,NA,NA,Yes
KDM5A,NA,NA,NA,NA,NA
KDM6B,NA,NA,NA,NA,NA
SFMBT1,NA,NA,NA,NA,NA
DOT1L,NA,NA,NA,NA,NA
ATRX,NA,NA,NA,NA,NA
KDM5C,NA,NA,NA,NA,NA
KDM4B,NA,NA,NA,NA,NA
SMARCD2,Yes,NA,NA,NA,NA
SP100,NA,NA,NA,NA,NA
KDM4D,NA,NA,NA,NA,NA
ACTB,NA,NA,NA,NA,NA
SIN3B,NA,NA,NA,NA,NA
CHD1,NA,NA,NA,NA,NA
SMYD3,NA,NA,NA,NA,NA
SMYD5,NA,NA,NA,NA,NA
EP400,NA,NA,NA,NA,NA
JHDM1D,NA,NA,NA,NA,NA
FKBP5,NA,NA,NA,NA,NA
SCMH1,NA,NA,NA,NA,NA
BRD9,Yes,NA,NA,NA,NA
PRMT3,NA,NA,NA,NA,NA
SIN3A,NA,NA,NA,NA,NA
GTF2H1,NA,NA,NA,NA,NA
CHD3,NA,Yes,NA,NA,NA
KDM4C,NA,NA,NA,NA,NA
CHAF1B,NA,NA,NA,NA,NA
PRDM9,NA,NA,NA,NA,NA
L3MBTL3,NA,NA,NA,NA,NA
PCMT1,NA,NA,NA,NA,NA
RING1,NA,NA,NA,NA,NA
BRPF3,NA,NA,NA,Yes,NA
PHF8,NA,NA,NA,NA,NA
USP27X,NA,NA,NA,NA,NA
PAF1,NA,NA,NA,NA,NA
USP51,NA,NA,NA,NA,NA
HDAC2,NA,Yes,NA,NA,Yes
ING5,NA,NA,NA,Yes,NA
CHD4,NA,Yes,NA,NA,NA
SMARCA1,NA,NA,NA,NA,NA
HCFC1,NA,NA,Yes,NA,NA
CBX4,NA,NA,NA,NA,NA
PRDM1,NA,NA,NA,NA,NA
CBX2,NA,NA,NA,NA,NA
BPTF,NA,NA,Yes,NA,NA
RBBP7,NA,Yes,NA,NA,Yes
CARM1,NA,NA,NA,NA,NA
WHSC1,NA,NA,NA,NA,NA
PRDM11,NA,NA,NA,NA,NA
MBD4,NA,NA,NA,NA,NA
CHD8,NA,NA,NA,NA,NA
MLL3,NA,NA,NA,NA,NA
PHF20L1,NA,NA,NA,NA,NA
CBX7,NA,NA,NA,NA,NA
CBX3,NA,NA,NA,NA,NA
CHAF1A,NA,NA,NA,NA,NA
MBD3,NA,Yes,NA,NA,NA
AFF4,NA,NA,NA,NA,NA
HLTF,NA,NA,NA,NA,NA
PRDM13,NA,NA,NA,NA,NA
SUV420H2,NA,NA,NA,NA,NA
SMARCD3,Yes,NA,NA,NA,NA
HIRA,NA,NA,NA,NA,NA
CBX8,NA,NA,NA,NA,NA
UBE2A,NA,NA,NA,NA,NA
KDM6A,NA,NA,NA,NA,NA
SMYD2,NA,NA,NA,NA,NA
TRIM28,NA,NA,NA,NA,NA
KAT2B,NA,NA,NA,Yes,NA
SMARCE1,Yes,NA,NA,NA,NA
MTF2,NA,NA,NA,NA,Yes
MECP2,NA,NA,NA,NA,NA
SMYD1,NA,NA,NA,NA,NA
KDM3A,NA,NA,NA,NA,NA
KAT2A,NA,NA,NA,Yes,NA
CBX1,NA,NA,NA,NA,NA
KAT6B,NA,NA,NA,Yes,NA
PAXIP1,NA,NA,NA,NA,NA
ASH2L,NA,NA,Yes,NA,NA
NSD1,NA,NA,NA,NA,NA
SMYD4,NA,NA,NA,NA,NA
PSIP1,NA,NA,NA,NA,NA
MECOM,NA,NA,NA,NA,NA
MBD1,NA,NA,NA,NA,NA
NCOR1,NA,NA,NA,NA,NA
AFF1,NA,NA,NA,NA,NA
BMI1,NA,NA,NA,NA,NA
GTF2F1,NA,NA,NA,NA,NA
CHD2,NA,NA,NA,NA,NA
RBBP5,NA,NA,Yes,NA,NA
SMARCD1,Yes,NA,NA,NA,NA
SIRT2,NA,NA,NA,NA,NA
MBD2,NA,NA,NA,NA,NA
BRD2,NA,NA,NA,NA,NA
BRCA1,NA,NA,NA,NA,NA
SUPT16H,NA,NA,NA,NA,NA
SUV39H1,NA,NA,NA,NA,NA
EHMT1,NA,NA,NA,NA,NA
TRIM33,NA,NA,NA,NA,NA
PRMT8,NA,NA,NA,NA,NA
RBBP4,NA,Yes,NA,NA,Yes
JMJD4,NA,NA,NA,NA,NA
KAT6A,NA,NA,NA,Yes,NA
DMAP1,NA,NA,NA,NA,NA
BAZ1B,NA,NA,NA,NA,NA
BAZ2A,NA,NA,NA,NA,NA
PRDM2,NA,NA,NA,NA,NA
ING4,NA,NA,NA,Yes,NA
USP22,NA,NA,NA,NA,NA
SMARCC1,Yes,NA,NA,NA,NA
BRPF1,NA,NA,NA,Yes,NA
PRMT2,NA,NA,NA,NA,NA
CBX5,NA,NA,NA,NA,NA
PCGF5,NA,NA,NA,NA,NA
SUV420H1,NA,NA,NA,NA,NA
JMJD6,NA,NA,NA,NA,NA
SMARCB1,Yes,NA,NA,NA,NA
MTA1,NA,Yes,NA,NA,NA
ACTL6A,Yes,NA,NA,NA,NA
SUZ12,NA,NA,NA,NA,Yes
PCGF2,NA,NA,NA,NA,NA
SATB1,NA,NA,NA,NA,NA
