type,shRNA,count,pctg
target,Zmynd11.3,112301,6.681858884918947
target,Taf1.2,111532,6.636103731514234
target,Sp100.1,87870,5.228225396192624
target,Smarcd1.2,73794,4.390709740373717
target,Sirt1.2,68832,4.095472976792201
target,Setd5.2,53521,3.1844753775990142
target,Setd5.4,51763,3.0798751699455877
target,Sp140.1,49343,2.9358862606615754
target,Supt16h.4,36656,2.181015478807748
target,Suv39h2.3,34811,2.0712388103660113
target,Whsc1l1.4,26139,1.5552587189152043
target,Ube2a.1,25338,1.507599579933182
target,Setd2.3,24324,1.4472670369521952
target,Setdb1.2,22553,1.3418933351579863
target,Smarcc2.4,21652,1.2882842412468727
target,Smarca5.1,19686,1.1713081273409354
target,Smarce1.4,19120,1.1376313824422781
target,Whsc1.4,13644,0.8118118505252323
target,Satb1.3,11327,0.6739513948181843
target,Setmar.2,11177,0.6650264624245472
target,Ube2a.2,10972,0.6528290548199097
target,Trim24.3,10596,0.6304572242865261
target,Setmar.1,10557,0.6281367418641803
target,Trim24.2,10175,0.6054079140350512
target,Uhrf1.3,10140,0.6033254298098691
target,Suv39h1.2,9604,0.5714336713899393
target,Tcea1.3,8955,0.532818463900136
target,Ube2b.1,8604,0.5119341220990251
target,Smyd5.1,8278,0.49253726903018713
target,Setmar.4,8229,0.4896217911149323
target,Taf3.4,8158,0.4853973231152774
target,Suv39h2.2,8157,0.48533782356598654
target,Smyd4.2,8032,0.4779003799046222
target,Ube2b.4,8022,0.47730538441171305
target,Setdb1.1,7983,0.4749849019893674
target,Sirt1.1,7689,0.45749203449783865
target,Smyd4.1,7537,0.4484481030056197
target,Sfmbt1.1,7266,0.432323725147782
target,Whsc1l1.3,7178,0.42708776481018157
target,Zmynd11.2,6635,0.3947795095452152
target,Sirt3.4,6596,0.3924590271228695
target,Sirt7.1,6540,0.38912705236257833
target,Zmynd8.3,6431,0.38264160148986875
target,Suv39h2.1,6426,0.38234410374341415
target,Wdr82.2,6200,0.36889720560366757
target,Setd7.1,6174,0.36735021732210377
target,Sfmbt1.3,6137,0.36514873399833997
target,Smyd1.3,6045,0.3596747754635759
target,Sp100.2,5985,0.35610480250612103
target,Smyd4.4,5940,0.3534273227880299
target,Smarca1.2,5768,0.3431934003099926
target,Scmh1.2,5565,0.3311149918039371
target,Whsc1l1.2,5493,0.3268310242549913
target,Taf1.3,5456,0.3246295409312274
target,Suz12.4,5440,0.3236775481425728
target,Suv420h1.3,5297,0.3151691125939721
target,Usp51.2,5290,0.3147526157489357
target,Wdr5.1,5218,0.31046864819998987
target,Setd3.3,5202,0.3095166554113353
target,Suz12.3,5144,0.3060656815524622
target,Sirt1.4,5082,0.3023767094964256
target,Smarca2.2,5074,0.30190071310209826
target,Setdb2.2,5071,0.30172221445422553
target,Tet2.3,5012,0.2982117410460616
target,Setd3.1,4872,0.2898818041453336
target,Zmynd11.4,4776,0.28416984741340584
target,Usp51.3,4731,0.2814923676953147
target,Setd8.3,4716,0.280599874455951
target,Scml2.4,4642,0.2761969078084234
target,Wbp7.4,4641,0.27613740825913247
target,Sirt1.3,4571,0.27197243980876845
target,Usp27x.1,4536,0.26988995558358647
target,Smarcc1.1,4531,0.26959245783713187
target,Sirt4.2,4458,0.26524899073889513
target,Smarcd1.1,4437,0.26399950020378593
target,Usp22.3,4349,0.25876353986618555
target,Taf3.3,4273,0.2542415741200761
target,Ube2b.3,4239,0.25221858944418496
target,Smarcd3.3,4218,0.25096909890907576
target,Sfmbt1.4,4097,0.24376965344487514
target,Sin3a.2,3995,0.2377006994172019
target,Sp110.1,3989,0.23734370212145645
