type,shRNA,count,pctg
target,Morf4l1.2,50660,1.7581358900918664
target,Mll2.2,48578,1.685880877790815
target,L3mbtl1.3,46506,1.6139729116583568
target,Mbd1.1,44997,1.5616036448176809
target,Prmt5.3,43677,1.5157935505634121
target,Phf20.2,41417,1.4373611164614062
target,Prmt3.2,36699,1.2736247341192541
target,Nap1l1.4,33173,1.1512562550733811
target,Prmt5.2,31624,1.0974988035583337
target,Kdm5c.2,31102,1.079382993557782
target,Phf20.3,29565,1.026041997445046
target,Mll1.2,28369,0.9845352756813298
target,Kdm5a.2,28334,0.9833206140912545
target,Mbd4.1,26697,0.9265091562925891
target,Phf20l1.4,26542,0.9211299406793985
target,Rbbp4.3,26458,0.9182147528632176
target,Prdm8.2,26429,0.9172083189742981
target,Prdm8.1,26423,0.9170000912731423
target,Myst4.3,25146,0.872682295543823
target,Pcgf6.3,24615,0.8542541439915375
target,Mtf2.1,23878,0.8286768413662375
target,Phc1.2,23307,0.8088605051395803
target,Nap1l3.3,23271,0.8076111389326457
target,Mbd2.3,22739,0.7891482827635009
target,Psip1.1,22197,0.7703383804257632
target,Mta3.1,20698,0.7183161597536805
target,Kdm5d.1,20065,0.696348137281747
target,Kdm4c.4,20031,0.695168180308531
target,Prmt1.4,19309,0.6701114469361202
target,L3mbtl3.1,18590,0.6451588274142873
target,Kdm1a.2,18281,0.6344351008047654
target,Prdm9.4,17916,0.6217679156511228
target,Ncor1.4,17829,0.6187486139843642
target,Myst3.2,17775,0.6168745646739623
target,Psip1.4,17772,0.6167704508233843
target,Prdm4.2,17689,0.6138899676240629
target,Mecom.2,17546,0.6089272074131837
target,Nap1l3.2,17199,0.5968847053630086
target,Men1.4,17153,0.5952882929874811
target,Prdm1.2,16884,0.5859527510523308
target,Prmt2.4,16875,0.5856404095005971
target,Prmt3.4,16827,0.5839745878913509
target,Mta1.4,16703,0.5796712154007985
target,Phf19.1,16635,0.5773113014543664
target,Polr2b.1,16049,0.5569743959748197
target,Kdm5b.2,15675,0.5439948692694435
