,,Experiment: 10U p1,Analysis: Analysis 2,User: Admin,Plate: 5,Plate Type: 96 Well,Plate Order: Row,Export Date: 4/20/2015,Export Time: 9:31:46 PM,,,,,,,,,,,,,,,,,,,,,,,,,
,,Well ID,Well Type,Count of singlets,Count of Amet+,Count of Amet+GFP+,Count of GFP+,GeoMean Alexa 700-A - CD44 of Amet+,GeoMean Alexa 700-A - CD44 of Amet+GFP+,GeoMean Alexa 700-A - CD44 of GFP+,GeoMean PerCP-Cy5-5-A - CD25 of Amet+,GeoMean PerCP-Cy5-5-A - CD25 of Amet+GFP+,GeoMean PerCP-Cy5-5-A - CD25 of GFP+,GeoMean PerCP-Cy5-5-A - CD25 of untransduced,Amet+CD62L+ as % of Amet+,Amet+GFP+CD62L as % of Amet+GFP+,GFP+CD62L+ as % of GFP+,CD62L+ as % of untransduced,GeoMean PE-Cy7-A - CXCR3 of Amet+,GeoMean PE-Cy7-A - CXCR3 of Amet+GFP+,GeoMean PE-Cy7-A - CXCR3 of GFP+,GeoMean PE-Cy7-A - CXCR3 of untransduced,Amet+CXCR3+ as % of Amet+,Amet+GFP+CXCR3+ as % of Amet+GFP+,GFP+CXCR3+ as % of GFP+,CXCR3+ as % of untransduced,Amet+CD103+ as % of Amet+,Amet+GFP+CD103+ as % of Amet+GFP+,GFP+CD103+ as % of GFP+,CD103+ as % of untransduced,GeoMean PE-A - CD127 of Amet+,GeoMean PE-A - CD127 of Amet+GFP+,GeoMean PE-A - CD127 of GFP+,GeoMean PE-A - CD127 of untransduced
B02,Dub2a.1,B02,Sample,10304,648,746,2401,1577.096194,1176.129415,1058.697715,185.0361248,584.2032808,519.5995944,149.7930273,33.33333333,43.16353887,33.90254061,31.06503633,4075.56215,375.0150396,346.8704627,3959.150882,90.27777778,41.68900804,38.90045814,89.81038455,43.20987654,33.91420912,25.86422324,37.85220627,571.1454224,119.3365045,116.7298301,559.5190754
B03,Epc1.1,B03,Sample,10328,2120,1688,1207,995.0226017,1030.032011,1053.063406,137.5024744,353.5074703,474.0394933,166.7095404,39.33962264,38.92180095,39.51946976,27.36072274,3982.347883,521.2673074,507.0868013,3262.526116,93.49056604,47.92654028,46.14747307,84.53430845,44.85849057,40.3436019,30.73736537,33.79221338,827.4060719,170.8662395,114.6410793,467.9052204
B04,Epc2.1,B04,Sample,11465,1667,1983,1822,1368.737034,888.5413679,1042.018551,148.6932914,540.0438483,526.7760926,151.4262242,35.15296941,36.71205245,32.71130626,27.7124951,5502.247894,452.3589986,372.4792337,3804.945671,95.32093581,45.13363591,39.90120746,88.20994908,44.39112178,29.95461422,26.72886937,38.79749315,668.2258843,110.9031,102.5213351,518.0000544
B05,Ep400.1,B05,Sample,10562,3173,2180,821,1233.244793,793.2033465,1019.685938,169.6550924,384.1341675,457.4681369,148.3176631,26.00063032,30.36697248,29.23264312,25.71509487,5768.026311,466.4769307,399.6746303,3310.548223,94.23258746,46.60550459,42.14372716,85.21665251,33.56445005,25.27522936,25.70036541,40.80996885,533.5788221,97.89918895,97.10208201,441.6261641
B06,Ehmt1.1,B06,Sample,12923,2558,2604,1530,1881.55007,1256.955977,991.9866078,226.9521619,970.8817055,666.7191314,156.3103618,25.99687256,30.453149,31.63398693,24.98570612,4884.951315,315.0826321,333.0095358,3899.77906,93.51055512,39.70814132,38.82352941,88.66018677,42.22048475,23.19508449,23.33333333,41.585668,629.4643985,115.7144235,92.87970555,566.5810086
B07,Fbxo44.1,B07,Sample,11705,1313,1389,2272,1524.623496,876.3281616,972.6045024,164.7995269,590.7288198,600.3408962,140.008452,25.43792841,32.39740821,31.55809859,25.72998969,6159.470979,413.3462696,336.9174428,3960.913243,96.34424981,44.4924406,38.20422535,89.07591893,45.39223153,26.27789777,21.56690141,39.53967709,648.7277339,91.49301645,99.10968749,545.5904285
B08,Ezh1.1,B08,Sample,13650,6,9,3116,1169.401992,821.2125721,1024.714562,541.358555,930.2165057,562.031991,77.71315463,66.66666667,44.44444444,27.31065469,23.41245055,3093.592963,2024.204091,363.6288267,4358.697273,83.33333333,55.55555556,39.60205392,90.77659796,33.33333333,44.44444444,20.37869063,35.86300229,428.857967,150.6635532,91.82217595,552.9972897
B09,Elp4.1,B09,Sample,12600,3084,2542,1194,1598.837993,1033.219033,901.1032602,236.4803,748.2949084,505.9191907,151.9065231,24.31906615,28.99291896,29.14572864,24.38051239,4890.726289,283.4803761,279.9942586,3497.256358,92.54215305,35.9166011,35.67839196,86.30827383,35.50583658,18.80409127,20.18425461,36.70726585,524.3416107,98.58534133,85.88620298,506.8354961
B10,Eed.1,B10,Sample,13983,936,958,2772,1989.998166,1268.482216,998.5121979,174.4377782,680.7870808,756.3776013,166.3344609,17.62820513,21.81628392,19.87734488,16.74664107,4506.608839,302.5391705,261.5256525,3787.149218,94.12393162,38.30897704,33.33333333,89.02351248,41.55982906,24.11273486,22.22222222,38.35172745,623.6957525,114.4866611,87.32760513,531.3586714
