Well,shRNA,GeoMean Alexa 700-A - CD44 of Amet+GFP+,GeoMean PerCP-Cy5-5-A - CD25 of Amet+GFP+,Amet+GFP+CD62L as % of Amet+GFP+,GeoMean PE-Cy7-A - CXCR3 of Amet+GFP+,Amet+GFP+CXCR3+ as % of Amet+GFP+,Amet+GFP+CD103+ as % of Amet+GFP+,GeoMean PE-A - CD127 of Amet+GFP+
B02,Chd3.1,427.823598,178.3990584,27.89876398,378.9128992,35.96233078,17.01000589,114.9869007
B03,Cxxc1.1,211.0549099,93.71689171,23.98989899,182.4742495,22.34848485,12.5,71.71231787
B04,Dmap1.1,279.7066755,71.02111171,27.6119403,197.6544033,27.05223881,14.55223881,85.7856882
B05,Ctsl.1,378.160638,126.2614431,37.39837398,205.747007,34.14634146,16.2601626,75.71844093
B06,Chd5.1,517.2568383,125.6951292,26.81463707,272.557571,34.85302939,22.5554889,102.4256222
B07,Dot1l.1,849.934639,463.2392487,27.54010695,284.6110369,35.96256684,22.59358289,120.7160571
B08,Dnmt3a.1,329.3760319,102.5428038,26.92574601,173.6714666,28.17487856,15.40596808,66.11861439
B09,Chd9.1,436.3066561,129.1615015,31.14543115,224.9448707,33.29043329,19.99141999,79.51623474
B10,Chd4.1,322.9528694,85.59678393,24.47257384,155.8220534,28.12939522,21.37834037,73.66132044
B11,Dnmt3b.1,413.3387193,183.3811288,22.75266633,189.6292323,29.96444896,19.04520061,68.22931039
C02,Dnmt3a.2,743.8898297,431.7739981,18.2140326,234.9606906,32.03401843,28.98653437,92.68043973
C03,Chd6.1,720.6401375,340.2308131,30.01237624,353.2333264,40.16089109,25.68069307,122.2477203
C04,Chd3.2,631.3748599,250.3117215,31.6017316,321.9404535,41.77489177,28.57142857,116.2796052
C05,Dnmt3b.2,705.5980049,160.5827006,19.92818671,397.7776069,42.54937163,34.59006583,99.08489129
C06,Dnmt1.1,320.2894199,132.6950511,23.42892007,188.5200572,27.76082977,17.02257474,76.53669292
C07,Dmap1.2,977.4438171,341.72368,24.8627451,312.4223213,40.54901961,23.21568627,106.8982967
C08,Chd5.2,984.5322161,560.6918558,29.35560859,361.6111114,42.60143198,28.63961814,117.8467449
C09,Dnmt3l.1,827.3806044,373.154029,27.40926158,307.0858829,40.30037547,28.97371715,85.75059378
C10,Cxxc1.2,736.7880438,1076.732942,50,512.7502137,41.66666667,41.66666667,157.4704726
C11,Crebbp.1,566.7562323,347.7917382,28.21543408,358.5357014,42.32315113,25.48231511,84.34170567
D02,Chd4.2,589.3694823,379.8322973,32.01082056,192.9400667,31.1091073,25.4283138,102.5431275
D03,Dnmt3l.2,764.550033,242.5261585,30.07444169,377.5875763,44.36724566,33.64764268,109.6919581
D04,Cxxc1.3,461.4278583,186.8002915,26.09929078,238.5252937,31.27659574,23.33333333,84.06639493
D05,Chd8.1,985.5877001,542.3505417,29.00197628,468.3685466,45.55335968,28.01383399,128.8795805
D06,Chd6.2,727.4473398,334.960109,29.30489731,368.532626,41.86413902,24.09162717,97.90024073
D07,Dnmt3l.3,675.2046174,281.3555145,30.72916667,367.3381909,43.56060606,29.21401515,97.21517735
D08,Dnmt1.2,589.3930504,279.4786146,27.65676568,311.4237176,41.45214521,30.56105611,123.9672886
D09,Chd9.2,900.995857,508.1593968,35.99615014,367.7419516,44.08084697,26.85274302,139.3266717
D10,Chd3.3,785.5635587,542.489592,33.74777975,334.7581868,42.18472469,28.24156306,130.6426384
D11,Dot1l.2,690.0819467,140.0881901,31.4636284,407.2704809,44.87291849,32.8659071,153.3232381
E02,Crebbp.2,715.8520221,383.1038164,29.72440945,320.6283325,41.92913386,34.4488189,113.0862356
E03,Ctsl.2,597.0172108,67.09948756,29.73790323,293.9928914,38.00403226,37.2983871,135.9164797
E04,Chd3.4,835.5491001,328.0399898,29.01849218,349.6760728,42.31863442,30.15647226,114.9830056
E05,Dnmt3a.3,787.5463495,492.0393253,24.44134078,296.1084992,39.38547486,26.25698324,110.6013975
E06,Dmap1.3,1259.559925,489.1792913,31.00137174,461.7858731,48.28532236,33.60768176,167.8917021
E07,Chd8.2,876.928444,277.4774113,34.70588235,466.1252697,47.56302521,33.1092437,158.5540787
E08,Chd4.3,962.0904011,356.9195354,34.09211223,409.033794,46.16199047,35.15087348,116.1785822
E09,Dnmt3b.3,856.8872582,334.168209,34.72512178,404.3751101,43.84133612,31.45441893,133.5084313
E10,Dnmt1.3,948.7179988,602.5315366,32.51533742,503.3291254,50.30674847,31.04294479,153.0849947
