Well,shRNA,GeoMean Alexa 700-A - CD44 of Amet+GFP+,GeoMean PerCP-Cy5-5-A - CD25 of Amet+GFP+,Amet+GFP+CD62L as % of Amet+GFP+,GeoMean PE-Cy7-A - CXCR3 of Amet+GFP+,Amet+GFP+CXCR3+ as % of Amet+GFP+,Amet+GFP+CD103+ as % of Amet+GFP+,GeoMean PE-A - CD127 of Amet+GFP+
B02,Fbxw9.1,1261.504815,624.7086404,34.02843602,440.7709388,45.49763033,27.86729858,117.6960195
B03,Hcfc1.1,1101.255125,397.5376708,28.38589981,353.0687106,42.30055659,29.3135436,94.82354178
B04,Hdac1.1,1131.494116,344.3324124,28.61924686,328.0647747,40,32.88702929,101.0977643
B05,Hat1.1,1383.657631,770.4284209,27.34418866,429.2930894,42.95339697,27.90567097,112.6489433
B06,Gadd45a.1,872.3230164,412.3034874,40.11065007,375.3667476,42.8769018,25.17289073,111.5769617
B07,Hdac6.1,1301.532173,938.4325447,32.59052925,350.6533976,41.22562674,24.23398329,117.6978943
B08,Hdac2.1,972.7483138,492.096759,24.51751251,250.1737878,35.5968549,29.09220872,93.71373144
B09,Gtf2f1.1,1188.154437,684.426051,28.96081772,374.0602212,43.61158433,21.29471891,93.42295095
B10,Fkbp1a.1,1212.436283,991.8521409,30.42071197,374.218735,40.34519957,17.90722762,83.88916695
B11,Hdac3.1,1384.076711,1578.023218,29.56810631,357.2633765,41.19601329,18.27242525,102.0245955
C02,Hdac2.2,1113.61747,405.7406364,34.625789,415.1171632,43.55275023,29.12533814,101.6257724
C03,Gadd45b.1,1158.573901,311.3499653,32.57456829,600.8399167,47.25274725,32.73155416,120.3009567
C04,Fbxw9.2,1315.158502,1087.414632,30.83674664,334.8092834,39.20421299,30.01755413,106.8905593
C05,Hdac3.2,893.5314104,1345.647296,29.23076923,460.3509429,45.38461538,21.53846154,144.4191975
C06,Hdac10.1,1150.272772,773.3111083,29.83770287,281.9183222,37.9525593,25.34332085,100.4126575
C07,Hdac1.2,1361.458862,842.1039669,25.59055118,373.6653957,41.33858268,24.80314961,107.9811071
C08,Gadd45a.2,1172.270589,1125.733963,28.99761337,330.0365008,41.64677804,26.61097852,93.15830158
C09,Hdac4.1,832.4512187,668.4379804,28.54166667,411.2229188,44.58333333,25.625,101.7145967
C10,Hcfc1.2,1707.265417,2604.649599,29.72222222,265.2107798,34.44444444,18.88888889,113.9688942
C11,Gtf3c4.1,1334.129571,1439.156632,28.06451613,220.8382063,38.06451613,23.22580645,106.1873747
D02,Fkbp1a.2,1058.775934,354.2159473,30.80357143,306.0776268,37.5,21.875,93.2846179
D03,Hdac4.2,1143.564757,565.2373585,37.79023219,401.6155099,42.75420336,32.5060048,104.1655593
D04,Hcfc1.3,1420.888925,429.1472665,30,287.1105877,36.85185185,39.53703704,140.9373524
D05,Gtf2b.1,697.4077176,435.2232827,31.32586368,338.5020867,41.31652661,29.178338,110.6237981
D06,Gadd45b.2,834.000834,450.4675824,25.50744249,360.0459612,41.13667118,33.55886333,88.57681419
D07,Hdac4.3,900.0528927,515.2631111,34.05405405,241.8062289,35.31531532,28.10810811,115.889295
D08,Hdac10.2,1101.103213,558.0821585,40.96064043,331.4250882,40.22681788,32.15476985,116.1948612
D09,Gtf2f1.2,1173.817451,542.2312812,38.15445026,430.284202,45.68062827,30.95549738,160.8630576
D10,Fbxw9.3,1539.902073,918.4345325,33.42318059,309.4780965,42.3180593,23.58490566,146.6004879
D11,Hdac6.2,1314.321058,885.9756509,25.37562604,412.2841601,43.48914858,26.21035058,123.4563566
E02,Gtf3c4.2,1169.644713,420.6173903,32.92801556,476.4166669,44.40661479,27.48054475,127.3780764
E03,Hat1.2,1112.491594,310.518865,32.59385666,589.4611505,48.80546075,40.27303754,133.3313863
E04,Fbxw9.4,1203.382645,416.1361731,31.08990457,548.5741314,49.62330487,35.15821195,134.049051
E05,Hdac2.3,1158.597247,228.5897149,33.13953488,605.0751208,52.3255814,33.96317829,155.7509636
E06,Hdac1.3,1092.803112,327.3032536,30.23529412,318.5106583,39.29411765,39.23529412,140.3974735
E07,Gtf2b.2,1314.010363,591.8636125,34.53389831,364.3951735,43.8559322,39.40677966,174.8471774
E08,Fkbp1a.3,1208.843096,580.1406565,34.51737452,390.3778247,43.01158301,25.86872587,114.9416206
E09,Hdac3.3,992.8309865,1989.155455,34.66400532,296.6310116,36.52694611,23.15369261,117.5668332
E10,Hdac10.3,1139.008106,569.1001781,34.03538332,479.4620313,46.84077506,29.14911542,133.7028871
E11,Gtf2f1.3,1538.972684,919.6652544,37.77976723,430.6503517,43.68845121,28.02148612,157.0621453
F02,Gadd45a.3,1110.808863,362.4399538,35.27874564,416.4427925,43.37979094,31.79442509,165.1832469
F03,Hdac6.3,939.9852969,249.817103,36.14190687,612.500166,50.99778271,38.58093126,182.8847272
F04,Hdac1.4,970.4349117,233.5350543,28,276.1195962,39.81818182,40.36363636,126.103638
F05,Gtf2b.3,1004.34167,257.6642176,38.62310385,371.7295916,43.873979,31.93309996,130.4217059
F06,Gadd45b.3,870.4281505,300.6248996,33.78932969,482.4917251,48.56361149,36.18331053,157.2855726
F07,Hdac2.4,1416.066032,498.1642927,28.35320417,372.7404899,42.25037258,34.27719821,151.5589473
F08,Hat1.3,1039.628816,306.7055316,40.51480959,436.6577999,45.27503526,30.7122708,184.9092799
F09,Gtf3c4.3,1024.014171,322.9801727,39.50478334,658.911872,53.12324142,36.63477772,151.0769856
F10,Gadd45b.4,994.1447147,629.5797655,30.37171351,441.1596599,45.64823209,25.52130553,179.934627
F11,Hdac3.4,1039.095996,3527.995356,35.75129534,376.9558928,40.06908463,24.17962003,140.7824237
G02,Hdac10.4,1068.938377,632.7381611,35.78947368,329.553886,39.73684211,29.21052632,107.9634546
G03,Gtf3c4.4,1232.912455,250.3258814,42.19247929,843.728769,54.68451243,39.38814532,167.6610785
G04,Fkbp1a.4,1017.907846,481.0021345,44.82758621,681.0872194,57.75862069,32.75862069,183.972018
G05,Hdac6.4,987.4686452,518.492662,36.04819277,504.3007966,45.97590361,31.61445783,119.2317681
G06,Hdac4.4,992.2389279,864.0032361,36.91919192,297.5361544,35.05050505,25.55555556,120.1082388
G07,Gtf2b.4,1307.866107,574.5561661,30.88607595,501.2707802,46.83544304,29.36708861,138.177003
G08,Gadd45a.4,1236.094587,478.5867908,35.19695044,565.4211396,48.66581957,31.89326557,149.0155555
G09,Hcfc1.4,1230.895511,403.2716139,29.67409949,402.7756785,43.91080617,37.73584906,139.0380122
G10,Gtf2f1.4,970.5237759,577.2103208,28.03203661,371.4108785,43.47826087,22.65446224,130.3181187
G11,Hat1.4,1130.201068,592.1818579,31.79190751,597.3337032,48.98843931,34.24855491,147.2129225
