Well,shRNA,GeoMean Alexa 700-A - CD44 of Amet+,GeoMean PerCP-Cy5-5-A - CD25 of Amet+,Amet+CD62L+ as % of Amet+,GeoMean PE-Cy7-A - CXCR3 of Amet+,Amet+CXCR3+ as % of Amet+,Amet+CD103+ as % of Amet+,GeoMean PE-A - CD127 of Amet+
C07,Dmap1.2,1174.750776,159.5994557,19.75088968,3122.99959,87.06998814,37.72241993,407.7454609
C08,Chd5.2,1353.559873,169.6168747,19.7109067,3618.833614,88.56767411,49.80289093,486.4758092
C09,Dnmt3l.1,1192.851414,158.3963599,21.08079187,3148.265821,89.19208133,46.86998395,479.5680383
C10,Cxxc1.2,814.7112172,34.99916111,18.18181818,2797.981087,81.81818182,27.27272727,469.8487967
C11,Crebbp.1,832.5842352,174.4505553,26.56406825,3417.596427,91.2679826,42.89059886,443.3411187
D02,Chd4.2,879.8944862,150.8703762,28.77604167,2868.410679,87.76041667,40.49479167,462.7067055
D03,Dnmt3l.2,1144.091869,129.6318611,22.82282282,3808.505883,92.74989275,45.94594595,369.0758495
D04,Cxxc1.3,735.3738596,131.3955837,21.05684548,1982.835904,76.54123299,39.63170536,361.9993251
D05,Chd8.1,1407.390348,230.1789328,20.90517241,4860.097576,94.87068966,44.35344828,507.4696457
D06,Chd6.2,1318.411232,199.5975497,20.09646302,4728.794028,94.85530547,45.09646302,529.0465776
D07,Dnmt3l.3,858.658244,145.3010503,27.04995287,3229.563742,91.04618285,49.52874647,499.6497096
D08,Dnmt1.2,893.1373004,168.3114744,26.07192254,3228.168084,89.34993084,51.79806362,597.6139665
D09,Chd9.2,1252.446051,274.6266647,22.26762002,3303.025597,90.19407559,49.94892748,619.3877203
D10,Chd3.3,1129.049195,147.0626574,26.08257805,3690.93033,91.44008056,52.87009063,667.0102104
D11,Dot1l.2,1163.30729,174.9254146,23.71134021,4323.407508,92.91237113,50.90206186,660.7869228
E02,Crebbp.2,1395.304438,192.6491346,29.22077922,3362.804949,91.99134199,48.05194805,499.2089274
E03,Ctsl.2,906.4491605,68.16200608,28.84811417,2958.32635,89.60244648,46.89092762,674.3105288
E04,Chd3.4,1260.023568,137.7132121,25.67018684,4534.159965,93.33874898,51.74654752,618.8811093
E05,Dnmt3a.3,1151.330511,187.5880114,20.12678288,3840.947025,91.91759113,42.63074485,474.8698597
E06,Dmap1.3,1343.840234,133.8971026,24.6031746,4329.135423,95.07936508,49.36507937,633.5183623
E07,Chd8.2,1098.703338,161.5434131,24.80359147,3511.438687,91.35802469,46.46464646,569.5410352
E08,Chd4.3,1507.239772,195.9157276,23.76350199,4307.144803,93.51904491,56.6230813,560.7604924
E09,Dnmt3b.3,1266.471022,165.5204462,23.68421053,4419.760888,92.98245614,50.43859649,594.9626324
E10,Dnmt1.3,1394.580733,189.5695259,22.38442822,4537.018025,93.30900243,47.81021898,692.6285723
E11,Chd9.3,936.5807946,168.4341149,16.08202914,3745.245669,92.714517,47.65245548,430.3186949
F02,Chd5.3,1161.759039,111.5437397,22.29946524,3896.449723,92.0855615,37.11229947,545.9178981
F03,Dot1l.3,980.4449877,173.9514127,20.58394161,3495.931653,90.2189781,39.8540146,441.9927913
F04,Dmap1.4,1294.563006,208.0620591,24.85732403,3669.21308,89.28344959,43.50031706,465.5515615
F05,Chd8.3,1174.169549,155.4553773,21.0266535,3627.939155,89.63474827,42.44817374,479.6564716
F06,Chd6.3,1253.285396,200.6599409,28.58286629,4056.75827,91.19295436,56.36509207,531.0866308
F07,Dnmt3a.4,1247.002464,170.6556413,25.37462537,4424.366908,92.70729271,53.74625375,640.1788233
F08,Ctsl.3,1000.152444,568.247595,28.77805486,3715.432095,91.02244389,55.3117207,573.7954631
F09,Crebbp.3,1131.672837,215.6672809,28.74576271,4977.926015,95.66101695,53.42372881,712.1094631
F10,Chd6.4,1274.847169,246.9779228,27.55461593,3735.749436,89.42917548,47.28682171,575.7337298
F11,Dnmt3b.4,1286.784463,163.1299654,21.98019802,6060.790199,95.44554455,50.69306931,770.5900268
G02,Dnmt1.4,1136.172006,196.1869573,14.9870801,3923.762386,92.16192937,46.59776055,406.7551781
G03,Crebbp.4,943.8943421,110.5831333,31.83352081,3588.609421,91.22609674,44.65691789,484.3130622
G04,Chd4.4,1032.658688,271.2221281,31.62650602,3148.292104,89.75903614,44.27710843,574.2129186
G05,Dot1l.4,1255.603159,201.6924539,27.86885246,3082.046893,88.79781421,51.18397086,613.4929771
G06,Dnmt3l.4,933.4273391,162.1915413,12.59259259,3621.643945,90.74074074,38.88888889,340.8044288
G07,Chd8.4,1342.870963,228.1799636,21.81916622,5076.12964,94.53167298,43.69247428,655.4406714
G08,Chd5.4,1397.015119,166.0735665,26.53612424,4539.129066,92.64010804,52.59959487,602.8681205
G09,Cxxc1.4,919.5458854,278.2684025,12.06823028,1863.183607,78.37953092,53.09168443,296.9929573
G10,Chd9.4,1217.006292,199.616104,26.24810893,5355.197861,95.15885023,43.0408472,527.9912465
G11,Ctsl.4,1461.252226,350.7959385,19.56521739,3309.637403,86.42140468,30.53511706,388.2423016
