Well,shRNA,GeoMean Alexa 700-A - CD44 of Amet+,GeoMean PerCP-Cy5-5-A - CD25 of Amet+,Amet+CD62L+ as % of Amet+,GeoMean PE-Cy7-A - CXCR3 of Amet+,Amet+CXCR3+ as % of Amet+,Amet+CD103+ as % of Amet+,GeoMean PE-A - CD127 of Amet+
B02,Actl6b.1,1097.963462,419.1734044,25.03467406,4191.475813,92.02496533,38.90429958,657.2680719
B03,Asxl3.1,1140.162004,370.6640085,31.66869671,4458.796307,93.38205441,45.63540398,726.3752704
B04,Atad2.1,998.2708886,344.1653684,34.44003964,3484.434208,89.54410307,43.35976214,642.4277968
B05,Asxl2.1,997.6560079,292.5479722,34.88636364,4398.117642,92.95454545,47.72727273,786.0396033
B06,Aff4.1,1270.868277,421.4671616,29.36660269,4424.089316,93.66602687,51.24760077,719.3997128
B07,Aurkb.1,1220.189863,373.256193,30.1050175,4432.880012,93.64060677,47.92882147,702.7692591
B08,Atm.1,1120.624794,324.9204452,30.98177543,3994.724403,92.97472075,44.88536155,780.9203555
B09,Ash2l.1,744.575905,354.0423539,29.06038101,2204.20229,79.15724895,54.26218922,788.8295416
B10,Aff1.1,1185.287781,343.2486295,28.57762359,3814.968503,91.32697311,39.33217693,731.4811883
B11,Atr.1,854.6776765,356.4568736,25.35094963,3276.735898,85.7968621,34.76465731,531.4602275
C02,Atm.2,1299.977271,385.2934412,24.92233345,4692.998032,92.99275112,50.39696237,786.2341101
C03,Arid2.1,1052.84676,357.2756828,28.5054678,4087.47272,92.34507898,46.80437424,789.8546069
C04,Actl6b.2,1052.755482,262.5226758,31.30553657,4212.157067,91.90020506,50.51264525,692.6523292
C05,Atr.2,1002.137175,342.7147744,26.70157068,3920.758316,88.58638743,44.57242583,661.6382811
C06,Atad2b.1,1148.397225,335.3412928,31.195801,4930.025824,93.86125057,49.63486992,893.5273264
C07,Atad2.2,975.9931694,226.9160701,37.62318841,4407.559075,95.30434783,45.68115942,941.089399
C08,Aff4.2,1156.558552,267.9484511,25.18714223,4695.395951,93.70321444,41.39145751,901.1277796
C09,Atrx.1,1240.805192,457.0084589,25.91695502,4156.127787,91.31487889,51.52249135,798.0976726
C10,Asxl3.2,1342.246857,473.4920009,22.08920188,4591.612777,92.95774648,54.71830986,625.6844912
C11,Asxl1.1,1051.940853,473.6464227,27.98315395,3355.359721,88.25456247,40.75807206,668.8971226
D02,Aff1.2,743.374929,320.4321354,19.80558931,2979.443515,86.75577157,38.15309842,484.4320678
D03,Atrx.2,1335.346402,460.4140182,25.48828125,3461.640495,88.72070313,51.953125,610.8573452
D04,Asxl3.3,958.5807823,368.5233353,29.51724138,3236.318902,88.27586207,48.89655172,668.3731693
D05,Ash1l.1,796.6201609,295.5674529,28.48189415,3914.847427,92.82729805,57.06824513,731.6641641
D06,Arid2.2,1218.989594,388.2844558,28.40150856,4182.260679,91.47084421,48.53495793,810.560487
D07,Atrx.3,1274.396781,262.9522051,24.79108635,4997.500911,95.07892293,47.07520891,963.0777539
D08,Atad2b.2,1091.918522,232.8200586,32.82937365,5247.272801,95.46436285,59.71922246,927.6523287
D09,Ash2l.2,1534.893694,363.6662663,27.66151046,5802.415246,94.81346679,46.13284804,749.9768087
D10,Actl6b.3,1299.146532,323.5428565,28.1512605,5036.739803,93.27731092,59.76890756,848.2772723
D11,Aurkb.2,1265.825018,377.8234716,24.18478261,3797.416615,88.99456522,47.2826087,683.2932748
E02,Asxl1.2,848.9845936,402.2167216,34.30742256,2615.849576,84.97954413,29.39801286,481.5385295
E03,Asxl2.2,818.3565987,315.610924,31.60377358,3407.000873,91.03773585,40.80188679,645.176096
E04,Actl6b.4,974.6018343,314.2019882,27.64109986,4411.776499,94.11480945,46.02026049,847.0656844
E05,Atm.3,1120.389097,251.8939385,25.62724014,4263.102156,91.21863799,51.91158901,667.6203372
E06,Atad2.3,1269.735692,168.7154389,26.12826603,5361.004433,96.31828979,58.66983373,808.0024611
E07,Ash1l.2,1381.259907,234.2066225,21.82235835,5339.347716,94.41041348,57.46554364,828.562623
E08,Aff1.3,1272.56587,248.626071,29.26018288,4711.399431,93.3915212,50.8312552,726.8724599
E09,Atr.3,1385.091364,270.0320003,33.66013072,5293.417899,94.44444444,52.12418301,780.6126151
E10,Atad2b.3,1124.450165,305.1963853,31.18756937,4017.289187,91.0099889,50.72142064,776.265244
E11,Ash2l.3,1069.752677,325.2788373,29.78947368,3226.108444,88.21052632,43.15789474,759.0884768
F02,Aff4.3,1064.763281,282.3202267,31.24826244,4476.495309,93.35557409,47.84542674,736.044145
F03,Aurkb.3,1146.38328,325.9872574,31.78807947,4132.700854,92.05298013,49.77924945,713.7298657
F04,Atad2.4,773.9551365,163.107346,48.14814815,3549.095364,88.88888889,40.74074074,774.8968781
F05,Ash1l.3,1210.623149,211.4451174,34.59915612,4776.200295,94.092827,54.85232068,910.1716285
F06,Arid2.3,1318.260881,314.1056929,31.46603099,5301.344866,94.39809297,53.75446961,810.1387033
F07,Atm.4,794.8332781,292.239698,26.53061224,4270.777472,92.85714286,43.87755102,1010.384159
F08,Asxl2.3,1230.763237,263.1716544,25.10121457,5264.776281,94.41295547,49.95951417,895.5206473
F09,Asxl1.3,718.3149616,238.1663446,27.27272727,4493.799921,90.90909091,45.45454545,1049.219535
F10,Arid2.4,1078.558028,329.0806192,21.37628111,4935.747383,92.82576867,46.41288433,769.3099789
F11,Atr.4,948.3741267,389.366704,29.02439024,3659.92108,90.48780488,50.73170732,866.7195322
G02,Atad2b.4,798.1597618,236.1615729,28.53513971,3140.755365,90.77053345,36.52272086,552.0003618
G03,Asxl1.4,1056.184793,427.9037988,33.17990027,3132.573307,90.14192558,52.01380898,755.9745524
G04,Aff1.4,912.4902096,243.0241815,27.37169518,2800.629695,86.46967341,28.92690513,557.64849
G05,Aurkb.4,886.908869,248.8037117,28.96551724,3537.872575,90,51.03448276,672.5616514
G06,Atrx.4,1115.524059,253.3400464,31.50605886,3814.170636,91.45989613,48.12463935,693.030734
G07,Ash1l.4,1331.948797,306.5574665,28.25342466,4716.325496,92.92237443,35.38812785,692.4306126
G08,Aff4.4,931.7703182,248.8281645,39.73996608,3563.093605,90.84228378,46.97569248,718.6138071
G09,Asxl3.4,1145.916744,263.8360965,24.08921933,4149.347319,91.67286245,40.81784387,703.9221405
G10,Ash2l.4,986.7960532,219.0496218,29.72136223,4104.192735,91.14551084,42.84829721,661.5650543
G11,Asxl2.4,877.7536313,235.3418415,29.61418144,4309.167398,92.38790407,38.8251651,729.4344561
