,,Experiment: 10U p1,Analysis: Analysis 2,User: Admin,Plate: control,Plate Type: 96 Well,Plate Order: Row,Export Date: 4/20/2015,Export Time: 9:27:36 PM,,,,,,,,,,,,,,,,,,,,,,,,,
,,Well ID,Well Type,Count of singlets,Count of Amet+,Count of Amet+GFP+,Count of GFP+,GeoMean Alexa 700-A of Amet+,GeoMean Alexa 700-A of Amet+GFP+,GeoMean Alexa 700-A of GFP+,GeoMean PerCP-Cy5-5-A of Amet+,GeoMean PerCP-Cy5-5-A of Amet+GFP+,GeoMean PerCP-Cy5-5-A of GFP+,GeoMean PerCP-Cy5-5-A of untransduced,Amet+CD62L+ as % of Amet+,Amet+GFP+CD62L as % of Amet+GFP+,GFP+CD62L+ as % of GFP+,CD62L+ as % of untransduced,GeoMean PE-Cy7-A of Amet+,GeoMean PE-Cy7-A of Amet+GFP+,GeoMean PE-Cy7-A of GFP+,GeoMean PE-Cy7-A of untransduced,Amet+CXCR3+ as % of Amet+,Amet+GFP+CXCR3+ as % of Amet+GFP+,GFP+CXCR3+ as % of GFP+,CXCR3+ as % of untransduced,Amet+CD103+ as % of Amet+,Amet+GFP+CD103+ as % of Amet+GFP+,GFP+CD103+ as % of GFP+,CD103+ as % of untransduced,GeoMean PE-A of Amet+,GeoMean PE-A of Amet+GFP+,GeoMean PE-A of GFP+,GeoMean PE-A of untransduced
B02,Bptf.1,B02,Sample,14127,2306,2069,1965,993.8743882,754.0064939,584.3904849,167.8286682,387.1320984,338.2934524,133.2187027,27.27666956,34.07443209,29.87277354,24.47449894,2859.000494,324.5410911,282.6309748,2525.968586,87.12055507,42.67762204,36.64122137,83.31432296,27.27666956,32.38279362,32.31552163,36.09255336,535.7695761,143.5500648,91.63041738,403.2431391
B03,Bptf.2,B03,Sample,14458,149,195,3577,821.8744185,767.0318258,556.0242959,167.1391293,537.1017673,292.9578442,151.8946671,40.26845638,46.15384615,33.79927313,28.20403372,3156.365349,406.3206637,315.0962914,2926.484104,87.91946309,45.12820513,41.20771596,86.12741436,49.66442953,32.82051282,35.33687448,40.29452566,575.6388337,162.9666646,110.605118,483.9832125
B04,Bptf.3,B04,Sample,14742,1922,1666,2648,836.3175893,551.7799998,492.7941515,113.7524074,272.0303614,173.1635639,89.68822384,23.36108221,29.29171669,28.9652568,24.47980416,3117.381386,319.0051202,279.1990039,2346.402551,85.84807492,41.65666267,37.5,82.59213926,29.13631634,27.79111645,33.27039275,39.30368557,415.8943377,107.6537032,90.42596146,404.1658848
B05,Bptf.4,B05,Sample,16620,1614,1474,2931,1054.498497,750.919763,598.7142719,143.2025238,348.035377,369.611579,137.3386615,14.93184634,23.47354138,20.30023883,16.65425928,3888.281697,414.7582363,292.6600669,3323.116228,91.26394052,47.62550882,38.10986012,88.79081144,45.41511772,37.24559023,32.75332651,44.28373923,542.1068442,121.7549516,87.37371693,471.1404115
B06,Whsc1.1,B06,Sample,15697,3420,2923,1558,1012.989097,573.3933734,573.4686409,167.565271,465.4007502,321.7348912,114.7688491,20.64327485,28.15600411,30.10269576,25.36793796,3882.558012,284.1716375,294.9576713,3080.042967,89.64912281,39.03523777,38.12580231,86.88083558,47.98245614,34.38248375,32.02824134,45.75090995,521.2998391,113.2780255,99.17589009,542.0600661
B07,Whsc1.2,B07,Sample,16268,2638,2080,2699,728.4479147,527.1200991,523.394005,154.4330454,408.3093862,324.1467108,131.4737925,25.85291888,28.89423077,30.23341979,22.05398288,3244.955561,318.1130225,310.2714049,3090.358761,90.06823351,40.43269231,39.27380511,87.66293614,47.87717968,35.96153846,30.19636903,45.06912442,542.7372288,119.2956011,96.81983067,480.2139878
B08,Whsc1.3,B08,Sample,17745,2048,1530,3107,795.0758228,413.7536303,582.9475596,222.1781133,507.3017911,330.7604227,147.3327079,18.45703125,29.21568627,31.25201159,21.89864235,2886.655166,253.3277089,309.670931,3350.282353,85.40039063,38.95424837,41.16511104,89.70877811,44.7265625,34.05228758,29.9002253,45.88040211,406.9608697,85.55576826,85.13755813,524.9982451
B09,Whsc1.4,B09,Sample,18479,5638,4416,1282,679.7075779,382.4181839,597.2510861,228.7127788,529.9367485,335.9734688,155.5066391,18.94288755,28.03442029,26.91107644,21.66809974,4020.627846,289.3304363,373.0903414,3715.663018,90.83008159,34.87318841,39.78159126,90.50730868,41.02518624,27.03804348,30.57722309,49.40670679,482.331612,109.7852641,88.72329855,530.6867883
B10,shCd4.1,B10,Sample,15094,2697,2302,1765,927.3341471,632.3657789,572.3416867,185.8583388,542.3803928,381.4096167,161.3481887,18.57619577,27.84535187,24.41926346,17.74260725,3836.387022,337.1294354,339.0924773,3228.961034,91.80571005,38.87923545,38.24362606,88.25489379,47.42306266,29.84361425,26.51558074,44.56476468,520.8797934,109.1097868,91.76745073,475.9490393
