Well,shRNA,GeoMean Alexa 700-A - CD44 of Amet+GFP+,GeoMean PerCP-Cy5-5-A - CD25 of Amet+GFP+,Amet+GFP+CD62L as % of Amet+GFP+,GeoMean PE-Cy7-A - CXCR3 of Amet+GFP+,Amet+GFP+CXCR3+ as % of Amet+GFP+,Amet+GFP+CD103+ as % of Amet+GFP+,GeoMean PE-A - CD127 of Amet+GFP+
B02,Baz1a.1,962.9847702,730.0511731,21.85628743,311.181095,37.1257485,29.34131737,100.5042039
B03,Brd2.1,515.6297977,299.3594097,23.17073171,261.1781794,36.34146341,27.07317073,81.31729617
B04,Brd3.1,767.8260602,306.3175506,37.39837398,253.5463648,39.02439024,32.92682927,129.6932814
B05,Brd1.1,779.2040099,559.4162328,23.3974359,347.5179415,39.26282051,31.41025641,91.1964733
B06,Baz2a.1,926.8247641,398.5730355,29.85347985,389.5299191,43.86446886,28.38827839,107.7493643
B07,Brpf3.1,1209.543807,609.9726362,29.63951936,250.5539063,35.38050734,20.82777036,90.26146469
B08,Brd8.1,825.327476,2340.796128,40,85.4022268,25,10,48.98016085
B09,Bop1.1,1026.132735,585.1808506,32.30563003,272.772091,37.66756032,23.99463807,82.28359447
B10,Baz1b.1,1087.732715,775.2667148,28.40790843,295.0566178,35.58792924,24.3496358,84.04271703
B11,Brd9.1,593.2885982,859.0158379,35,72.68650956,20,25,41.80473059
C02,Brd8.2,964.3205825,654.5062932,25.06925208,257.6740148,36.14958449,25.90027701,107.0236301
C03,Baz2b.1,811.3542652,337.6190359,28.17869416,415.4210658,42.19931271,31.27147766,96.99863488
C04,Baz1a.2,999.5773893,317.0819187,33.92857143,557.1824474,45.43650794,31.54761905,121.4754921
C05,Brd9.2,540.6518113,413.7563142,36.30289532,299.4273519,40.31180401,24.42464736,83.75146417
C06,Brd4.1,574.1052529,395.8554752,41.74311927,129.3647061,29.35779817,35.32110092,140.6270284
C07,Brd3.2,775.7918862,368.1893898,34.05114401,317.7661982,41.04979812,31.29205922,105.8289731
C08,Baz2a.2,579.3862935,605.8170426,16.66666667,264.6351842,50,33.33333333,114.0599533
C09,Brpf1.1,774.3669509,541.6289306,32.72138229,482.6301453,47.84017279,33.58531317,118.2872873
C10,Brd2.2,770.5063549,391.6699401,33.42105263,279.5747969,37.89473684,33.68421053,96.41551598
C11,Bptf.1,1309.874567,573.6483446,30.02610966,494.9670965,43.86422977,21.40992167,134.1519432
