,,Experiment: 10U p1,Analysis: Analysis 2,User: Admin,Plate: 1,Plate Type: 96 Well,Plate Order: Row,Export Date: 4/20/2015,Export Time: 9:28:20 PM,,,,,,,,,,,,,,,,,,,,,,,,,
,,Well ID,Well Type,Count of singlets,Count of Amet+,Count of Amet+GFP+,Count of GFP+,GeoMean Alexa 700-A - CD44 of Amet+,GeoMean Alexa 700-A - CD44 of Amet+GFP+,GeoMean Alexa 700-A - CD44 of GFP+,GeoMean PerCP-Cy5-5-A - CD25 of Amet+,GeoMean PerCP-Cy5-5-A - CD25 of Amet+GFP+,GeoMean PerCP-Cy5-5-A - CD25 of GFP+,GeoMean PerCP-Cy5-5-A - CD25 of untransduced,Amet+CD62L+ as % of Amet+,Amet+GFP+CD62L as % of Amet+GFP+,GFP+CD62L+ as % of GFP+,CD62L+ as % of untransduced,GeoMean PE-Cy7-A - CXCR3 of Amet+,GeoMean PE-Cy7-A - CXCR3 of Amet+GFP+,GeoMean PE-Cy7-A - CXCR3 of GFP+,GeoMean PE-Cy7-A - CXCR3 of untransduced,Amet+CXCR3+ as % of Amet+,Amet+GFP+CXCR3+ as % of Amet+GFP+,GFP+CXCR3+ as % of GFP+,CXCR3+ as % of untransduced,Amet+CD103+ as % of Amet+,Amet+GFP+CD103+ as % of Amet+GFP+,GFP+CD103+ as % of GFP+,CD103+ as % of untransduced,GeoMean PE-A - CD127 of Amet+,GeoMean PE-A - CD127 of Amet+GFP+,GeoMean PE-A - CD127 of GFP+,GeoMean PE-A - CD127 of untransduced
B02,Actl6b.1,B02,Sample,12467,1442,1875,1830,1097.963462,560.5564446,573.0286239,419.1734044,846.3350521,420.9899364,239.7742034,25.03467406,26.02666667,26.99453552,20.66699524,4191.475813,617.1211069,422.1088911,2966.28433,92.02496533,50.56,41.69398907,83.30869065,38.90429958,27.84,30,36.48759652,657.2680719,161.4561854,112.0519653,472.1416882
B03,Asxl3.1,B03,Sample,13588,2463,2947,1638,1140.162004,635.6253036,638.9009769,370.6640085,710.327029,384.2911787,224.038533,31.66869671,33.11842552,31.01343101,25.70895522,4458.796307,462.8032833,497.7258315,2820.282521,93.38205441,44.5198507,43.71184371,82.59328358,45.63540398,31.96470987,35.1037851,40.50373134,726.3752704,141.6335289,135.9403602,491.4409189
B04,Atad2.1,B04,Sample,10706,2018,2042,1262,998.2708886,514.3645459,479.6680683,344.1653684,552.5196508,332.9914959,211.0690104,34.44003964,34.08423115,33.20126783,24.95458674,3484.434208,359.7503812,401.5505473,2143.966721,89.54410307,41.13614104,40.25356577,77.27066303,43.35976214,29.33398629,27.89223455,34.46866485,642.4277968,134.464023,111.4614115,391.0867809
B05,Asxl2.1,B05,Sample,11538,880,1342,2587,997.6560079,719.880579,543.1254331,292.5479722,465.2060071,476.7132747,235.5070971,34.88636364,33.68107303,30.30537302,27.1416309,4398.117642,420.4910716,366.5966639,2958.062571,92.95454545,41.80327869,39.27328952,83.74248927,47.72727273,32.93591654,28.56590646,39.65665236,786.0396033,142.059201,119.7879338,487.9503931
B06,Aff4.1,B06,Sample,11291,521,888,2665,1270.868277,730.0211076,606.6303384,421.4671616,726.4985802,614.7357865,283.0604051,29.36660269,31.08108108,25.77861163,22.49388753,4424.089316,436.2780617,429.387058,3135.568619,93.66602687,42.11711712,40.71294559,84.69437653,51.24760077,36.14864865,33.0956848,46.03096985,719.3997128,160.8669031,133.8573323,538.8356796
B07,Aurkb.1,B07,Sample,9894,3428,2769,411,1220.189863,654.7405252,664.3412736,373.256193,586.1636137,374.667291,223.8133299,30.1050175,31.59985554,31.63017032,20.86131964,4432.880012,459.4461889,601.7466201,2455.959263,93.64060677,43.30083062,48.66180049,77.24219676,47.92882147,33.91115926,37.46958637,38.36428289,702.7692591,136.4698196,134.2049001,410.2227564
B08,Atm.1,B08,Sample,12082,3402,3127,872,1120.624794,704.2540606,554.5980842,324.9204452,714.8588459,445.8578028,189.5377318,30.98177543,36.1368724,25.2293578,23.20810019,3994.724403,406.6827209,365.2830454,2863.804836,92.97472075,41.70131116,37.6146789,82.14761524,44.88536155,35.01758874,31.88073394,43.08553157,780.9203555,151.3141279,120.9078351,537.729808
B09,Ash2l.1,B09,Sample,14046,6194,3093,579,744.575905,545.698107,463.6838187,354.0423539,684.9022388,335.4064377,181.9769749,29.06038101,34.46492079,26.07944732,20.68311195,2204.20229,413.0140393,426.7678827,2333.070991,79.15724895,41.44843194,42.31433506,78.52624921,54.26218922,37.43937924,31.0880829,36.33776091,788.8295416,166.7777728,114.7861307,464.3945883
B10,Aff1.1,B10,Sample,12579,2306,2344,1570,1185.287781,707.1629099,481.9439795,343.2486295,816.5578295,421.2511474,197.5101933,28.57762359,29.94880546,29.8089172,23.73937677,3814.968503,399.0084843,352.1354697,2783.206348,91.32697311,40.14505119,36.05095541,82.77620397,39.33217693,30.03412969,27.13375796,36.84608121,731.4811883,171.4970498,122.7399039,519.1526147
