Well,shRNA,Amet+GFP+CXCR3+ as % of Amet+GFP+,Amet+GFP+CD103+ as % of Amet+GFP+,GeoMean PE-Cy7-A of Amet+GFP+_CXCR3_CD127,GeoMean APC-A of Amet+GFP+_CD103,GeoMean PerCP-Cy5-5-A of Amet+GFP+_CD25,Amet+GFP+CD62L+ as % of Amet+GFP+,GeoMean Alexa 700-A of Amet+GFP+_CD44,GeoMean PE-A of Amet+GFP+_CD127
B02,Pcgf2.1,13.33333333,0,13.77048172,54.82785324,11153.14654,6.666666667,673.2637297,87.84788789
B03,Phf20.1,8.913934426,0.768442623,6.885891805,28.62724764,12180.25584,25.51229508,2787.31954,109.5492927
B04,Phf20l1.1,7.089405278,0.905868452,6.338441512,28.97422151,9765.709575,31.46908232,4358.68426,111.2291269
B05,Phf2.1,4.608294931,0.230414747,3.904378155,30.63295839,12059.16163,32.02764977,3133.789886,96.99518718
B06,Pcgf6.1,8.148734177,0.949367089,7.821840482,33.59246543,8637.293913,30.06329114,3245.241012,86.6437334
B07,Prdm1.1,3.899721448,0.445682451,3.175608363,18.69624642,12831.00472,33.42618384,4604.761747,193.9861966
B08,Phip.1,6.71920365,0.29033596,5.922518204,28.71507119,9222.131792,24.55412692,3432.843549,96.18130056
B09,Phf1.1,7.649513213,0.90403338,5.408499132,33.96686804,10930.41792,27.19054242,2495.471609,90.18257524
B10,Pcgf5.1,8.758568165,0.99009901,9.641095393,33.5837396,8375.914993,28.14166032,4402.008526,106.6143842
B11,Polr2b.1,6.06557377,0.573770492,5.286839521,32.00926271,10967.68691,26.39344262,3501.85537,122.4312922
C02,Phip.2,6.533575318,0.604960678,5.727704954,27.61489844,7950.159848,36.60012099,3903.376168,102.5449716
C03,Pcmt1.1,5.977264393,0.440044004,5.151020643,24.77207952,9407.911601,35.38687202,4369.557131,112.374255
C04,Pcgf2.2,9.354604786,0.362581581,7.338768339,32.43655016,9581.790199,37.78100073,3787.362072,102.3198696
C05,Polr2b.2,6.310679612,1.45631068,6.55125077,30.45903156,8355.914648,41.50485437,3227.288742,86.63434814
C06,Phf8.1,7.403891789,0.569530138,5.730177764,34.10941998,10714.87272,28.00189843,3764.329052,97.83093439
C07,Phf20l1.2,4.994954591,0.706357215,5.119308727,25.90335161,8716.406421,33.85469223,3997.849382,118.651095
C08,Pcgf6.2,2.975557917,0.398512221,3.538629856,38.5909754,11300.33716,23.1402763,4614.834247,106.1545204
C09,Ppargc1a.1,6.150857883,0.615085788,6.118902148,31.94794738,9585.295391,31.07801878,2968.304958,92.30369098
C10,Phf20.2,6.179066835,0.588482556,4.950613872,30.20109549,12500.9945,29.9285414,2190.531118,101.9640969
C11,Phf19.1,6.262042389,0.91522158,6.34008778,30.81048762,8906.225946,29.43159923,3224.864592,119.6338212
D02,Pcgf5.2,6.867998052,0.535801266,5.898404918,30.84415771,10409.47674,33.56064296,4913.574045,114.6961198
D03,Ppargc1a.2,5.602455871,0.652340752,4.299826369,25.83956415,10031.89451,30.42977744,3781.721669,122.5082052
D04,Phf20.3,5.277587389,0.479780672,3.847065783,26.29941682,11617.96944,41.32967786,3762.719518,120.2395486
D05,Phc1.1,6.594594595,0.648648649,5.036175434,27.03696397,8624.127642,37.13513514,3861.723186,113.9882912
D06,Pcmt1.2,10.28806584,1.234567901,7.214909824,27.22762537,9447.270082,38.27160494,4202.541726,121.0142683
D07,Ppargc1a.3,6.66013712,1.028403526,5.493506072,31.04064239,8615.846945,32.71302644,2890.575361,94.56389048
D08,Phf8.2,5.995934959,1.067073171,4.809285988,31.04445117,9264.097439,33.84146341,3928.905257,115.2710775
D09,Phf1.2,6.219312602,0.872885979,5.215348645,30.41858777,9452.682124,30.93289689,3465.911931,116.3638569
D10,Pcgf2.3,4.69924812,0.610902256,5.968733995,34.10267028,4482.56344,30.82706767,2570.473712,113.196638
D11,Prdm1.2,4.946793213,0.46016681,4.103473842,24.76483019,11131.77974,38.30888697,3982.143409,183.2884229
E02,Phf19.2,8.252818035,0.925925926,7.874724705,30.84281389,7306.434532,32.24637681,3606.790837,101.6480398
E03,Phf2.2,6.219312602,1.063829787,4.644937981,28.34119189,9942.437466,34.77905074,3292.467446,133.1823387
E04,Pcgf2.4,7.289002558,0.809889173,5.98639397,35.01887781,8507.543668,34.65473146,3812.517955,117.8991653
E05,Phip.3,6.171773845,0.517911092,5.066404522,28.17933767,9640.279384,36.16745792,4021.037067,122.1963182
E06,Phf20l1.3,7.778510218,0.395517469,6.113149488,29.46638491,8495.635761,33.98154252,3584.326886,108.4476475
E07,Phc1.2,6.380426961,0.431758215,4.930336809,28.3424273,11646.00798,32.47781243,3439.210437,128.4863871
E08,Pcgf5.3,6.078071784,0.471574535,5.221297056,34.57664029,9567.650092,34.68692691,4639.346968,101.4880557
E09,Polr2b.3,6.019614474,0.845451471,6.984673036,39.73519192,7884.288069,31.68752114,3630.408528,109.6701198
E10,Phf8.3,5.971173644,0.617707618,4.255975464,36.41010957,10798.60654,28.96362388,3785.022785,108.4791249
E11,Phf1.3,4.881940013,0.446713465,5.542791896,30.17169261,9920.714738,31.36566688,3784.982805,128.7765048
F02,Pcgf6.3,5.018359853,0.367197062,4.438264053,30.52259681,9813.022281,38.73929009,4132.466844,121.3602604
F03,Prdm1.3,2.369020501,0.478359909,2.949352467,26.93123591,11433.50864,43.55353075,4243.110861,142.1129056
F04,Phf20l1.4,6.470940683,0.778909527,5.471603669,34.05215659,10807.61067,36.72857999,4170.334409,112.2601399
F05,Phc1.3,2.954898911,0.777604977,3.191336807,26.58209013,12255.70886,37.16951788,4226.733387,148.1085467
F06,Pcmt1.3,2.865583456,0.295420975,3.030919995,30.32570061,11430.70425,34.1506647,3827.890229,118.3863329
F07,Phip.4,4.55026455,0.105820106,3.859737684,34.5645641,11975.99514,32.6984127,4378.277438,121.6046394
F08,Phf2.3,4.434180139,0.277136259,4.302519198,31.86242791,10473.1669,27.852194,3636.152571,126.7997439
F09,Phf19.3,4.868154158,0.463633729,4.669845934,33.12282624,9915.168652,33.09185743,3625.927964,120.2657641
F10,Pcmt1.4,3.734756098,0.431910569,4.024908597,35.00246125,10776.49521,30.10670732,3567.708413,120.2877632
F11,Polr2b.4,8.491947291,1.610541728,8.12970437,42.68925423,6098.024527,35.72474378,2575.920165,83.06101795
G02,Phf8.4,0,0,7.723457589,10.67262873,11461.59926,12.5,4094.439261,133.1051254
G03,Phf19.4,7.036613272,1.029748284,5.856199984,36.09365665,9187.116025,38.1006865,4224.849585,127.4397217
G04,Pcgf5.4,3.507109005,0.537124803,3.976353673,50.14185964,9715.082817,40.91627172,5753.948267,92.57278705
G05,Prdm1.4,3.703703704,0.628930818,4.033236699,33.12633837,9153.273029,39.90216632,4385.879356,126.899562
G06,Ppargc1a.4,4.086845466,0.510855683,4.640144067,48.2532746,10022.11475,24.39335888,3699.257427,87.28312462
G07,Phc1.4,4.486036839,0.356506239,4.776328289,32.78000048,9660.77878,32.35294118,3763.911741,116.8335293
G08,Pcgf6.4,3.808982376,0.397953383,5.150119241,35.24660728,9805.419137,35.70210347,3746.109319,108.3052596
G09,Phf20.4,2.808080808,0.363636364,3.782112974,43.94834802,9704.150015,37.7979798,4548.030333,106.6388537
G10,Phf1.4,2.178423237,0.449515906,2.998702162,36.64736457,11375.28436,35.61549101,3273.795272,123.7332489
G11,Phf2.4,5.894448252,1.028101439,5.616907744,41.61321035,10339.41111,31.66552433,3456.629186,110.2064185
