Well,shRNA,Amet+CXCR3+ as % of Amet+,Amet+CD103+ as % of Amet+,GeoMean PE-Cy7-A of Amet+_CXCR3_CD127,GeoMean APC-A of Amet+_CD103,GeoMean PerCP-Cy5-5-A of Amet+_CD25,Amet+CD62L+ as % of Amet+,GeoMean Alexa 700-A of Amet+_CD44,GeoMean PE-A of Amet+_CD127
B02,Prmt1.1,74.68853821,6.602990033,1752.521093,52.71876936,6138.035035,13.16445183,3821.608556,100.0679854
B03,Rbbp4.1,30.11019284,3.333333333,79.98418677,33.82669965,6107.520028,16.03305785,5200.330881,102.9354142
B04,Rbbp5.1,45.43230016,5.220228385,277.631503,42.23475079,4512.788923,21.26155519,4079.945275,115.4608622
B05,Psip1.1,32.81452659,1.908467667,147.6350252,44.32638471,4046.013703,13.04428386,4489.280859,56.31202114
B06,Prmt3.1,36.63117135,4.104549855,172.7637267,49.20812694,3407.753102,13.16553727,4493.988378,77.39092308
B07,Rnf40.1,19.57527906,1.089028042,43.36157832,47.55384856,5239.447944,20.58263,4571.003675,67.44511294
B08,Ring1.1,32.56914119,2.037845706,151.1400828,53.02479481,3861.862768,15.02911208,5038.171614,65.92194843
B09,Prmt7.1,32.36836992,1.981736934,123.5248691,51.07756201,4974.922978,15.73732271,4797.555807,56.23586566
B10,Prmt2.1,31.88647746,2.170283806,139.5286443,48.21114139,4135.033784,17.11185309,4747.239518,57.71414018
B11,Rnf20.1,24.15175817,2.159161012,68.78321021,55.42893942,5269.112766,16.62553979,5041.759792,66.24974948
C02,Ring1.2,22.22222222,0,34.36784322,20.89754551,5127.595743,55.55555556,4302.594909,140.246689
C03,Prmt5.1,37.15023676,3.314679294,186.0508193,50.24056455,4465.181519,16.63796814,3724.793132,67.3224343
C04,Prmt1.2,56.58527206,3.153239762,627.8109696,47.45278598,4549.715024,11.90155739,3834.650073,77.95302488
C05,Rnf20.2,26.7643656,1.831854994,107.0698158,53.34406198,3644.507619,18.20285384,3695.253984,76.59240924
C06,Rbbp7.1,26.42405063,1.529535865,92.25920327,49.21245973,3507.673849,19.44444444,4126.83725,49.12668389
C07,Rbbp5.2,35.94680429,2.481143311,172.3118716,36.32273865,3930.458265,15.38308853,4601.281508,106.6715789
C08,Prmt3.2,32.37385709,1.608533695,160.7723184,50.67320417,3485.572185,19.53945141,4668.121599,56.96960849
C09,Rnf217.1,34.01015228,1.761719916,143.6698307,45.79263959,3448.951652,17.67691848,4942.380547,71.66002018
C10,Rbbp4.2,21.50819672,1.081967213,60.34841271,40.92526539,3852.190844,13.1147541,5000.088333,66.95619038
