,,Experiment: panel 1 100U,Analysis: Analysis 1,User: Admin,Plate: 10,Plate Type: 96 Well,Plate Order: Row,Export Date: 4/21/2015,Export Time: 10:24:25 AM,,,,,,,,,,,,,,,,,,,,,,,
,,Well ID,Well Type,Amet+CXCR3+ as % of Amet+,Amet+GFP+CXCR3+ as % of Amet+GFP+,GFP+CXCR3+ as % of GFP+,Amet+CD103+ as % of Amet+,Amet+GFP+CD103+ as % of Amet+GFP+,GFP+CD103+ as % of GFP+,GeoMean PE-Cy7-A of Amet+,GeoMean PE-Cy7-A of Amet+GFP+,GeoMean PE-Cy7-A of GFP+,GeoMean APC-A of Amet+,GeoMean APC-A of Amet+GFP+,GeoMean APC-A of GFP+,GeoMean PerCP-Cy5-5-A of Amet+,GeoMean PerCP-Cy5-5-A of Amet+GFP+,GeoMean PerCP-Cy5-5-A of GFP+,Amet+CD62L+ as % of Amet+,Amet+GFP+CD62L+ as % of Amet+GFP+,GFP+CD62L+ as % of GFP+,GeoMean Alexa 700-A of Amet+,GeoMean Alexa 700-A of Amet+GFP+,GeoMean Alexa 700-A of GFP+,GeoMean PE-A of Amet+,GeoMean PE-A of Amet+GFP+,GeoMean PE-A of GFP+,Count of live cells,Count of singlets,Count of Amet+,Count of Amet+GFP+,Count of GFP+
B02,Mll1.1,B02,Sample,33.66949752,4.64778504,2.328288708,1.857749469,0.653594771,0.349243306,136.4211408,4.647313942,3.871554075,37.29254017,20.44073084,14.84368868,4901.519795,12399.41224,11257.55372,18.40056617,26.54320988,33.29452852,5946.217464,3943.315367,4167.920498,105.9856608,159.9232813,168.1890657,22255,15812,5652,2754,859
B03,Mta3.1,B03,Sample,42.58734655,5.741324921,2.196293754,1.857097891,0.914826498,0.549073439,285.6251063,5.608437521,4.634109891,34.36588272,20.93545887,18.54520869,4249.547542,10917.42401,9457.92063,22.94617564,39.05362776,34.11118737,4952.916407,4262.991429,3977.865511,101.7733613,152.513656,136.1511437,23880,17092,3177,3170,1457
B04,Mtf2.1,B04,Sample,31.45695364,5.218030377,2.640051513,1.080515859,0.367466928,0.193174501,144.9360688,4.914743698,4.349473802,40.22783879,25.18167013,15.96781654,3555.72353,11684.43453,9347.683639,13.48902056,24.4732974,34.83580167,5761.936205,4914.026986,4160.579716,86.63114446,132.0027779,130.0123811,27246,20133,5738,4082,1553
B05,Mta2.1,B05,Sample,39.72994028,5.530973451,2.542372881,2.440924435,0.973451327,0.211864407,222.7061845,5.056264118,4.55365595,35.56329985,16.23533957,16.63344148,4038.365733,10171.90969,9594.794886,15.7621397,28.80530973,34.53389831,5741.811903,4758.948869,3804.719464,100.7876846,156.4152375,108.0577998,18953,13403,3851,2260,944
B06,Mll3.1,B06,Sample,50,0,4.67008135,0,0,0.542332028,318.5375158,1.68216912,4.987364276,42.10045019,19.17178851,19.34139999,3372.421669,10854.03486,9144.780055,18.75,38.0952381,28.32178367,4470.312454,4414.24166,3734.420388,46.43658328,170.5632829,109.9620136,24069,17021,16,21,3319
B07,Nap1l1.1,B07,Sample,47.30378317,4.842931937,3.134182174,3.317334839,0.706806283,0.195886386,418.2174462,6.903380865,5.712915367,41.01128706,23.52351979,23.59876266,3769.531421,7607.946081,8453.921238,13.33992095,28.63874346,30.85210578,3547.201855,3054.502453,4148.321771,94.23892848,122.8374357,111.9222667,27000,20786,7084,3820,1021
B08,Myst2.1,B08,Sample,46.65257223,9.662921348,2.570694087,5.567300916,1.348314607,0.154241645,285.3139619,8.948248605,5.15100569,53.40178113,25.86876611,20.73667125,5534.538826,12064.24896,8837.152177,12.40310078,30.2247191,29.76863753,6687.72945,5637.605169,3967.749532,104.0947328,141.982079,119.1168706,22637,15964,1419,890,1945
B09,Msl3.1,B09,Sample,42.02386213,7.172557173,2.831010453,2.783915157,1.403326403,0.217770035,306.0779093,6.235858329,5.586790207,36.45419999,22.48062754,18.34925678,4233.287424,13047.41782,9602.731828,19.75254087,39.96881497,36.14982578,4846.11494,3539.330778,4235.06447,91.1156978,138.0384664,131.039242,23744,16593,2263,1924,2296
B10,Mll2.1,B10,Sample,22.53553416,3.231235274,2.051739518,3.301237964,1.581958936,0.178412132,46.70723289,3.31496556,4.50926003,37.37463227,23.75529495,18.92285106,6114.306928,14878.39484,8731.036169,27.62494269,36.04846853,33.80909902,7787.275768,6639.990261,4291.430427,123.0649805,160.8314885,144.6956075,23214,16903,4362,2971,1121
B11,Myst3.1,B11,Sample,37.59517766,4.450072359,2.099580084,5.615482234,1.410998553,0.359928014,251.6610154,8.494122314,4.312406895,49.51750257,27.98721627,22.4461017,2535.740413,4426.360213,11214.33511,17.70304569,32.23589001,33.71325735,5991.874665,4473.066886,4278.446477,102.1894922,132.9237831,132.6895826,29975,22259,6304,2764,1667
C02,Myst2.2,C02,Sample,33.09920983,6.161806209,1.789264414,3.131401814,1.317027281,0.596421471,185.5851449,6.531675178,4.877473833,41.34441282,27.19954581,18.87061033,4306.981107,9009.87318,8832.756627,25.02194908,47.13076199,37.77335984,5074.742564,4664.709687,3666.190465,85.81347577,129.6270463,123.0779685,19380,13586,3417,2126,1006
C03,Mll5.1,C03,Sample,47.89045152,6.914893617,1.752190238,1.579077227,0.465425532,0.312891114,456.8017098,7.502657511,4.685359839,35.57075738,20.52137948,17.40588206,2146.218182,5949.948323,7632.950134,19.36836911,37.5,36.42052566,4731.048881,4215.392633,3730.925833,85.50779533,143.3813238,107.9076433,23360,16716,4053,3008,1598
C04,Mll1.2,C04,Sample,38.39891452,8.827319588,2.332361516,2.532790592,0.708762887,0.29154519,188.5676874,6.43526092,4.790241536,41.02807184,21.44014557,18.85704974,3361.733718,9405.008035,7772.212299,19.31252827,34.27835052,37.49271137,5886.843699,4878.394696,3921.758955,80.3843488,139.8699433,116.5666586,19656,13654,2211,1552,1715
C05,Myst3.2,C05,Sample,36.67175573,5.108654213,2.660098522,2.503816794,0.609988563,0.246305419,212.3045471,5.573835127,4.535274607,36.7312,22.16707473,18.74538134,4529.882354,9050.261988,7816.188193,18.80916031,38.16240945,36.89655172,5688.793279,4554.550471,4209.804165,89.91310069,130.6889816,113.5662113,22643,16130,3275,2623,2030
C06,Myst1.1,C06,Sample,44.76614699,4.355179704,2.687411598,2.38625517,0.803382664,0.424328147,336.3118915,5.032031229,4.837658233,41.6320486,22.15590027,20.34939592,5256.245493,11653.454,8845.811715,15.14476615,37.46300211,35.572843,5305.653652,4810.566452,4720.671502,77.52195395,133.8322549,122.3054446,20645,14994,3143,2365,1414
C07,Mtf2.2,C07,Sample,44.57652303,6.077502091,1.938610662,1.040118871,0.390298299,0.242326333,381.4126724,6.83420126,4.655836315,38.61558643,24.04723684,16.27725672,2329.365076,6603.54153,8257.751879,18.97686266,36.85531084,36.91437803,5170.708632,4304.964466,4387.61954,76.78310632,118.2987022,125.3812501,22967,16685,4711,3587,1238
C08,Mll3.2,C08,Sample,37.41265345,3.955733459,2.383134739,0.698772427,0.164822227,0.733272227,259.1964139,5.658408506,5.912605051,47.57711482,36.11387799,22.54993738,1867.172799,9044.949466,7633.258886,8.970727101,18.88391806,31.53070577,5386.728023,5654.733435,4096.03969,68.33591985,102.132357,109.196962,24601,18228,5295,4247,1091
C09,Myst4.1,C09,Sample,58.4133258,9.305932532,1.994459834,1.439864483,0.271423032,0.332409972,748.6964669,11.13399167,5.213059694,31.81984974,19.46196089,22.83218976,3811.450605,6509.615308,8257.231901,14.62450593,34.39317565,35.23545706,3386.590767,3225.41337,4256.677805,82.21408342,119.0889436,91.04521957,24054,16960,3542,2579,1805
C10,Mta3.2,C10,Sample,32.50245982,5.585683297,2.638297872,0.951131519,0.488069414,0.127659574,184.2746078,8.720575847,5.265397457,36.0340399,25.65071266,24.38667502,2026.253095,5873.092363,9109.162236,24.46703837,46.14967462,37.14893617,6126.896656,4810.51734,4457.185016,88.03640182,130.8087222,109.2347143,24702,18255,3049,1844,2350
C11,Mta1.1,C11,Sample,37.46059043,6.299580028,1.935483871,2.321582115,0.606626225,0.387096774,236.6470008,5.711893676,4.212442936,37.55104057,20.1812287,20.63406232,3748.095694,11377.63714,10743.07888,18.83061049,36.16425572,34,5821.585286,4473.809177,4081.32268,111.8965832,197.4941119,159.1854513,22719,15901,3489,2143,1550
