,,Experiment: panel 1 100U,Analysis: Analysis 1,User: Admin,Plate: 8,Plate Type: 96 Well,Plate Order: Row,Export Date: 4/21/2015,Export Time: 10:21:29 AM,,,,,,,,,,,,,,,,,,,,,,,
,,Well ID,Well Type,Amet+CXCR3+ as % of Amet+,Amet+GFP+CXCR3+ as % of Amet+GFP+,GFP+CXCR3+ as % of GFP+,Amet+CD103+ as % of Amet+,Amet+GFP+CD103+ as % of Amet+GFP+,GFP+CD103+ as % of GFP+,GeoMean PE-Cy7-A of Amet+,GeoMean PE-Cy7-A of Amet+GFP+,GeoMean PE-Cy7-A of GFP+,GeoMean APC-A of Amet+,GeoMean APC-A of Amet+GFP+,GeoMean APC-A of GFP+,GeoMean PerCP-Cy5-5-A of Amet+,GeoMean PerCP-Cy5-5-A of Amet+GFP+,GeoMean PerCP-Cy5-5-A of GFP+,Amet+CD62L+ as % of Amet+,Amet+GFP+CD62L+ as % of Amet+GFP+,GFP+CD62L+ as % of GFP+,GeoMean Alexa 700-A of Amet+,GeoMean Alexa 700-A of Amet+GFP+,GeoMean Alexa 700-A of GFP+,GeoMean PE-A of Amet+,GeoMean PE-A of Amet+GFP+,GeoMean PE-A of GFP+,Count of live cells,Count of singlets,Count of Amet+,Count of Amet+GFP+,Count of GFP+
B02,Jmjd5.1,B02,Sample,36.47270546,5.73580533,1.936483346,2.429514097,0.695249131,0.387296669,165.5362944,3.389121947,2.976997178,58.21485475,33.90367452,28.68930199,4720.67049,11198.97496,10014.24085,12.65746851,24.50753187,29.20216886,5084.440369,4310.43701,3353.456523,53.8984347,85.14309724,75.66465405,19927,14454,3334,1726,1291
B03,Kdm2b.1,B03,Sample,34.07407407,6.875,3.604266274,4.444444444,1.25,0.533284296,98.59143989,4.016000683,3.264759867,49.10541114,29.32535683,24.00075977,3561.01529,9234.000999,9673.244481,14.81481481,27.5,29.12835601,4904.995335,3292.752778,3530.460093,59.50325598,93.00501967,87.76030013,29129,21340,135,160,5438
B04,Kdm3a.1,B04,Sample,37.33751681,4.588201767,2.384227419,2.935903182,0.626959248,0.229252636,151.2773807,3.128380161,3.290920641,38.4943315,14.26720666,19.79215737,4703.166968,13753.0242,10774.57558,16.8982519,32.51638643,29.02338377,6047.440077,4482.924241,4071.548591,89.82758237,165.6759019,98.1442279,30155,22103,4462,3509,2181
B05,Kdm2a.1,B05,Sample,43.22511403,6.5917603,1.694915254,4.132009659,1.123595506,0.299102692,284.8270168,4.356479136,3.041788011,47.4910226,20.31702847,19.76569255,5026.741432,11295.91299,10958.95134,19.93560504,38.76404494,34.19740778,5456.160997,3748.139618,4285.583021,66.26842556,115.8077667,102.2208697,28344,19698,3727,2670,2006
B06,Kat2a.1,B06,Sample,38.53063843,4.369449378,2.139461173,4.876483799,0.81705151,0.475435816,188.2117361,3.781177271,3.554672213,55.24225034,23.38187209,20.74184102,4959.7191,12500.08571,10872.14843,21.01379532,35.95026643,32.05229794,6265.942639,4584.166804,4299.103987,62.48580916,108.2255353,101.8361266,27600,20119,3117,2815,2524
B07,Kdm5a.1,B07,Sample,36.03013429,4.396843292,2.325581395,1.99803472,0.766629087,0.493305144,155.5177583,3.952724089,3.12287244,38.10398501,21.87001556,19.49013012,4150.700183,11173.77012,10167.46495,17.81853914,31.45434047,31.50105708,5290.983317,3986.217322,4306.323882,79.38181055,114.1526826,92.93871838,29022,21279,6106,4435,1419
B08,Kdm4a.1,B08,Sample,49.45445318,5.729632945,1.596806387,2.562801319,0.626678603,0,452.642083,5.990629022,2.78534242,46.54761869,25.08941319,22.46151291,1981.336464,6015.031849,12856.72606,19.71580817,37.33213966,32.53493014,5204.89821,4548.970232,3908.251125,69.23199304,115.2756594,95.78289379,15882,11208,3941,2234,501
B09,Kdm1a.1,B09,Sample,44.05187835,5.550581916,2.629107981,10.01788909,2.372426141,0.516431925,239.8740949,3.037846794,3.639496404,58.06855128,15.89484552,19.10829123,6720.173761,16061.07251,10397.5312,27.59391771,40.51029543,33.89671362,8033.273938,6169.174919,4268.318856,154.3749448,190.2493927,106.633557,22537,15536,2236,2234,2130
B10,Jmjd6.1,B10,Sample,32.59803922,4.635761589,2,1.225490196,1.324503311,0.285714286,132.5832853,3.581500126,3.145747411,49.05650925,26.66723275,23.51380392,4809.463188,11759.83034,11035.53547,14.54248366,25.71743929,28.28571429,5616.262768,4551.078677,3982.956504,60.13669686,105.2410693,95.77256144,10908,7446,1224,906,1050
B11,Kdm4c.1,B11,Sample,41.92382541,4.766444233,1.859723698,2.335279399,0.603749603,0.212539851,257.4883799,4.711709668,3.607846881,38.15406835,20.79724141,19.39152001,4960.621824,10653.28796,11566.46199,16.48596052,33.77820146,30.34006376,5033.132736,3991.351533,3909.871355,82.96557162,121.9503055,112.885849,24094,16826,3597,3147,1882
C02,Kdm4a.2,C02,Sample,22.84446909,3.253685816,1.777170198,1.441641253,0.457549568,0.3417635,60.21294172,3.252417562,3.805001704,40.34012016,21.28547849,30.85591955,5640.983055,13472.04193,9564.065155,17.38286665,29.84239959,25.90567327,6746.438428,4757.231332,3572.049293,73.21610475,124.10916,73.89116229,23621,17592,3607,1967,1463
C03,Kat2b.1,C03,Sample,19.81248079,2.157738095,1.253918495,0.691669228,0.27281746,0.313479624,50.30877971,2.777034031,3.033619089,40.80343067,21.73194235,23.62965572,4106.133756,11493.9415,9666.902614,16.64617276,31.32440476,26.48902821,6015.449225,4599.070398,4002.233781,60.67779168,103.5128016,74.33504824,22928,17682,6506,4032,638
C04,Jmjd5.2,C04,Sample,44.1509434,7.648601399,1.533494754,1.648460775,0.874125874,0.322841001,354.1367778,7.004920896,3.864880826,43.30257965,29.28321661,19.74691781,2676.848352,7780.699701,9757.664697,14.57795432,27.66608392,31.31557708,4912.337071,3882.401792,3730.901301,51.5138273,77.19712351,76.06912707,22201,15739,5035,2288,1239
C05,Kdm4c.2,C05,Sample,35.26266853,5.114481118,1.379944802,1.30172013,0.713648528,0.459981601,203.1657105,4.883637474,4.091720974,40.18253852,24.39338325,23.88683661,3487.785942,9567.851867,8971.051687,21.59460716,36.24739816,33.11867525,4230.269707,3192.332004,4066.588898,58.59379765,94.38811504,92.71687984,22253,15866,4302,3363,1087
