,,Experiment: panel 1 100U,Analysis: Analysis 1,User: Admin,Plate: control 100U,Plate Type: 96 Well,Plate Order: Row,Export Date: 4/21/2015,Export Time: 10:20:30 AM,,,,,,,,,,,,,,,,,,,,,,,
,,Well ID,Well Type,Amet+CXCR3+ as % of Amet+,Amet+GFP+CXCR3+ as % of Amet+GFP+,GFP+CXCR3+ as % of GFP+,Amet+CD103+ as % of Amet+,Amet+GFP+CD103+ as % of Amet+GFP+,GFP+CD103+ as % of GFP+,GeoMean PE-Cy7-A - CXCR3 of Amet+,GeoMean PE-Cy7-A - CXCR3 of Amet+GFP+,GeoMean PE-Cy7-A - CXCR3 of GFP+,GeoMean APC-A - CD103 of Amet+,GeoMean APC-A - CD103 of Amet+GFP+,GeoMean APC-A - CD103 of GFP+,GeoMean PerCP-Cy5-5-A - CD25 of Amet+,GeoMean PerCP-Cy5-5-A - CD25 of Amet+GFP+,GeoMean PerCP-Cy5-5-A - CD25 of GFP+,Amet+CD62L+ as % of Amet+,Amet+GFP+CD62L+ as % of Amet+GFP+,GFP+CD62L+ as % of GFP+,GeoMean Alexa 700-A - CD44 of Amet+,GeoMean Alexa 700-A - CD44 of Amet+GFP+,GeoMean Alexa 700-A - CD44 of GFP+,GeoMean PE-A - CD127 of Amet+,GeoMean PE-A - CD127 of Amet+GFP+,GeoMean PE-A - CD127 of GFP+,Count of live cells,Count of singlets,Count of Amet+,Count of Amet+GFP+,Count of GFP+
B02,Bptf.1,B02,Sample,30.9566787,5.330053301,4.171240395,0.87244284,0.8200082,0.631174533,124.0024389,4.417573904,5.472177964,27.57560204,17.39584128,16.71634173,5219.404928,12836.70738,10602.69203,24.69915764,34.48134481,33.72667398,6058.885228,5181.774608,3970.304347,73.14574754,118.8395885,101.3579007,40592,30456,3324,2439,3644
B03,Bptf.2,B03,Sample,39.93055556,6.479690522,4.175824176,2.864583333,0.676982592,0.461538462,216.2863748,5.478365532,4.949265527,30.41218922,22.0581204,17.5176787,5026.684978,11600.40753,11167.39146,21.09375,28.91682785,32.65934066,5158.512229,4161.518823,4211.203647,84.89354942,132.9513411,111.3857807,37005,27233,1152,1034,4550
B04,Bptf.3,B04,Sample,39.08503232,6.632277082,3.307785397,2.11337643,0.700073692,0.363049617,208.0538232,5.524899191,4.787900423,32.15054747,19.78159456,18.67300536,5216.266727,13056.93654,10539.48114,18.10044754,25.35003685,32.31141589,5525.333973,4355.626196,4088.715775,72.05762523,113.7757836,97.26534408,34749,25545,4022,2714,2479
B05,Bptf.4,B05,Sample,39.30260047,6.534954407,2.479338843,1.674546887,0.577507599,0.236127509,251.9113129,6.815402358,4.857897405,33.02604963,20.67882856,18.70620116,3432.916396,8018.727011,10121.65781,19.5429472,33.25227964,34.76977568,5095.166824,4439.285463,3884.788198,70.38680901,113.0730522,96.00948173,31267,23052,5076,3290,1694
B06,Whsc1.1,B06,Sample,36.87913025,5.191360364,3.767123288,2.32359838,0.83364911,0.228310502,183.8436732,4.22526048,4.426513925,33.83721623,15.58887879,17.46719051,4820.236339,12971.52039,11334.12446,17.45896397,31.03448276,33.21917808,4337.123256,3191.528858,4155.278578,79.19355965,146.5955347,103.4778188,30224,22451,4691,2639,1752
B07,Whsc1.2,B07,Sample,36.2243423,6.34057971,2.325581395,1.50332466,0.679347826,0.355297158,186.1316967,5.411835427,3.833766758,32.68383549,24.78460729,18.8735822,3992.70528,11328.80073,11028.37156,19.34084996,30.11775362,32.55813953,3985.76019,3215.233982,3993.454694,54.55326526,85.94507416,95.13643995,35937,26935,3459,2208,3096
B08,Whsc1.3,B08,Sample,32.52134606,5.56222489,2.901960784,1.88347564,0.920368147,0.470588235,154.2439883,4.721622297,4.242662728,39.20580359,22.06612245,21.68834745,4533.195654,12468.88913,10086.25245,14.9924661,30.6522609,35.25490196,3275.799556,2428.152622,4053.853977,64.87368465,107.4091379,84.19896589,34618,25544,3982,2499,2550
B09,Whsc1.4,B09,Sample,34.21104732,5.876068376,2.835051546,1.425460305,0.641025641,0.360824742,165.6823911,4.626409244,3.94570027,30.98908845,15.31795933,20.06089964,3767.515372,10831.35528,10644.04424,18.76856068,30.23504274,33.86597938,3056.21194,2028.2669,3889.006773,65.04585032,134.8475277,95.34691772,33722,25130,5051,2808,1940
B10,shCd4.1,B10,Sample,28.53414528,6.152082537,2.461538462,1.696389735,0.802445548,0.256410256,113.7483448,5.443063442,4.011812516,37.41506929,22.87607172,19.74129081,3858.270063,11518.96037,10445.25318,19.7477164,27.97095911,33.43589744,4914.963537,3800.346379,3794.379854,62.32975402,96.64424433,90.6275163,34041,25451,4598,2617,1950
