,,Experiment: panel 1 100U,Analysis: Analysis 1,User: Admin,Plate: 12,Plate Type: 96 Well,Plate Order: Row,Export Date: 4/21/2015,Export Time: 10:25:58 AM,,,,,,,,,,,,,,,,,,,,,,,
,,Well ID,Well Type,Amet+CXCR3+ as % of Amet+,Amet+GFP+CXCR3+ as % of Amet+GFP+,GFP+CXCR3+ as % of GFP+,Amet+CD103+ as % of Amet+,Amet+GFP+CD103+ as % of Amet+GFP+,GFP+CD103+ as % of GFP+,GeoMean PE-Cy7-A of Amet+,GeoMean PE-Cy7-A of Amet+GFP+,GeoMean PE-Cy7-A of GFP+,GeoMean APC-A of Amet+,GeoMean APC-A of Amet+GFP+,GeoMean APC-A of GFP+,GeoMean PerCP-Cy5-5-A of Amet+,GeoMean PerCP-Cy5-5-A of Amet+GFP+,GeoMean PerCP-Cy5-5-A of GFP+,Amet+CD62L+ as % of Amet+,Amet+GFP+CD62L+ as % of Amet+GFP+,GFP+CD62L+ as % of GFP+,GeoMean Alexa 700-A of Amet+,GeoMean Alexa 700-A of Amet+GFP+,GeoMean Alexa 700-A of GFP+,GeoMean PE-A of Amet+,GeoMean PE-A of Amet+GFP+,GeoMean PE-A of GFP+,Count of live cells,Count of singlets,Count of Amet+,Count of Amet+GFP+,Count of GFP+
B02,Pcgf2.1,B02,Sample,51.28205128,13.33333333,3.893769968,0,0,0.658945687,592.2121065,13.77048172,4.919339563,51.14615642,54.82785324,26.92806249,4061.200988,11153.14654,8626.097497,17.94871795,6.666666667,26.49760383,2979.370206,673.2637297,3371.798378,68.56573747,87.84788789,98.38086741,38912,29347,39,15,5008
B03,Phf20.1,B03,Sample,48.4501845,8.913934426,3.210815378,2.693726937,0.768442623,0.506970849,348.2517852,6.885891805,4.862556718,45.86213859,28.62724764,27.18436646,5412.579979,12180.25584,9327.020337,14.90774908,25.51229508,32.36163921,4127.900423,2787.31954,3836.490462,69.93006162,109.5492927,100.131887,28674,21082,2710,1952,2367
B04,Phf20l1.1,B04,Sample,48.93771125,7.089405278,2.51593425,3.066151618,0.905868452,0.06709158,410.0309723,6.338441512,4.220549018,49.88739891,28.97422151,26.45557015,3881.62445,9765.709575,9267.029359,18.95219701,31.46908232,31.29822207,5202.696234,4358.68426,3936.116821,72.23959006,111.2291269,90.14749828,33300,25059,4142,2539,2981
B05,Phf2.1,B05,Sample,26.08444187,4.608294931,2.680021657,0.925390399,0.230414747,0.135354629,87.26840856,3.904378155,3.706019249,48.42880726,30.63295839,27.91496924,3914.315127,12059.16163,9542.874389,20.58993638,32.02764977,33.05360043,4307.447635,3133.789886,3664.350023,62.40962573,96.99518718,88.41535569,31953,24519,1729,868,3694
B06,Pcgf6.1,B06,Sample,42.13685474,8.148734177,2.419101477,2.200880352,0.949367089,0.282752121,277.1007583,7.821840482,3.827170951,48.76801302,33.59246543,27.94022907,3689.59499,8637.293913,9038.854285,12.40496198,30.06329114,29.56330506,4275.591621,3245.241012,3283.759461,54.50102635,86.6437334,88.64633119,32025,24065,2499,1264,3183
B07,Prdm1.1,B07,Sample,28.69040781,3.899721448,1.323706378,1.07696726,0.445682451,0.481347774,94.75384676,3.175608363,3.762450511,37.90123067,18.69624642,25.44862671,4602.998397,12831.00472,8587.328655,17.17403791,33.42618384,33.93501805,5460.20472,4604.761747,3552.594148,96.4458915,193.9861966,99.41557324,32962,25378,6964,3590,1662
B08,Phip.1,B08,Sample,44.54750564,6.71920365,1.755119097,2.155928804,0.29033596,0.29251985,325.3010531,5.922518204,3.598842587,43.87941631,28.71507119,24.13273723,3678.01624,9222.131792,10471.61232,11.88267736,24.55412692,30.50564145,4110.124775,3432.843549,3584.384618,64.17936666,96.18130056,95.92155357,30196,22557,3989,2411,2393
B09,Phf1.1,B09,Sample,40.44637997,7.649513213,2.88217662,1.306477953,0.90403338,0.553377911,230.3524389,5.408499132,4.216707194,42.40437543,33.96686804,26.90748455,4721.265382,10930.41792,10027.44933,11.86717474,27.19054242,29.62877565,4124.478607,2495.471609,3482.077871,59.08556198,90.18257524,95.56510014,35945,26947,1837,1438,4337
B10,Pcgf5.1,B10,Sample,44.44874275,8.758568165,1.962809917,1.489361702,0.99009901,0.154958678,338.3267421,9.641095393,3.893833869,41.14681323,33.5837396,26.58561158,3349.871594,8375.914993,10438.01814,17.67891683,28.14166032,31.25,5168.435139,4402.008526,3549.979436,80.18463682,106.6143842,108.4475416,28947,21265,5170,2626,1936
B11,Polr2b.1,B11,Sample,29.73372781,6.06557377,2.640156454,1.368343195,0.573770492,0.488917862,125.1559066,5.286839521,4.603249474,49.11419546,32.00926271,31.20587704,4231.474545,10967.68691,9824.027691,14.71893491,26.39344262,29.36766623,4735.403004,3501.85537,3630.900202,80.78610146,122.4312922,117.0998358,33541,25366,2704,1220,3068
C02,Phip.2,C02,Sample,40.2075227,6.533575318,2.564802183,1.729355815,0.604960678,0.327421555,204.7055052,5.727704954,3.283599554,40.72196675,27.61489844,23.39730962,3186.860689,7950.159848,10074.9683,18.84997838,36.60012099,36.34379263,4798.841768,3903.376168,3867.065619,72.91788488,102.5449716,109.046381,30308,22865,2313,1653,3665
C03,Pcmt1.1,C03,Sample,42.60848247,5.977264393,2.891692955,1.961265016,0.440044004,0.47318612,264.9583947,5.151020643,4.073148414,44.09770239,24.77207952,25.82412531,3836.95539,9407.911601,9203.068164,23.09389556,35.38687202,34.96319664,5092.544766,4369.557131,3958.510385,73.52721028,112.374255,98.21872743,27369,20403,4079,2727,1902
C04,Pcgf2.2,C04,Sample,37.9810095,9.354604786,2.627118644,2.19890055,0.362581581,0.296610169,201.583788,7.338768339,3.45257208,46.17833137,32.43655016,27.25359261,4108.551753,9581.790199,9804.051108,19.5902049,37.78100073,36.22881356,4873.566568,3787.362072,4058.47129,67.92390025,102.3198696,87.41976366,24423,18232,2001,1379,2360
C05,Polr2b.2,C05,Sample,37.88968825,6.310679612,3.574374484,3.357314149,1.45631068,0.302447072,183.7387612,6.55125077,4.014081413,48.97829096,30.45903156,30.2856155,4431.583537,8355.914648,8488.361607,26.13908873,41.50485437,34.39648062,3116.651936,3227.288742,3669.695154,56.35974781,86.63434814,82.92633851,24573,18451,417,412,3637
C06,Phf8.1,C06,Sample,37.6140588,7.403891789,2.364066194,1.351808043,0.569530138,0.078802206,194.8420786,5.730177764,4.053798086,48.44123563,34.10941998,27.93445887,4141.91309,10714.87272,9165.617959,16.83001014,28.00189843,32.62411348,4866.308388,3764.329052,3499.326056,60.10306209,97.83093439,83.33177662,21032,14679,2959,2107,1269
C07,Phf20l1.2,C07,Sample,42.14123007,4.994954591,2.650678447,2.870159453,0.706357215,0.252445566,243.7662933,5.119308727,4.000754868,43.92315481,25.90335161,27.2010272,3958.189495,8716.406421,9221.147061,17.35763098,33.85469223,35.15304512,5178.830455,3997.849382,3772.159361,72.92420441,118.651095,106.7606461,28660,20583,2195,1982,3169
C08,Pcgf6.2,C08,Sample,24.06707605,2.975557917,2.361396304,0.743977326,0.398512221,0.308008214,89.94690649,3.538629856,3.963397551,52.76736354,38.5909754,30.82366158,3493.163615,11300.33716,8236.667587,13.67501181,23.1402763,30.69815195,5618.15563,4614.834247,3467.653354,67.68998074,106.1545204,93.43347784,29492,22081,8468,3764,974
C09,Ppargc1a.1,C09,Sample,39.26042486,6.150857883,3.403141361,1.121164437,0.615085788,0.209424084,257.571046,6.118902148,4.503281646,45.41686091,31.94794738,30.1483274,3703.40282,9585.295391,9198.14281,13.94571204,31.07801878,30.62827225,3623.614764,2968.304958,3492.468918,59.61780885,92.30369098,91.63127244,31327,22973,5084,3089,1910
C10,Phf20.2,C10,Sample,39.76653696,6.179066835,2.125,2.568093385,0.588482556,0.4375,231.8593758,4.950613872,4.03659149,51.93063795,30.20109549,26.61981983,4884.140573,12500.9945,9820.102033,15.77172503,29.9285414,29.5625,4099.529692,2190.531118,3508.819751,67.19799959,101.9640969,93.86388483,26557,19379,3855,2379,1600
