Well,shRNA,Amet+GFP+CXCR3+ as % of Amet+GFP+,Amet+GFP+CD103+ as % of Amet+GFP+,GeoMean PE-Cy7-A of Amet+GFP+_CXCR3_CD127,GeoMean APC-A of Amet+GFP+_CD103,GeoMean PerCP-Cy5-5-A of Amet+GFP+_CD25,Amet+GFP+CD62L+ as % of Amet+GFP+,GeoMean Alexa 700-A of Amet+GFP+_CD44,GeoMean PE-A of Amet+GFP+_CD127
B02,Nap1l2.1,4.349577124,0.281917036,4.128471364,25.71294248,9304.293914,22.31171969,3536.483599,123.0756037
B03,Padi1.1,4.951644101,0.618955513,6.360967178,25.3857932,5008.424642,28.85880077,3345.476636,140.9538071
B04,Padi4.1,2.396166134,0.399361022,3.591599558,26.56796608,12489.89914,33.38658147,3170.208038,142.9150218
B05,Orc1.1,4.011461318,0.458452722,4.823891732,28.18346428,9335.699787,27.50716332,3967.321429,121.0095718
B06,Ncoa1.1,4.291461779,0.71524363,4.999497127,26.77895355,8668.268255,26.86633885,3416.359473,116.7361041
B07,Pcgf1.1,3.939617084,0.625920471,5.029307794,23.82115235,8892.858765,26.03092784,3257.268204,121.6265656
B08,Parp1.1,5.099150142,0.566572238,6.417616948,29.5529951,8416.603553,25.73182247,4585.915054,122.3724543
B09,Ncor2.1,5.384087791,0.720164609,6.217388841,29.82342987,9511.883198,29.90397805,3531.926621,104.3396811
B10,Nap1l3.1,1.315789474,0,2.602402869,20.61978828,14180.44051,39.47368421,3797.084545,148.8329018
B11,Paxip1.1,5.553398058,1.126213592,5.990403729,32.3041856,8766.775697,24.62135922,3426.488004,105.3618691
C02,Parp1.2,4.14507772,0.690846287,5.334557719,24.33207894,9515.315295,33.50604491,3781.498964,174.9763132
C03,Ncoa3.1,7.224334601,0.633713561,7.479165369,21.27169383,7998.503757,31.81242079,3994.133784,147.4294886
C04,Nap1l2.2,15.71428571,6.19047619,11.2704979,32.35532513,4162.445209,42.38095238,3718.996265,198.5721206
C05,Paxip1.2,5.879712747,0.448833034,5.395730687,25.41723996,9618.251475,36.8043088,2638.346573,134.1750004
C06,Padi6.1,7.250608273,0.97323601,7.794432978,24.20786674,8346.927539,30.85158151,3900.244238,128.2509594
C07,Padi4.2,7.407407407,0.715841892,8.821952198,23.66285706,5100.677312,30.90569561,4336.690507,144.7892933
C08,Ncoa1.2,4.350161117,0.456498389,6.67333476,35.23245292,8168.193703,29.59183673,4144.270108,95.90722886
C09,Pbrm1.1,5.843621399,0.864197531,5.373558147,26.13134701,9347.895265,33.53909465,4376.031174,129.316024
C10,Padi1.2,5.005213764,0.556134863,5.505013837,24.95065417,9512.008044,31.59541189,4044.32238,119.0543653
C11,Nsd1.1,7.982336957,0.917119565,8.196204454,21.34940774,8778.825392,30.57065217,3564.102135,140.033464
D02,Nap1l3.2,3.784477229,0.449005773,3.79278705,21.82819843,11156.41351,30.0192431,3516.299619,162.619299
D03,Pbrm1.2,5.476951164,0.638977636,5.104155187,24.18686324,9526.95578,31.53811045,3637.84643,143.0415485
D04,Padi1.3,5.389797883,0.384985563,5.306776652,26.939703,8678.449958,29.11453321,3858.768171,137.9287296
D05,Ncor1.1,5.252317199,0.669412976,4.410176041,26.04252182,12088.25029,36.71472709,4879.857707,136.0553935
D06,Ncoa3.2,6.000789578,0.592183182,5.735820426,19.33247426,8997.543827,28.8590604,4328.141896,175.7005721
D07,Pbrm1.3,4.671814672,0.27027027,4.27013537,19.98609562,10806.64156,36.06177606,4762.688106,179.5009182
D08,Padi6.2,5.863013699,0.657534247,4.921345671,24.77564602,10078.00178,31.89041096,4781.772611,149.0787875
D09,Ncor2.2,6.236080178,0.593912398,5.527451881,28.0222892,10077.3538,32.96213808,3765.533713,115.385538
D10,Nap1l2.3,7.046979866,1.454138702,5.237307731,18.91185806,13381.9473,35.34675615,4598.00425,220.0526333
D11,Pcgf1.2,5.937399161,0.645369474,7.253987172,28.22649067,7043.413257,23.33010649,3300.026986,130.1592901
E02,Nsd1.2,7.532467532,0.987012987,7.270970782,18.47986067,8819.36615,28.51948052,4124.901119,188.8459582
E03,Orc1.2,4.997369805,0.526038927,4.921793914,24.56662406,10045.77599,28.0378748,3521.432968,157.5222222
E04,Nap1l2.4,4.299847793,0.494672755,5.508192395,29.00546524,8506.900468,30.09893455,3580.66546,121.0936478
E05,Parp1.3,4.571428571,0.542857143,4.748616925,26.78329377,10461.79796,32.25714286,4196.248802,130.2719666
E06,Padi4.3,5.229540918,0.319361277,4.976408768,24.23248329,10473.84286,33.29341317,3977.835702,138.8528081
E07,Ncor1.2,11.53846154,0,9.376207873,19.09429846,7010.981369,26.92307692,4488.510336,140.7256651
E08,Nap1l3.3,4.644450276,0.341117817,5.983385391,26.77860327,9256.186938,31.33035949,3739.198992,126.8165158
E09,Paxip1.3,4.320712695,0.579064588,4.14346281,19.3979565,11405.87558,31.58129176,5852.189745,179.3676526
E10,Padi6.3,6.018518519,0.848765432,4.729109511,24.24717358,11038.25085,28.47222222,4555.29451,151.2525071
E11,Ncor2.3,3.708481135,0.515962593,3.902652451,29.79367627,13329.30815,31.11899387,4156.139652,138.0430446
F02,Ncoa1.3,5.150631681,0.534499514,5.970551011,26.98391591,8618.599944,30.4664723,2733.590795,128.2251688
F03,Pcgf1.3,4.496469714,0.371609067,5.256541384,25.1034673,8182.382231,22.70531401,2779.920576,123.484291
F04,Padi4.4,7.622377622,0.559440559,10.02548695,30.14253383,7203.590031,26.29370629,3765.531469,112.4729277
F05,Ncor1.3,3.998073218,0.529865125,3.986415969,27.09704898,12443.65571,48.50674374,4436.745689,136.6492465
F06,Ncoa3.3,5.90809628,0.437636761,6.782097185,26.03936219,8630.648281,35.04741065,2638.376319,105.7522454
F07,Parp1.4,4.916452442,0.482005141,5.282954554,22.29468757,10691.56562,30.1092545,4176.0233,148.3830757
F08,Orc1.3,6.052428682,0.65535852,5.656057705,25.84913839,9482.97819,33.384734,4881.467292,140.0757495
F09,Nsd1.3,5.794525418,0.568787771,7.189634359,32.90576691,8772.64903,34.02061856,3584.83486,112.9262818
F10,Ncoa3.4,5.088932806,0.64229249,6.303741892,32.09616543,9600.235307,27.51976285,3811.377693,121.8697527
F11,Paxip1.4,5.18902891,0.49419323,6.666242397,29.61751037,8276.955723,33.85223622,4092.492814,130.5304856
G02,Padi6.4,4.892141757,0.462249615,5.273884104,20.94720985,9749.158076,35.16949153,4543.401959,192.0968134
G03,Nsd1.4,6.363636364,0.606060606,7.20445635,32.36805535,8811.971419,30,3877.971463,110.0150066
G04,Nap1l3.4,8.552935737,1.433194637,7.61394993,33.43511772,10066.38621,35.41377716,4200.823229,155.5215077
