Plate,Well,GeoMean
18,B02,68.6889701622082
18,B03,78.2056305003982
18,B04,62.1534086070179
18,B05,93.5754289107456
18,B06,84.2328657709954
18,B07,68.330055095937
18,B08,75.3065546639258
18,B09,50.7678501414306
18,B10,63.8456792074614
18,B11,73.8157527347568
18,C02,112.100998412418
18,C03,82.7377351900591
18,C04,72.0591304524344
18,C05,82.1867912015265
18,C06,81.5747397150279
18,C07,86.6468292382341
18,C08,91.5588769539076
18,C09,111.100769596343
18,C10,77.756256904087
18,C11,56.9961768023472
18,D02,86.3043991360224
18,D03,103.926291626833
18,D04,104.632638270312
18,D05,130.951007887845
18,D06,81.0526429239708
18,D07,95.2402031410463
18,D08,99.8026926897605
18,D09,77.0934556219207
18,D10,78.9621971871565
18,D11,83.6402877339311
18,E02,82.206760498445
18,E03,78.9046821323459
18,E04,81.9863754451075
18,E05,88.0109589628541
18,E06,77.4799302829323
18,E07,69.009991298657
18,E08,82.7211173281767
18,E09,70.7151451419079
18,E10,77.191265312397
18,E11,64.5254662915321
18,F02,77.9436100357235
18,F03,63.87590068102
18,F04,60.6562263478952
18,F05,105.881405381541
18,F06,69.4763613749538
18,F07,80.9681056345059
18,F08,80.396330905531
18,F09,93.0581999097407
18,F10,79.671404376318
18,F11,66.0291699427345
18,G02,138.57667947842
18,G03,109.564808426971
18,G04,70.5314369316051
18,G05,74.194662033595
18,G06,65.4631673487591
18,G07,101.164824285733
18,G08,106.991200777498
18,G09,71.4827623258926
18,G10,75.1421786392625
18,G11,72.4046089385508
17,B02,42.8943568766331
17,B03,83.3911387970942
17,B04,46.2277203349933
17,B05,49.5090728942096
17,B06,67.7770293276714
17,B07,54.666191245105
17,B08,78.1451320642774
17,B09,46.8468287536235
17,B10,44.1840151448711
17,B11,52.1080946395637
17,C02,76.8181137475255
17,C03,50.5586140464394
17,C04,52.0915738453507
17,C05,55.6791669914218
17,C06,47.7400823792515
17,C07,73.2124083197294
17,C08,59.4190489907984
17,C09,59.5722806095765
17,C10,71.5959781261493
17,C11,45.631478096437
17,D02,65.1774687451588
17,D03,52.3573271106783
17,D04,57.7551283237992
17,D05,61.9663247416788
17,D06,66.1567851252983
17,D07,69.2866504412359
17,D08,71.5773640113933
17,D09,53.9203729942341
17,D10,47.8867915542073
17,D11,81.5767892406788
17,E02,63.1468065094502
17,E03,72.030519079221
17,E04,57.2451895392022
17,E05,65.6983390699978
17,E06,74.638416154215
17,E07,40.8991594512177
17,E08,48.0876843483446
17,E09,77.4030782278194
17,E10,59.8308647613244
17,E11,176.854083047114
17,F02,59.5446867195349
17,F03,114.475737742925
17,F04,75.3321137495104
17,F05,74.3300320404442
17,F06,55.8543850791139
17,F07,78.8351433223113
17,F08,86.7836788534366
17,F09,87.5460574632374
17,F10,24.3828444020817
17,F11,83.8805728372763
17,G02,49.2158865930565
17,G03,50.774319204799
17,G04,66.3515571766659
17,G05,47.6600128908263
17,G06,61.2487984835669
17,G07,59.4591959110324
17,G08,55.1073550709539
17,G09,46.6992910825487
17,G10,41.1615583672576
17,G11,41.1750595117439
20,B02,58.9639837708019
20,B03,73.2310687985657
20,B04,82.3888022167771
20,B05,68.6375256712029
20,B06,72.1335928691893
20,B07,62.4366657089069
20,B08,59.2956502829154
20,B09,82.511155425734
20,B10,74.9482619439871
20,B11,82.2613275657729
20,C02,52.401068552081
20,C03,48.9356420597008
20,C04,56.7531349882158
20,C05,75.8814707155178
20,C06,67.9431580687156
20,C07,74.9244830818911
20,C08,79.7560540084818
20,C09,98.3117947076891
20,C10,94.0403508647761
20,C11,51.879877677775
20,D02,77.4969699852918
20,D03,67.7847616125183
20,D04,93.8611963675895
20,D05,97.1692643906702
20,D06,103.016255261329
20,D07,85.3630068655985
20,D08,77.8111976206685
20,D09,79.2992134730901
20,D10,58.3924434324814
20,D11,44.8132762292934
20,E02,68.2330485353274
20,E03,49.4663125526997
20,E04,50.8065333908314
20,E05,58.8770798266104
20,E06,72.211006915328
20,E07,76.5391331112374
20,E08,82.9488866973639
20,E09,52.6237213744327
20,E10,66.1291407916086
20,E11,69.4079287111224
20,F02,83.7536722096038
20,F03,89.8576304154515
20,F04,60.5717884121448
20,F05,75.1072262347747
20,F06,86.3384411796493
20,F07,65.3256916213834
20,F08,89.7204826802182
20,F09,54.7886178393335
20,F10,54.3080047279557
20,F11,52.4349686657294
20,G02,67.4812399244229
20,G03,75.6742330546828
20,G04,34.9014588930909
20,G05,50.671114157136
20,G06,64.0857197767968
20,G07,58.9255052457838
20,G08,50.0106869876068
20,G09,47.9075661678421
20,G10,57.3417881849356
20,G11,49.190441224747
15,B02,146.437607393532
15,B03,69.3452621892609
15,B04,61.665719425821
15,B05,72.9851632816901
15,B06,64.2053388763278
15,B07,65.1551229545867
15,B08,59.9523488404385
15,B09,80.6415250717657
15,B10,72.6212269376123
15,B11,121.327760099713
15,C02,80.7422740434776
15,C03,89.3398933525219
15,C04,96.143249622521
15,C05,77.7910334750307
15,C06,95.8131224663734
15,C07,59.0165670121632
15,C08,69.6856611694184
15,C09,86.5683593954077
15,C10,86.0545194764796
15,C11,136.524435469901
15,D02,81.5277266559896
15,D03,80.8947287204451
15,D04,92.8977243188695
15,D05,74.053439533514
15,D06,59.2048543644016
15,D07,63.0718022392166
15,D08,62.7200277223238
15,D09,92.2489771055123
15,D10,93.9292164202661
15,D11,69.5779499675488
15,E02,90.9181518247456
15,E03,66.929802158177
15,E04,69.5613625143394
15,E05,59.8370332595629
15,E06,86.4586556852201
15,E07,63.5829871675225
15,E08,89.8025926458711
