Well,GeoMean BV605-A - PD-1 of Amet+_PD1,GeoMean PerCP-Cy5-5-A - LAG3 of Amet+_Lag3,Amet+Tim3+ as % of Amet+,GeoMean PE-A - Tim3 of Amet+
B02,274.505888431033,623.844339727125,14.0444015444015,41.9263803135693
B03,242.400259593027,434.682072333501,4.13922859830668,21.8606176160105
B04,498.984216367748,762.421538880009,10.2297592997812,34.5166262340501
B05,376.131182254024,897.827447468184,11.0920034393809,39.1834548520992
B06,324.338645998671,707.230695926975,10.2404274265361,33.0852694011173
B07,312.752420682816,836.704718950884,6.38445523941707,28.726019325896
B08,403.920277432549,1269.72574623837,9.25250683682771,34.4278368302194
B09,323.415829938705,886.4476001335,8.88421052631579,31.7116502782742
B10,353.679213693069,703.116408300438,10.8290155440415,32.9583765518057
B11,269.780076203775,608.415565638067,8.66920152091255,33.5021118502433
C02,378.967981323874,1013.54968759317,9.45238925706313,35.2077930031106
C03,253.612355933798,556.25398146988,6.48899188876014,28.4800676815288
C04,272.734087858192,580.058014029334,7.01227830832197,26.3443917740763
C05,238.271546632679,559.357730588043,3.04582977512098,23.5355617057791
C06,326.970400342403,720.872953241927,6.30961115187087,25.9522716244005
C07,255.972068560618,605.590680228592,7.12385456695241,28.1979506484977
C08,313.845322952018,479.277726414024,2.53565768621236,20.2539865098304
C09,330.658661126412,830.149258140236,2.53479125248509,23.0476116806064
C10,336.162117696917,941.068367429435,5.53390491036633,24.6981682078194
C11,287.015398607125,929.91630324518,14.321608040201,42.5354376953098
D02,464.685871692528,1011.60878310284,9.60608154803041,30.5111566458148
D03,355.25591716689,741.110086916074,5.78661844484629,27.2335878915041
D04,313.377064122685,681.940237408312,6.526856409159,27.0349819404907
D05,268.848642286585,685.563319523237,5.08174988952718,22.4467951475253
D06,271.555649763832,903.268934979178,4.95867768595041,23.0135579767757
D07,339.101635755676,1025.06854409337,6.68485675306958,30.5936950075556
D08,253.586112766699,872.847005801928,6.68523676880223,25.8950366552507
D09,439.715089798785,1060.11492663228,20.3194888178914,55.8499056032312
D10,366.746230142914,916.428173659383,13.9243498817967,43.4768208651626
D11,279.724552792472,641.425955001539,7.90513833992095,30.4937511950827
E02,456.588832520228,911.275795048765,17.0502092050209,57.7052837829932
E03,278.513915713266,742.429257169463,9.31825967797191,33.2690946580796
E04,246.517752076623,423.478815293942,4.91894913359419,26.7721942087557
E05,267.134367086542,699.972369446039,5.59796437659033,26.7099972927503
E06,292.50894950854,831.106780583753,8.13704496788008,28.6075533617763
E07,243.287599375019,830.718472342068,4.55717970765262,24.5521486777754
E08,276.488300029988,697.022961045985,7.54824063564132,27.7622516081776
E09,228.10621806835,584.440855184457,2.64817150063052,21.5969131220022
E10,475.63162112331,876.984049489827,8.89787664307381,30.8888409408047
E11,388.536288908216,1227.14872031095,23.728813559322,61.7231074545042
F02,355.566154990615,699.927097157641,8.69791666666667,33.8318765549178
F03,202.669255747065,696.327389992066,4.42546583850932,26.6240505602932
F04,344.662072072548,804.002543597678,6.64403491755577,25.6278710870703
F05,222.13708691689,687.889045174563,7.95401220084467,29.9628494460547
F06,291.65271660641,1123.90446357696,7.76426566884939,27.048286210096
F07,472.286247329696,1086.36598008364,14.4820295983087,45.1401221352164
F08,277.811556956093,658.275978412773,6.96140693698095,28.3819443860349
F09,419.876184867997,1024.02749067888,7.75193798449612,28.29269768992
F10,756.391893782281,1276.0802378385,16.6666666666667,21.2536962880114
F11,247.984804733516,879.346278005679,4.95956873315364,21.9854989133897
G02,392.627685790025,904.972071153411,9.64849354375897,34.5599831760853
G03,283.66517084271,569.251955727657,10.4964001515726,35.3949229664934
G04,328.167889143358,818.906984910572,5.06622516556291,26.4826101328475
G05,360.613026213225,906.621077779369,5.64117476010468,26.5054583015281
G06,222.37442323016,901.764380641345,7.86537406255716,28.5118719266068
G07,351.59222674969,725.865082895003,3.97877984084881,21.884107695362
G08,345.888530065646,937.98374814895,9.89922940130409,32.5648046287774
G09,263.93629217355,730.519905339308,9.36160076226775,31.2143406598385
G10,392.843902486508,911.144577836199,12.2336227308603,36.0601779845784
G11,316.663169935324,704.74946897469,13.7979750412056,44.3259242096884
