DB_Object_Symbol,GO_ID
Actb,GO:0000079
Actb,GO:0000166
Actb,GO:0001725
Actb,GO:0002102
Actb,GO:0005515
Actb,GO:0005515
Actb,GO:0005515
Actb,GO:0005515
Actb,GO:0005515
Actb,GO:0005515
Actb,GO:0005515
Actb,GO:0005515
Actb,GO:0005524
Actb,GO:0005634
Actb,GO:0005737
Actb,GO:0005737
Actb,GO:0005829
Actb,GO:0005829
Actb,GO:0005856
Actb,GO:0005856
Actb,GO:0005856
Actb,GO:0007409
Actb,GO:0014069
Actb,GO:0015629
Actb,GO:0019894
Actb,GO:0019901
Actb,GO:0019901
Actb,GO:0022898
Actb,GO:0022898
Actb,GO:0030424
Actb,GO:0030863
Actb,GO:0030957
Actb,GO:0032091
Actb,GO:0032991
Actb,GO:0032991
Actb,GO:0035267
Actb,GO:0036464
Actb,GO:0042802
Actb,GO:0043209
Actb,GO:0044305
Actb,GO:0044305
Actb,GO:0044305
Actb,GO:0045121
Actb,GO:0048488
Actb,GO:0048488
Actb,GO:0048488
Actb,GO:0048488
Actb,GO:0048488
Actb,GO:0048488
Actb,GO:0048488
Actb,GO:0048488
Actb,GO:0048488
Actb,GO:0048870
Actb,GO:0050998
Actb,GO:0051621
Actb,GO:0051621
Actb,GO:0071257
Actb,GO:0072749
Actb,GO:0098685
Actb,GO:0098685
Actb,GO:0098685
Actb,GO:0098871
Actb,GO:0098973
Actb,GO:0098974
Actb,GO:0098978
Actb,GO:1903076
Actb,GO:1904030
Actb,GO:1990904
Actl6a,GO:0001825
Actl6a,GO:0003682
Actl6a,GO:0005515
Actl6a,GO:0005634
Actl6a,GO:0005634
Actl6a,GO:0005654
Actl6a,GO:0005886
Actl6a,GO:0006281
Actl6a,GO:0006310
Actl6a,GO:0006325
Actl6a,GO:0006338
Actl6a,GO:0006338
Actl6a,GO:0006974
Actl6a,GO:0007399
Actl6a,GO:0016514
Actl6a,GO:0031011
Actl6a,GO:0035267
Actl6a,GO:0040008
Actl6a,GO:0043967
Actl6a,GO:0043968
Actl6a,GO:0071564
Actl6a,GO:0071564
Actl6a,GO:0071564
Actl6b,GO:0005515
Actl6b,GO:0005515
Actl6b,GO:0005634
Actl6b,GO:0005634
Actl6b,GO:0005730
Actl6b,GO:0006325
Actl6b,GO:0006333
Actl6b,GO:0006338
Actl6b,GO:0007399
Actl6b,GO:0007399
Actl6b,GO:0016514
Actl6b,GO:0016514
Actl6b,GO:0071565
Actl6b,GO:0071565
Aff1,GO:0003700
Aff1,GO:0005634
Aff1,GO:0006351
Aff1,GO:0008023
Aff1,GO:0045893
Aff4,GO:0001650
Aff4,GO:0005515
Aff4,GO:0005634
Aff4,GO:0005634
Aff4,GO:0007286
Aff4,GO:0008023
Aff4,GO:0035327
Arid1a,GO:0000122
Arid1a,GO:0000790
Arid1a,GO:0000790
Arid1a,GO:0001704
Arid1a,GO:0001843
Arid1a,GO:0003205
Arid1a,GO:0003408
Arid1a,GO:0003677
Arid1a,GO:0005515
Arid1a,GO:0005515
Arid1a,GO:0005515
Arid1a,GO:0005515
Arid1a,GO:0005515
Arid1a,GO:0005634
Arid1a,GO:0005654
Arid1a,GO:0006325
Arid1a,GO:0006337
Arid1a,GO:0006338
Arid1a,GO:0006338
Arid1a,GO:0006344
Arid1a,GO:0007369
Arid1a,GO:0007399
Arid1a,GO:0007566
Arid1a,GO:0016514
Arid1a,GO:0016514
Arid1a,GO:0016514
Arid1a,GO:0016922
Arid1a,GO:0019827
Arid1a,GO:0030520
Arid1a,GO:0030521
Arid1a,GO:0030900
Arid1a,GO:0031491
Arid1a,GO:0042921
Arid1a,GO:0043044
Arid1a,GO:0045893
Arid1a,GO:0055007
Arid1a,GO:0060674
Arid1a,GO:0071564
Arid1a,GO:0071565
Arid1a,GO:1901998
Arid1b,GO:0003677
Arid1b,GO:0003677
Arid1b,GO:0005515
Arid1b,GO:0005515
Arid1b,GO:0005634
Arid1b,GO:0005634
Arid1b,GO:0005654
Arid1b,GO:0005737
Arid1b,GO:0005829
Arid1b,GO:0005886
Arid1b,GO:0006325
Arid1b,GO:0006338
Arid1b,GO:0007270
Arid1b,GO:0007399
Arid1b,GO:0016514
Arid1b,GO:0060996
Arid1b,GO:0071565
Arid1b,GO:0097026
Arid1b,GO:0097026
Arid2,GO:0003007
Arid2,GO:0003676
Arid2,GO:0003677
Arid2,GO:0003677
Arid2,GO:0005634
Arid2,GO:0005654
Arid2,GO:0005667
Arid2,GO:0005886
Arid2,GO:0006325
Arid2,GO:0006337
Arid2,GO:0006355
Arid2,GO:0008134
Arid2,GO:0008285
Arid2,GO:0030336
Arid2,GO:0042592
Arid2,GO:0045944
Arid2,GO:0046872
Arid2,GO:0048568
Arid2,GO:0060038
Arid2,GO:0060982
Arid2,GO:0072358
Ash1l,GO:0001501
Ash1l,GO:0002674
Ash1l,GO:0003677
Ash1l,GO:0003682
Ash1l,GO:0005634
Ash1l,GO:0005634
Ash1l,GO:0005654
Ash1l,GO:0005694
Ash1l,GO:0005794
Ash1l,GO:0005923
Ash1l,GO:0006325
Ash1l,GO:0007338
Ash1l,GO:0007338
Ash1l,GO:0008168
Ash1l,GO:0009791
Ash1l,GO:0010468
Ash1l,GO:0016740
Ash1l,GO:0018024
Ash1l,GO:0018024
Ash1l,GO:0030054
Ash1l,GO:0030317
Ash1l,GO:0032259
Ash1l,GO:0032635
Ash1l,GO:0042800
Ash1l,GO:0043124
Ash1l,GO:0043409
Ash1l,GO:0045944
Ash1l,GO:0046697
Ash1l,GO:0046872
Ash1l,GO:0046974
Ash1l,GO:0046975
Ash1l,GO:0048733
Ash1l,GO:0050728
Ash1l,GO:0051568
Ash1l,GO:0061038
Ash1l,GO:0097676
Ash1l,GO:1903699
Ash1l,GO:1903709
Ash2l,GO:0003677
Ash2l,GO:0005515
Ash2l,GO:0005515
Ash2l,GO:0005515
Ash2l,GO:0005515
Ash2l,GO:0005515
Ash2l,GO:0005515
Ash2l,GO:0005515
Ash2l,GO:0005515
Ash2l,GO:0005634
Ash2l,GO:0005634
Ash2l,GO:0005719
Ash2l,GO:0006325
Ash2l,GO:0006974
Ash2l,GO:0008013
Ash2l,GO:0008284
Ash2l,GO:0035097
Ash2l,GO:0035097
Ash2l,GO:0035097
Ash2l,GO:0042800
Ash2l,GO:0042800
Ash2l,GO:0043627
Ash2l,GO:0044212
Ash2l,GO:0044666
Ash2l,GO:0045944
Ash2l,GO:0046872
Ash2l,GO:0048096
Ash2l,GO:0048188
Ash2l,GO:0051568
Ash2l,GO:0051568
Ash2l,GO:0071339
Ash2l,GO:1990188
Asxl1,GO:0000902
Asxl1,GO:0003007
Asxl1,GO:0003677
Asxl1,GO:0003713
Asxl1,GO:0005515
Asxl1,GO:0005515
Asxl1,GO:0005634
Asxl1,GO:0006325
Asxl1,GO:0006351
Asxl1,GO:0006355
Asxl1,GO:0009887
Asxl1,GO:0030097
Asxl1,GO:0032526
Asxl1,GO:0035359
Asxl1,GO:0035517
Asxl1,GO:0035522
Asxl1,GO:0042974
Asxl1,GO:0042975
Asxl1,GO:0045599
Asxl1,GO:0045944
Asxl1,GO:0046872
Asxl1,GO:0048386
Asxl1,GO:0048534
Asxl1,GO:0048538
Asxl1,GO:0048539
Asxl1,GO:0048872
Asxl1,GO:0060348
Asxl1,GO:0060430
Asxl2,GO:0000122
Asxl2,GO:0000790
Asxl2,GO:0003007
Asxl2,GO:0003677
Asxl2,GO:0005634
Asxl2,GO:0005654
Asxl2,GO:0006351
Asxl2,GO:0006355
Asxl2,GO:0007507
Asxl2,GO:0007512
Asxl2,GO:0035360
Asxl2,GO:0042975
Asxl2,GO:0045600
Asxl2,GO:0045672
Asxl2,GO:0045944
Asxl2,GO:0046872
Asxl2,GO:0048704
Asxl2,GO:1900159
Asxl2,GO:1902466
Asxl3,GO:0003677
Asxl3,GO:0006351
Asxl3,GO:0006355
Asxl3,GO:0046872
Atad2,GO:0000166
Atad2,GO:0005515
Atad2,GO:0005524
Atad2,GO:0005524
Atad2,GO:0005654
Atad2,GO:0006325
Atad2,GO:0006355
Atad2,GO:0016787
Atad2,GO:0016887
Atad2,GO:0045893
Atad2b,GO:0005634
Atad2b,GO:0005654
Atad2b,GO:0070577
Atm,GO:0000077
Atm,GO:0000166
Atm,GO:0000724
Atm,GO:0000781
Atm,GO:0001541
Atm,GO:0001666
Atm,GO:0001756
Atm,GO:0002331
Atm,GO:0002376
Atm,GO:0002377
Atm,GO:0003677
Atm,GO:0004672
Atm,GO:0004672
Atm,GO:0004672
Atm,GO:0004674
Atm,GO:0004677
Atm,GO:0005515
Atm,GO:0005524
Atm,GO:0005634
Atm,GO:0005634
Atm,GO:0005634
Atm,GO:0005730
Atm,GO:0005737
Atm,GO:0005819
Atm,GO:0006281
Atm,GO:0006281
Atm,GO:0006281
Atm,GO:0006468
Atm,GO:0006468
Atm,GO:0006974
Atm,GO:0006974
Atm,GO:0006974
Atm,GO:0006974
Atm,GO:0006974
Atm,GO:0006975
Atm,GO:0007049
Atm,GO:0007050
Atm,GO:0007094
Atm,GO:0007140
Atm,GO:0007143
Atm,GO:0007292
Atm,GO:0007420
Atm,GO:0007507
Atm,GO:0008340
Atm,GO:0008585
Atm,GO:0008630
Atm,GO:0008630
Atm,GO:0008630
Atm,GO:0009791
Atm,GO:0010212
Atm,GO:0010212
Atm,GO:0010212
Atm,GO:0010506
Atm,GO:0010506
Atm,GO:0010628
Atm,GO:0016301
Atm,GO:0016301
Atm,GO:0016303
Atm,GO:0016310
Atm,GO:0016572
Atm,GO:0016740
Atm,GO:0018105
Atm,GO:0030335
Atm,GO:0030889
Atm,GO:0031410
Atm,GO:0032210
Atm,GO:0032212
Atm,GO:0033129
Atm,GO:0033151
Atm,GO:0035264
Atm,GO:0036289
Atm,GO:0042159
Atm,GO:0043065
Atm,GO:0043517
Atm,GO:0043525
Atm,GO:0043525
Atm,GO:0043525
Atm,GO:0044877
Atm,GO:0045141
Atm,GO:0045785
Atm,GO:0045944
Atm,GO:0046777
Atm,GO:0046983
Atm,GO:0047485
Atm,GO:0048538
Atm,GO:0048599
Atm,GO:0051402
Atm,GO:0051726
Atm,GO:0070192
Atm,GO:0071044
Atm,GO:0071300
Atm,GO:0071480
Atm,GO:0071481
Atm,GO:0071500
