Well,shRNA,Amet+CXCR3+ as % of Amet+,Amet+CD103+ as % of Amet+,GeoMean PE-Cy7-A of Amet+_CXCR3_CD127,GeoMean APC-A of Amet+_CD103,GeoMean PerCP-Cy5-5-A of Amet+_CD25,Amet+CD62L+ as % of Amet+,GeoMean Alexa 700-A of Amet+_CD44,GeoMean PE-A of Amet+_CD127
B02,Nap1l2.1,97.37991266,49.9272198,8312.359464,293.1256341,339.5614329,24.01746725,2138.006037,1356.388715
B03,Padi1.1,98.07497467,50.35460993,9764.678644,342.0727755,111.5310965,29.68591692,1681.286777,1299.824952
B04,Padi4.1,96.42857143,41.86507937,7321.064271,189.6908521,254.9989501,30.15873016,1428.859614,795.5554994
B05,Orc1.1,98.79275654,58.55130785,10593.77472,543.6138147,297.5269137,31.69014085,2290.898521,1282.907524
B06,Ncoa1.1,99.05397885,58.04117974,10193.86185,456.4569292,206.8016758,24.81914302,2277.75908,1409.943399
B07,Pcgf1.1,98.97372742,56.23973727,11147.75052,388.9172553,139.9337252,20.73070608,2070.197465,1271.941384
B08,Parp1.1,98.55491329,61.79190751,8729.733468,541.4884911,129.4463564,26.3583815,1900.313719,1304.470285
B09,Ncor2.1,98.40525328,49.81238274,8593.565465,276.0165806,243.6929872,27.67354597,2094.004763,1375.171556
B10,Nap1l3.1,100,59.64912281,7460.825201,442.0129125,199.1450102,35.0877193,1853.919035,1108.875335
B11,Paxip1.1,98.54492543,59.76718807,9280.088456,533.1258362,127.3986396,26.99163332,1588.68295,1040.900165
C02,Parp1.2,98.24561404,63.74269006,9881.94924,589.2942821,209.50452,24.85380117,1904.376027,1357.171135
C03,Ncoa3.1,98.6381323,57.19844358,8887.751511,409.8391716,377.0193016,39.49416342,2194.422635,1407.057286
C04,Nap1l2.2,99.0430622,78.46889952,14411.92995,1449.659055,244.8787072,36.84210526,2289.934048,1741.003926
C05,Paxip1.2,98.49892781,60.54324518,9127.121615,560.8109672,202.3312316,31.66547534,1596.128386,1423.33934
C06,Padi6.1,99.19517103,57.14285714,9041.364459,387.8651996,140.1294336,27.7665996,1994.744536,1494.692815
C07,Padi4.2,98.14061592,66.93782684,8484.033737,784.2590939,209.6706904,32.65543289,2065.186609,1576.701698
C08,Ncoa1.2,98.99068323,63.6257764,9038.172798,747.2838205,99.97188143,27.95031056,2065.528321,1012.257832
C09,Pbrm1.1,95.38850284,52.116235,6647.040871,388.0017069,253.9612621,34.80732786,1881.741845,1549.556582
C10,Padi1.2,97.58064516,54.7311828,7419.473798,361.1851224,181.393941,31.34408602,1876.132791,1362.525049
C11,Nsd1.1,98.58630952,63.83928571,10035.94632,644.035067,241.259237,25.22321429,2081.941594,1548.831748
D02,Nap1l3.2,98.13293503,55.86258402,8730.778519,437.9884982,264.4671847,32.48693055,2163.978719,1091.00365
D03,Pbrm1.2,98.68319132,58.55925639,8697.544268,445.9368538,211.5959957,31.75832688,1931.503038,1390.065441
D04,Padi1.3,98.35119538,57.54328112,8876.828212,417.610398,178.8315122,23.41302556,2046.499606,1723.358204
D05,Ncor1.1,94.90022173,43.68070953,6716.351304,223.6252727,483.7962299,30.59866962,1894.443347,1075.377322
D06,Ncoa3.2,98.49537037,53.24074074,10254.36707,304.6231806,148.6246443,23.95833333,2366.96839,1350.168119
D07,Pbrm1.3,97.07371975,58.35678109,7064.414741,477.6092748,212.2651398,31.45751266,1930.236134,1438.698792
D08,Padi6.2,95.98352214,64.26364573,6667.031555,635.7671649,214.3677633,33.98558187,2000.707969,1627.105409
D09,Ncor2.2,97.89335089,62.40947992,7731.046802,587.4869688,274.450349,34.82554312,1885.024383,1186.437828
D10,Nap1l2.3,95.99198397,68.13627255,7456.592841,867.4557004,228.4079525,26.85370741,2117.061545,1443.640049
D11,Pcgf1.2,98.79350348,51.18329466,11373.51506,288.5618405,129.8754886,19.6287703,1802.257042,1209.939606
E02,Nsd1.2,97.97525309,55.79302587,7927.347707,391.4194552,480.0778256,30.03374578,2008.208524,1275.197159
E03,Orc1.2,98.07692308,57.7724359,9060.156939,460.9636115,343.2354552,34.21474359,1912.78427,1264.134994
E04,Nap1l2.4,98.25815096,57.70433229,9565.010155,457.6686695,199.0314694,32.11255025,2103.16447,1537.466956
E05,Parp1.3,97.71929825,59.60526316,7873.284822,542.673381,224.6426791,25.30701754,1983.047021,1322.880673
E06,Padi4.3,98.26478149,63.68894602,8423.30083,635.1306293,224.6909003,35.28277635,2007.478162,1502.440301
E07,Ncor1.2,100,71.42857143,8859.284436,687.5859018,608.969954,57.14285714,1688.127236,1670.277848
E08,Nap1l3.3,98.25742574,56.75247525,8128.823987,441.4174356,197.5248902,27.8019802,1791.197855,1204.593738
E09,Paxip1.3,98.58823529,65.41176471,10901.31268,687.7025657,264.3177764,39.17647059,2469.812627,1497.222695
E10,Padi6.3,98.14995131,60.5647517,8387.045034,498.7242073,171.9429902,33.69036027,2126.051719,1689.835395
E11,Ncor2.3,97.12579321,51.21313923,7744.375855,322.7183383,322.169979,28.03284808,2513.989979,1310.848197
F02,Ncoa1.3,98.17729909,39.10521955,9387.267498,129.1944085,201.8152904,36.70256835,1920.116201,1314.291164
F03,Pcgf1.3,98.55233853,47.55011136,10200.54075,237.5505749,137.0199718,20.99109131,2006.489476,1570.991649
F04,Padi4.4,97.51655629,58.38852097,8321.395905,471.2668826,151.0915504,32.89183223,2135.462341,1514.068447
