Well,shRNA,Amet+CXCR3+ as % of Amet+,Amet+CD103+ as % of Amet+,GeoMean PE-Cy7-A - CXCR3 of Amet+,GeoMean APC-A - CD103 of Amet+,GeoMean PerCP-Cy5-5-A - CD25 of Amet+,Amet+CD62L+ as % of Amet+,GeoMean Alexa 700-A - CD44 of Amet+,GeoMean PE-A - CD127 of Amet+
B02,Bptf.1,97.1106413,45.45454545,8172.912377,207.133158,72.55507857,40.31007752,2652.467813,1412.885266
B03,Bptf.2,98.22695035,59.04255319,9000.947897,585.526717,158.0839231,44.68085106,2493.077075,1136.009128
B04,Bptf.3,98.02136921,62.01028888,9976.799822,647.1069869,186.1442071,18.87613771,2819.577068,1440.653759
B05,Bptf.4,98.3968542,59.86085904,10406.54823,550.9449048,126.0680337,35.96491228,2628.78029,1397.384757
B06,Whsc1.1,98.25174825,62.55244755,10552.49879,634.8324009,181.0625884,31.81818182,2740.624988,1185.673496
B07,Whsc1.2,96.76048858,61.39139671,7846.110476,569.5034445,185.5110329,35.10355815,2305.888051,1169.621203
B08,Whsc1.3,98.45938375,62.51167134,9080.747764,688.0874028,212.4123346,32.30625584,2202.606496,1049.004394
B09,Whsc1.4,98.63448714,57.76436964,10212.39581,564.6607545,209.5090157,34.10606542,2307.663183,1141.308523
B10,shCd4.1,98.58728557,63.21897074,9442.061049,705.8807646,181.5435847,32.79515641,2425.921715,1182.914629
B11,shCd4.1,99.28952043,57.37122558,10562.79545,468.863285,183.2773478,36.23445826,2410.277951,1124.046937
C02,mll2.1,76.28040973,61.9078105,1740.261071,656.0313479,458.9437927,44.46222791,2124.010754,1327.087836
C03,mll2.2,53.39966833,61.96793809,347.8709035,685.8907729,688.1543903,45.43946932,2195.885867,1187.463112
C04,mll2.3,95.4572624,77.94381351,6583.869479,1350.420338,186.8175793,27.73460849,2308.254985,1403.060176
C05,mll2.4,91.53166421,52.9455081,5109.198054,397.4594906,445.8158921,43.59351988,2713.551741,998.8046672
C06,Brd8.1,99.45909398,67.34279919,13455.58553,845.6677242,115.339899,40.70317782,2440.597338,1407.195179
C07,Brd8.2,97.593361,61.90871369,8371.501985,631.7448214,235.3128546,38.46473029,2495.027735,1179.335223
C08,Brd8.3,98.11165846,68.3908046,9809.482071,885.2630378,95.55489747,44.08866995,2352.892951,1381.746754
C09,Brd8.4,98.79685331,59.74086071,10526.76654,552.5078367,130.158724,35.16890329,2146.249387,1307.62648
C10,shCd4.2,97.94103884,70.00467946,8548.288064,978.0985899,144.2801803,42.77023865,2003.10017,1430.072629
C11,shCd4.2,98.90310786,66.54478976,8707.104284,693.8493455,200.0252752,46.25228519,1808.418525,1448.97501
D02,Ncor1.1,94.25287356,34.78927203,7242.407138,149.4588596,541.799185,47.66283525,2375.187262,832.9297097
D03,Ncor1.2,100,15.38461538,5685.420089,31.89581932,458.3371167,92.30769231,1199.89347,806.0802264
D04,Ncor1.3,96.69811321,41.37466307,7256.570295,217.9618621,715.6616983,43.93530997,3091.673165,944.1074771
D05,Ncor1.4,98.60191317,44.00294334,11499.62747,218.2119284,318.7545124,42.89919058,2159.416601,939.0501989
D06,Cxxcl.1,97.34561213,65.60130011,7777.577601,824.2244708,132.477877,33.36944745,1940.109466,1137.758237
D07,Cxxcl.2,98.30927835,82.43298969,8951.981534,1855.723549,99.26181814,37.73195876,2254.253384,1107.999912
D08,Cxxcl.3,96.38381668,67.27533119,6141.183527,893.8930682,166.2411783,40.52989617,2005.160831,1096.143516
D09,Cxxcl.4,95.18664047,67.33791749,5263.697494,1029.345045,186.349235,29.81335953,1823.579663,698.2193645
D10,shCd4.3,98.97588371,63.16484969,9382.045651,692.8876464,208.1896177,40.73339941,2313.833931,1369.332947
D11,shCd4.3,98.8258317,55.3816047,7565.316878,445.0514733,213.0198031,41.38943249,2050.510667,1121.377472
E02,Smarca4.1,98.25870647,43.69817579,10776.21526,201.0278285,148.7460279,27.69485904,1810.867605,948.8698701
E03,Smarca4.2,98,42.66666667,9326.785194,237.5920653,299.1548076,27.6,1672.407701,744.2054555
E04,Smarca4.3,97.256386,52.79091769,8413.361565,423.3971301,237.1667901,35.28855251,1942.63961,963.4981484
E05,Smarca4.4,98.84823848,58.1300813,10532.98421,516.6389102,175.0490612,35.29810298,2217.009951,1166.641201
E06,Klf2.1,99.09677419,60,12818.02097,598.1075306,139.6283618,30.23655914,2642.879892,1129.556254
E07,Klf2.2,98.58532272,65.42882405,13269.62879,769.2942771,93.00059646,35.80901857,2549.568052,1381.816579
E08,Klf2.3,99.05040175,61.43170197,12451.89033,606.3704507,152.9908387,36.88823959,2645.696318,1396.252474
E09,Klf2.4,98.92224788,73.44110855,15951.08165,1228.508597,89.96779809,33.33333333,2416.828519,854.5505673
E10,shCd4.4,98.53539463,63.54759967,8771.369287,798.557601,435.435692,38.97477624,2564.479283,1134.973191
E11,shCd4.4,98.07692308,54.7008547,6678.768345,484.4148827,288.058061,38.46153846,1972.005262,808.7054074
F02,Runx3.1,99.09142533,28.44974446,12147.14227,67.00221549,118.4908935,50.25553663,1612.618632,1287.180861
F03,Runx3.2,99.10761155,32.07349081,10271.29128,75.2176545,228.1323269,41.25984252,2204.971903,1739.076492
F04,Runx3.3,99.31506849,27.31164384,11789.67994,54.76785444,299.5594439,47.00342466,2242.999763,1272.13287
F05,empty,100,28.57142857,10820.85856,734.4407288,93.56214955,57.14285714,3147.611077,2563.521196
F06,Sp140.1,97.52275025,56.52173913,8693.638857,454.5007979,203.4575683,31.39534884,2304.693237,1297.052755
F07,Sp140.2,97.52667313,60.57225994,8459.464838,621.2390276,224.0966918,39.03976722,2135.23012,901.678112
F08,Sp140.3,98.94583788,52.74445656,10632.83709,389.1898972,184.7854806,29.33478735,2266.91516,905.0195456
F09,Sp140.4,98.47434119,69.83356449,11114.25113,914.4763525,91.23300969,29.95839112,2085.605988,1477.755913
F10,empty,100,29.41176471,10225.40889,81.20448323,196.559862,41.17647059,1438.470732,685.4696829
F11,empty,100,66.66666667,4234.478602,1887.225485,197.316279,100,2275.550027,2754.857329
G02,Smarce1.1,97.66877125,55.85235551,8073.601992,495.1310077,187.6776444,36.86255464,1970.123914,994.2228742
G03,Smarce1.2,91.31545338,52.7458493,4583.425923,356.1658348,938.5441026,36.22818221,1703.70605,753.0331054
G04,Smarce1.3,89.94643593,52.98722703,3988.275329,382.5259438,1023.796033,37.49484961,1699.184238,833.5960883
G05,Smarce1.4,97.12889432,56.07819181,7572.148798,418.4893618,215.8447802,38.05742211,1565.524714,1013.088819
G06,Wdr82.1,93.04874531,53.90827805,3729.666967,578.000269,317.9972192,19.72887222,2034.994424,607.086757
G07,Wdr82.2,94.22723695,54.36893204,4176.14401,597.9027825,281.5861945,19.12883758,2120.012487,599.9186682
G08,Wdr82.3,92.6686217,51.31964809,4218.123965,528.3578075,221.7635309,19.90876507,2093.88079,629.0957973
G09,Wdr82.4,90.20935961,48.15270936,3415.611123,423.5912454,489.5613054,20.25862069,2164.471922,507.355615
G10,empty,83.33333333,25,1087.255986,220.1981003,550.9146091,58.33333333,2028.296375,314.2023923
G11,empty,80,20,2472.218375,192.4649753,241.9690611,60,794.0298053,915.2398592
