,,Experiment: 10 U panel 1,Analysis: Analysis 2,User: Admin,Plate: 14,Plate Type: 96 Well,Plate Order: Row,Export Date: 4/21/2015,Export Time: 10:13:05 AM,,,,,,,,,,,,,,,,,,,,,,,,
,,Well ID,Well Type,Amet+CXCR3+ as % of Amet+,Amet+GFP+CXCR3+ as % of Amet+GFP+,GFP+CXCR3+ as % of GFP+,Amet+CD103+ as % of Amet+,Amet+GFP+CD103+ as % of Amet+GFP+,GFP+CD103+ as % of GFP+,GeoMean PE-Cy7-A of Amet+,GeoMean PE-Cy7-A of Amet+GFP+,GeoMean PE-Cy7-A of GFP+,GeoMean APC-A of Amet+,GeoMean APC-A of Amet+GFP+,GeoMean APC-A of GFP+,GeoMean PerCP-Cy5-5-A of Amet+,GeoMean PerCP-Cy5-5-A of Amet+GFP+,GeoMean PerCP-Cy5-5-A of GFP+,Amet+CD62L+ as % of Amet+,Amet+GFP+CD62L+ as % of Amet+GFP+,GFP+CD62L+ as % of GFP+,GeoMean Alexa 700-A of Amet+,GeoMean Alexa 700-A of Amet+GFP+,GeoMean Alexa 700-A of GFP+,GeoMean PE-A of Amet+,GeoMean PE-A of Amet+GFP+,GeoMean PE-A of GFP+,Count of live cells,Count of singlets,Count of Amet+,Count of Amet+GFP+,Count of GFP+,Count of Region Set 1 UR
C05,Rnf20.2,C05,Sample,96.68530351,65.24137931,69.72860125,49.12140575,37.93103448,31.94154489,7081.682724,1384.579492,1864.624666,335.7038156,202.6525205,140.1364055,922.6479003,919.0352116,1431.27088,37.61980831,41.03448276,39.03966597,1187.071036,907.3618926,960.1058828,1015.224524,368.0691304,303.0449063,12229,9203,2504,1450,479,6552
C06,Rbbp7.1,C06,Sample,98.43937575,70.59294872,62.84829721,62.60504202,40.54487179,39.31888545,8809.626837,2124.482696,1713.489769,512.9250366,203.2322475,257.2936363,1018.88139,1027.352925,1097.518028,32.4729892,36.37820513,37.15170279,1483.360307,1138.153004,1129.909431,1427.687423,565.2876255,483.7147926,8891,6250,1666,1248,323,4943
C07,Rbbp5.2,C07,Sample,96.56209712,71.06724244,71.19205298,56.1237645,39.60518199,35.43046358,7726.870792,2002.319386,1896.490967,405.2365123,195.8868607,172.8794715,1347.223709,1771.987458,821.502479,30.16759777,36.02714374,39.07284768,1451.461026,1244.589634,897.9756285,1054.043612,419.63858,263.5834694,10990,7769,2327,1621,302,5759
C08,Prmt3.2,C08,Sample,97.18820862,68.30044558,57.03971119,55.60090703,35.45512412,29.24187726,9228.041881,1764.442662,1032.423654,370.8402238,175.1383513,114.9730044,1141.310041,1450.956343,1135.720119,36.55328798,40.67472947,39.35018051,1598.011681,1130.401643,1044.519594,1145.758674,357.9932907,279.8333119,9812,7021,2205,1571,277,5085
C09,Rnf217.1,C09,Sample,98.4863774,71.12068966,66.82170543,61.15035318,38.0387931,33.17829457,11781.61125,2160.637033,1466.271412,455.783389,182.1242628,135.44564,1210.887221,1429.014733,1306.60275,31.78607467,34.9137931,33.48837209,1746.123669,1367.349246,1178.600792,1383.750673,551.295176,383.7366517,9443,6488,991,928,645,4963
C10,Rbbp4.2,C10,Sample,99.21962096,79.57839262,77.03488372,60.2006689,47.56258235,36.48255814,11165.97677,2980.809417,2051.916611,458.6232341,335.5722006,163.682865,1150.670683,1536.398109,1591.741984,25.4180602,29.11725955,32.12209302,1706.544791,1443.318261,1195.613788,1138.339528,454.3615292,239.0683407,10352,6921,897,759,688,5100
C11,Prmt8.1,C11,Sample,98.60383944,75.22123894,73.85892116,59.5113438,40.7079646,35.54633472,10262.60432,2395.994686,1949.590615,442.0024226,194.2944175,145.8137199,848.0445184,938.5549232,1012.72181,27.39965096,31.85840708,32.36514523,1376.758623,1130.276037,1139.006984,964.0804401,556.2270207,374.8123291,8563,6041,573,452,723,4516
D02,Prmt2.2,D02,Sample,97.82003711,69.35361217,69.76047904,63.17254174,48.28897338,41.01796407,7472.957003,1599.301096,2092.31443,588.8469401,403.5249513,256.983504,916.1858144,1452.890244,1101.77155,46.84601113,46.23574144,44.01197605,1285.564264,1218.741492,1008.08453,1442.347672,391.0447638,354.571923,12172,8761,2156,1315,334,5918
D03,Rnf217.2,D03,Sample,98.48357203,74.12518482,69.81981982,60.90985678,44.50468211,34.90990991,10034.02529,2254.318064,1571.850564,507.9052499,274.4332538,163.1663052,778.8431833,869.4416759,783.3183416,38.12131424,43.61754559,39.18918919,1628.679456,1247.082623,984.2996218,1032.77505,273.1713516,189.9975806,14418,10071,2374,2029,444,6717
D04,Rbbp4.3,D04,Sample,97.49478079,62.58000985,72.8021978,64.66597077,41.50664697,50.82417582,9048.639988,1125.40853,1795.357351,621.4382176,218.0258987,315.8106917,1103.476151,2465.120676,931.3094972,36.89979123,42.78680453,39.83516484,2138.330489,1627.131346,1333.56294,1374.70885,425.3385822,275.7489211,12601,8654,1916,2031,364,5685
D05,Prmt6.1,D05,Sample,99.14977109,70.10380623,66.66666667,59.58142577,42.21453287,33.89830508,9829.583173,1850.077148,1503.272967,472.776337,227.2959509,161.7648692,887.4510368,1098.141637,983.7346951,47.67822106,44.15224913,48.02259887,1701.777684,1191.484626,1127.620954,1282.176106,379.6068309,329.8934682,11772,8012,1529,1445,708,5549
D06,Prmt5.2,D06,Sample,96.73348181,70.99811676,61.875,53.67483296,36.53483992,29.375,8673.912357,2024.738094,1181.869624,360.9365425,170.1575846,183.4814296,702.8103245,924.9535387,970.4355694,42.01930215,40.48964218,44.375,1331.047134,1082.420213,1252.755914,1097.129966,518.1280378,409.221873,6548,4568,1347,1062,160,3069
