Well,shRNA,Amet+GFP+CXCR3+ as % of Amet+GFP+,Amet+GFP+CD103+ as % of Amet+GFP+,GeoMean PE-Cy7-A of Amet+GFP+_CXCR3_CD127,GeoMean APC-A of Amet+GFP+_CD103,GeoMean PerCP-Cy5-5-A of Amet+GFP+_CD25,Amet+GFP+CD62L+ as % of Amet+GFP+,GeoMean Alexa 700-A of Amet+GFP+_CD44,GeoMean PE-A of Amet+GFP+_CD127
B02,Nap1l2.1,68.18181818,34.33014354,1506.752358,188.4584565,512.8033763,27.27272727,1257.604695,466.7673032
B03,Padi1.1,75.11811024,44.72440945,2452.698212,339.099604,145.7247303,33.85826772,1208.500896,433.8329163
B04,Padi4.1,60.70460705,34.14634146,1452.144135,209.4726512,653.2175928,37.12737127,1203.134808,337.7373029
B05,Orc1.1,80.25276461,41.70616114,2940.385408,253.0634902,634.3965394,40.91627172,1946.464772,624.2623131
B06,Ncoa1.1,80.35555556,46.4,3419.982282,302.3010229,387.5208937,35.46666667,1732.046756,549.4746151
B07,Pcgf1.1,72.25031606,43.04677623,2181.918213,271.1127628,341.8390646,27.56005057,1475.532492,464.474299
B08,Parp1.1,72.84946237,41.4874552,2096.39826,245.6557384,369.8411114,31.81003584,1804.094267,521.4336523
B09,Ncor2.1,72.99578059,38.46694796,2104.834213,207.9025254,607.3185847,38.8185654,1645.498961,549.0285993
B10,Nap1l3.1,70,38.33333333,1333.103258,191.2354888,962.6517487,36.66666667,1300.938573,547.2518316
B11,Paxip1.1,69.99422966,45.23946913,2058.180034,306.963372,326.7706078,28.90940565,1358.184261,306.0429035
C02,Parp1.2,72.28070175,43.50877193,2176.711229,362.2438311,404.3403526,31.57894737,1804.040842,471.9692572
C03,Ncoa3.1,72.67605634,36.61971831,2188.489879,201.5635466,695.1853811,40.42253521,1868.723266,531.6730554
C04,Nap1l2.2,65.73426573,49.65034965,1636.777,408.5036803,482.4361398,36.36363636,2013.752624,512.6473339
C05,Paxip1.2,69.27129061,40.21071115,1868.12801,283.6920631,433.0146012,43.81035996,1170.837199,449.2762603
C06,Padi6.1,76.84729064,40.7635468,2398.741884,253.4482719,276.6731319,40.7635468,1536.934459,482.0741825
C07,Padi4.2,71.70311465,49.83432737,1994.404032,348.5149531,234.1584324,39.43008615,1638.985877,463.672959
C08,Ncoa1.2,74.14675768,38.77986348,2206.335356,255.6741836,224.545079,33.53242321,1505.495526,338.6003554
C09,Pbrm1.1,63.8250556,36.39733136,1212.502449,206.3715344,401.9805907,44.40326168,1670.001473,555.2607628
C10,Padi1.2,64.6978022,37.70604396,1425.758144,239.6909195,343.6634397,37.56868132,1534.081792,468.0187943
C11,Nsd1.1,77.24137931,47.20306513,2775.717433,325.3581036,385.5035908,37.16475096,1662.506575,559.108276
D02,Nap1l3.2,64.75995914,41.87946885,1385.222091,282.946271,506.6219369,39.73442288,1332.370277,410.2450481
D03,Pbrm1.2,70.63492063,44.44444444,1970.796193,293.223576,382.1724806,33.73015873,1504.478425,509.2901534
D04,Padi1.3,68.89714994,40.64436183,1808.570722,262.823885,337.0050854,35.06815366,1426.942143,542.7558519
D05,Ncor1.1,60.26785714,28.7202381,1103.240795,150.7830434,1096.381775,40.47619048,1807.368743,433.9715007
D06,Ncoa3.2,75.40856031,36.49805447,2599.170841,183.3486761,223.0995465,32.45136187,1638.547714,532.0644265
D07,Pbrm1.3,62.80193237,36.15136876,1172.474047,188.3148247,450.8478023,41.14331723,1530.171194,499.845693
D08,Padi6.2,69.56521739,47.23320158,1947.887576,298.1550782,501.278955,42.29249012,1720.649006,518.4857663
D09,Ncor2.2,73.08900524,44.71204188,2107.570602,300.7775279,594.171188,42.72251309,1611.550356,452.593488
D10,Nap1l2.3,71.72413793,58.62068966,2025.250075,605.8057127,301.0539109,38.62068966,1766.48784,610.5934309
D11,Pcgf1.2,71.17962466,35.92493298,2156.929922,193.2623836,230.0281269,31.36729223,1053.262115,355.8970103
E02,Nsd1.2,69.57928803,41.74757282,2053.518129,287.6304241,745.5030667,38.72707659,1777.058124,574.3526731
E03,Orc1.2,71.94719472,44.88448845,2036.341942,271.3029294,658.8261503,44.11441144,1508.621459,524.8584479
E04,Nap1l2.4,71.18512781,42.06041828,2205.549262,259.4812462,466.286306,36.32842758,1485.807181,488.684695
E05,Parp1.3,69.26328502,41.30434783,1657.567706,270.2808601,513.8065734,36.23188406,1637.048422,564.3922351
E06,Padi4.3,70.3030303,42.95454545,1883.891249,256.4614257,462.1250858,40.15151515,1796.738135,521.0048993
E07,Ncor1.2,80,80,2692.881855,1306.004183,802.3142953,80,2339.192227,493.6218488
E08,Nap1l3.3,66.1682243,35.60747664,1460.078234,212.036616,375.8353529,36.40186916,1319.518305,462.6758626
E09,Paxip1.3,69.16996047,38.04347826,1847.518143,251.3818189,625.8424933,47.6284585,1997.873995,437.7740899
E10,Padi6.3,71.24842371,42.49684741,1826.456006,304.3648131,429.7389145,41.9924338,1826.786814,574.4177429
E11,Ncor2.3,61.73245614,34.59429825,1229.417142,189.3314256,905.9869794,32.12719298,1905.055836,526.6155706
F02,Ncoa1.3,67.80258519,37.72032902,1738.190754,198.9199598,324.1513497,35.95769683,1225.303019,388.0427738
F03,Pcgf1.3,71.06084243,35.88143526,1989.923675,206.3402844,233.6585879,32.91731669,1210.112877,468.3092347
F04,Padi4.4,71.64502165,45.95959596,1926.106348,335.8313249,191.9580367,37.51803752,1415.387349,505.8951476
F05,Ncor1.3,61.4213198,25.38071066,1199.212942,103.5696035,1232.440053,48.83248731,1857.735601,450.7101174
F06,Ncoa3.3,71.0994075,31.73140224,1764.749185,154.523103,223.4333749,43.31797235,985.0828609,410.3956883
