,,Experiment: 10 U panel 1,Analysis: Analysis 2,User: Admin,Plate: control,Plate Type: 96 Well,Plate Order: Row,Export Date: 4/21/2015,Export Time: 10:18:01 AM,,,,,,,,,,,,,,,,,,,,,,,,
C05,mll2.4,C05,Sample,91.53166421,41.43081761,54.28336079,52.9455081,31.91823899,38.46787479,5109.198054,483.7142277,837.1176546,397.4594906,173.1795245,264.1305823,445.8158921,1404.872494,337.547247,43.59351988,40.40880503,40.44481054,2713.551741,2237.734063,1266.296515,998.8046672,296.3501587,216.7374516,18592,11615,1358,1272,1214,8459
C06,Brd8.1,C06,Sample,99.45909398,59.29487179,60.82677165,67.34279919,49.19871795,42.51968504,13455.58553,1332.537665,1586.882122,845.6677242,444.3110723,350.791635,115.339899,528.1173258,304.8353623,40.70317782,40.06410256,38.97637795,2440.597338,2201.128019,1604.242083,1407.195179,409.3891978,307.021634,11786,7642,1479,624,508,6198
C07,Brd8.2,C07,Sample,97.593361,58.03757829,58.75,61.90871369,45.09394572,43.33333333,8371.501985,1179.319229,1239.251707,631.7448214,322.1455763,306.4159483,235.3128546,875.4996964,375.1444592,38.46473029,39.59638135,45.69444444,2495.027735,1949.919237,1423.675456,1179.335223,434.1231655,255.0756052,17753,11475,2410,1437,720,9049
C08,Brd8.3,C08,Sample,98.11165846,69.97112608,55.67010309,68.3908046,53.51299326,33.2187858,9809.482071,1985.822145,1007.131771,885.2630378,515.3719743,168.8539131,95.55489747,254.1049248,659.8887204,44.08866995,40.13474495,42.95532646,2352.892951,1939.411457,1479.222882,1381.746754,401.5003455,250.1357749,14583,9177,1218,1039,873,6976
C09,Brd8.4,C09,Sample,98.79685331,66.24737945,56.94444444,59.74086071,46.68064291,40.79861111,10526.76654,1960.817563,1126.95431,552.5078367,372.91954,309.9279795,130.158724,472.9384413,414.5950144,35.16890329,37.87561146,40.97222222,2146.249387,1821.491289,1383.744366,1307.62648,475.4643478,241.9335606,15991,9938,2161,1431,576,7893
C10,shCd4.2,C10,Sample,97.94103884,67.22689076,56.05536332,70.00467946,52.33002292,34.42906574,8548.288064,1788.524989,1131.089903,978.0985899,516.823766,240.2823311,144.2801803,517.7498567,371.4397904,42.77023865,43.16271963,39.61937716,2003.10017,1347.341271,1442.983761,1430.072629,429.23851,267.0452329,16165,10236,2137,1309,578,8018
C11,shCd4.2,C11,Sample,98.90310786,98.40925524,98.71299871,66.54478976,71.14967462,52.76705277,8707.104284,11033.88101,9244.924251,693.8493455,995.2258458,354.0365976,200.0252752,225.7812248,209.5173908,46.25228519,43.45625452,39.25353925,1808.418525,2749.948436,2548.440737,1448.97501,1508.864075,953.105811,12352,7699,547,1383,777,6579
D02,Ncor1.1,D02,Sample,94.25287356,50.53254438,57.8820698,34.78927203,26.98224852,34.65703971,7242.407138,765.18326,1058.81454,149.4588596,125.3278486,213.5585952,541.799185,1956.895243,418.8113694,47.66283525,49.58579882,40.91456077,2375.187262,2109.293369,1338.797009,832.9297097,299.2224283,254.2013264,15801,10011,1305,845,831,7583
D03,Ncor1.2,D03,Sample,100,42.85714286,62.82258065,15.38461538,28.57142857,44.27419355,5685.420089,840.0625447,1391.635622,31.89581932,137.6293007,359.2542094,458.3371167,962.9624731,437.8364099,92.30769231,71.42857143,41.61290323,1199.89347,1262.125445,1596.165676,806.0802264,176.7675346,363.1898524,15135,9548,13,7,1240,7791
D04,Ncor1.3,D04,Sample,96.69811321,53.27963176,60.03649635,41.37466307,27.73302647,38.86861314,7256.570295,1019.306329,1238.537205,217.9618621,137.6154199,288.7190756,715.6616983,2014.220262,388.2247272,43.93530997,51.32336018,39.41605839,3091.673165,2305.036661,1340.327268,944.1074771,394.5220977,224.5301253,13905,8550,1484,869,548,6667
D05,Ncor1.4,D05,Sample,98.60191317,62.43154436,61.43250689,44.00294334,36.91128149,42.69972452,11499.62747,1600.230499,1410.310269,218.2119284,235.4870671,323.4570315,318.7545124,1096.012126,358.9571312,42.89919058,44.03066813,43.5261708,2159.416601,1828.86071,1336.054474,939.0501989,350.4154457,220.9919584,11561,6764,1359,913,363,5297
D06,Cxxcl.1,D06,Sample,97.34561213,65.6167979,59.65147453,65.60130011,48.29396325,39.14209115,7777.577601,1789.107751,1126.272586,824.2244708,489.0932153,267.6975978,132.477877,497.5339331,317.45553,33.36944745,37.70778653,43.29758713,1940.109466,1524.880638,1327.393473,1137.758237,370.4038481,193.3781099,16487,10189,1846,1143,746,7861
D07,Cxxcl.2,D07,Sample,98.30927835,79.27631579,61.55088853,82.43298969,65.13157895,36.51050081,8951.981534,3525.351387,1472.935858,1855.723549,1037.798503,237.7347821,99.26181814,232.7274075,364.9145783,37.73195876,38.9254386,44.74959612,2254.253384,1846.355329,1419.922074,1107.999912,377.8199221,222.29176,15914,10047,2425,912,619,8136
D08,Cxxcl.3,D08,Sample,96.38381668,67.39305892,62.69430052,67.27533119,49.79822437,34.36960276,6141.183527,1675.765378,1313.001011,893.8930682,527.7992921,251.6257155,166.2411783,431.625778,373.4970437,40.52989617,39.62873285,46.80483592,2005.160831,1595.434304,1260.209778,1096.143516,385.4271872,221.6195822,17425,11021,2793,1239,579,8422
D09,Cxxcl.4,D09,Sample,95.18664047,70.57902973,57.10455764,67.33791749,56.80751174,34.85254692,5263.697494,1862.105101,1155.987634,1029.345045,708.9165071,197.9435695,186.349235,444.0685137,558.7794153,29.81335953,33.02034429,48.25737265,1823.579663,1371.123459,1511.673385,698.2193645,335.2492886,263.4494014,12650,7785,2036,639,373,5871
D10,shCd4.3,D10,Sample,98.97588371,69.91795807,62.23021583,63.16484969,50.86599818,38.48920863,9382.045651,1978.576166,1329.409827,692.8876464,475.6461113,270.4637996,208.1896177,895.2072296,283.3933505,40.73339941,45.76116682,41.00719424,2313.833931,2337.401857,1308.684769,1369.332947,538.8508091,201.4419423,14043,8856,3027,1097,278,7275
D11,shCd4.3,D11,Sample,98.8258317,98.21894005,98.4375,55.3816047,57.47176368,58.92857143,7565.316878,8768.950244,9495.827337,445.0514733,527.4159616,565.3335196,213.0198031,245.3486592,112.1362679,41.38943249,40.6602954,39.50892857,2050.510667,2920.281117,2300.8655,1121.377472,1160.27506,1042.879571,12556,7538,1022,2302,448,6412
E02,Smarca4.1,E02,Sample,98.25870647,77.0773639,61.28205128,43.69817579,36.53295129,36.41025641,10776.21526,3362.426009,1390.986635,201.0278285,206.2439007,277.382264,148.7460279,446.1873294,220.3691472,27.69485904,35.81661891,43.84615385,1810.867605,1759.802885,1388.607347,948.8698701,480.2481916,257.9116912,11634,7263,1206,698,390,5661
E03,Smarca4.2,E03,Sample,98,68.09605489,62.51768034,42.66666667,35.67753002,43.42291372,9326.785194,1972.362383,1612.277495,237.5920653,210.1817458,315.2481718,299.1548076,824.7419949,388.0857733,27.6,44.25385935,44.41301273,1672.407701,1857.331137,1545.354403,744.2054555,446.3323322,303.8428555,12429,7886,750,583,707,6081
E04,Smarca4.3,E04,Sample,97.256386,68.75,61.11111111,52.79091769,38.68243243,40.74074074,8413.361565,1884.782269,1358.756263,423.3971301,263.009323,316.9052433,237.1667901,701.729172,264.8114524,35.28855251,47.63513514,49.69135802,1942.63961,1555.013815,1285.996888,963.4981484,402.5503097,238.9119153,13539,8498,2114,1184,324,6465
E05,Smarca4.4,E05,Sample,98.84823848,67.59358289,54.71698113,58.1300813,41.60427807,33.33333333,10532.98421,2047.174439,895.2990266,516.6389102,279.8662444,185.2808833,175.0490612,478.2351234,321.5177355,35.29810298,44.70588235,41.09014675,2217.009951,1620.742173,1028.061221,1166.641201,422.9152668,190.4796853,13269,8345,1476,935,477,6565
E06,Klf2.1,E06,Sample,99.09677419,65.67534077,62.09150327,60,41.01610905,37.90849673,12818.02097,2054.642626,1362.44984,598.1075306,313.7085941,311.5001141,139.6283618,582.6783042,309.9402427,30.23655914,35.93556382,47.05882353,2642.879892,1805.46228,1420.060167,1129.556254,411.5420611,287.3219778,10902,6620,2325,807,153,5266
E07,Klf2.2,E07,Sample,98.58532272,64.3537415,59.91471215,65.42882405,45.44217687,37.95309168,13269.62879,1709.024497,1333.174028,769.2942771,362.7434428,211.9246259,93.00059646,302.7387781,300.1701197,35.80901857,41.49659864,43.49680171,2549.568052,1542.360436,1177.704978,1381.816579,282.2327235,199.9222778,11643,7217,1131,735,469,5536
E08,Klf2.3,E08,Sample,99.05040175,70.42062415,58.48623853,61.43170197,48.30393487,37.3853211,12451.89033,2335.733535,1034.41581,606.3704507,442.2478173,217.1755951,152.9908387,651.1120747,391.6273432,36.88823959,42.46947083,41.51376147,2645.696318,2030.197894,1291.291516,1396.252474,456.2554658,255.910692,11752,7116,1369,737,436,5687
E09,Klf2.4,E09,Sample,98.92224788,75.33577534,65.23809524,73.44110855,53.35775336,32.85714286,15951.08165,3314.713153,1655.103785,1228.508597,568.0970733,204.9051196,89.96779809,414.0972026,342.2754776,33.33333333,39.43833944,41.9047619,2416.828519,2011.088373,1326.010911,854.5505673,433.1284149,358.3264502,9397,5486,1299,819,210,4233
E10,shCd4.4,E10,Sample,98.53539463,67.95774648,64.75195822,63.54759967,49.82394366,35.50913838,8771.369287,1815.039001,1377.990644,798.557601,486.7167905,263.3389671,435.435692,1575.740498,480.2740182,38.97477624,42.07746479,39.68668407,2564.479283,1661.954328,1106.861709,1134.973191,510.8156183,244.8943579,10387,6351,1229,568,383,5065
E11,shCd4.4,E11,Sample,98.07692308,96.85169843,98.81578947,54.7008547,56.75227838,55,6678.768345,7535.681863,9108.22499,484.4148827,551.9867298,409.7018206,288.058061,546.1114211,108.2954597,38.46153846,38.11101906,39.86842105,1972.005262,2737.915517,2034.273667,808.7054074,849.6654534,941.3284323,11457,7011,468,1207,760,5733
F02,Runx3.1,F02,Sample,99.09142533,66.86046512,56.90789474,28.44974446,35.46511628,28.94736842,12147.14227,1844.072668,1103.431995,67.00221549,212.0077435,139.0264441,118.4908935,266.4668183,321.067903,50.25553663,32.92151163,42.76315789,1612.618632,1158.754856,1231.180584,1287.180861,274.3637642,187.9371508,11923,7460,1761,1376,304,5640
F03,Runx3.2,F03,Sample,99.10761155,96.11111111,55.59006211,32.07349081,46.11111111,30.43478261,10271.29128,11743.48258,898.9723005,75.2176545,230.0158983,155.336545,228.1323269,540.4802849,561.7339561,41.25984252,30.37037037,35.0931677,2204.971903,3186.374213,1175.308149,1739.076492,1172.388095,247.2897016,11998,7412,1905,540,322,6316
F04,Runx3.3,F04,Sample,99.31506849,96.11650485,53.54609929,27.31164384,47.24919094,25.53191489,11789.67994,11497.34149,1082.74318,54.76785444,302.4338596,154.6040332,299.5594439,444.958526,559.645535,47.00342466,38.51132686,35.81560284,2242.999763,2848.046004,924.7566147,1272.13287,780.0542731,210.6348993,9098,5417,1168,309,282,4523
F05,empty,F05,Sample,100,60,58.10473815,28.57142857,80,32.7514547,10820.85856,2363.983951,1171.026194,734.4407288,630.1729664,197.3118419,93.56214955,475.9391929,684.2302349,57.14285714,20,34.99584372,3147.611077,2665.208642,1504.326134,2563.521196,1206.220071,253.5122797,13322,8324,7,5,1203,6530
F06,Sp140.1,F06,Sample,97.52275025,66.95437731,59.17602996,56.52173913,39.82737361,30.71161049,8693.638857,1777.456399,1123.487739,454.5007979,228.5321615,189.1215782,203.4575683,886.2856219,541.9642447,31.39534884,36.74475956,35.58052434,2304.693237,1888.296268,1335.827769,1297.052755,389.4641412,264.5808389,11622,7062,1978,811,267,5559
F07,Sp140.2,F07,Sample,97.52667313,58.54014599,59.83606557,60.57225994,36.05839416,27.04918033,8459.464838,1307.404268,1290.369939,621.2390276,177.2913178,117.8102289,224.0966918,962.6390902,657.9766683,39.03976722,42.48175182,39.3442623,2135.23012,1975.774502,1468.720212,901.678112,332.9035648,233.0515407,10717,6743,2062,685,244,5295
F08,Sp140.3,F08,Sample,98.94583788,63.64617044,57.14285714,52.74445656,35.81445523,26.19047619,10632.83709,1654.924333,1159.152525,389.1898972,258.8048067,155.5714868,184.7854806,925.6957702,466.7355323,29.33478735,37.7562028,41.07142857,2266.91516,1477.040849,1179.845957,905.0195456,390.4534843,164.1633576,11908,7019,2751,927,168,5467
F09,Sp140.4,F09,Sample,98.47434119,66.30109671,58.06451613,69.83356449,41.17647059,29.14746544,11114.25113,1954.895032,1225.558754,914.4763525,242.3758153,163.7243778,91.23300969,310.8367415,627.6223263,29.95839112,33.10069791,41.24423963,2085.605988,1430.596686,1350.05601,1477.755913,295.4669747,235.3274159,15257,9936,1442,1003,868,7577
F10,empty,F10,Sample,100,85.71428571,58.12337098,29.41176471,42.85714286,27.1068636,10225.40889,4597.173824,1173.395549,81.20448323,783.1429439,117.6188376,196.559862,1177.188413,712.7403928,41.17647059,85.71428571,33.79669852,1438.470732,2828.193228,1122.924497,685.4696829,1698.628046,200.200785,13876,8778,17,7,1151,6819
F11,empty,F11,Sample,100,100,98.43487982,66.66666667,0,54.33202907,4234.478602,4981.446777,12350.77317,1887.225485,143.7470703,463.0947635,197.316279,1,198.5863548,100,100,30.46394634,2275.550027,2073.797607,2860.253327,2754.857329,369.2852173,908.4576215,15296,9764,3,1,1789,8459
G02,Smarce1.1,G02,Sample,97.66877125,57.69828927,53.05343511,55.85235551,43.54587869,35.6870229,8073.601992,1153.373702,950.35797,495.1310077,341.6599034,221.8983518,187.6776444,668.5498603,284.9807311,36.86255464,43.07931571,39.3129771,1970.123914,1358.93071,910.3501147,994.2228742,297.0333264,214.4232499,15532,9835,2059,1286,524,7192
G03,Smarce1.2,G03,Sample,91.31545338,46.55913978,54.57317073,52.7458493,34.62365591,29.26829268,4583.425923,436.0365645,994.1987456,356.1658348,132.123345,152.8439772,938.5441026,1520.947815,403.0516058,36.22818221,48.06451613,47.25609756,1703.70605,1372.252517,939.9019209,753.0331054,751.7423611,223.8256089,14102,8910,2349,930,328,6211
G04,Smarce1.3,G04,Sample,89.94643593,46.89984102,57.47800587,52.98722703,40.54054054,31.23167155,3988.275329,385.7214967,1015.38357,382.5259438,180.9670471,211.1666356,1023.796033,1182.709691,415.7759637,37.49484961,47.05882353,37.82991202,1699.184238,1426.504422,1042.463972,833.5960883,804.2571678,257.4913707,17911,11116,2427,1258,682,7609
G05,Smarce1.4,G05,Sample,97.12889432,63.16851665,54.7235023,56.07819181,38.74873865,35.36866359,7572.148798,1270.456894,950.2435665,418.4893618,257.8999649,234.2203501,215.8447802,630.7904313,435.1485582,38.05742211,52.57315843,41.70506912,1565.524714,1212.882162,1202.815236,1013.088819,398.4281267,195.976497,16349,10046,1637,991,868,7283
G06,Wdr82.1,G06,Sample,93.04874531,43.65004704,53.78486056,53.90827805,31.04421449,33.66533865,3729.666967,636.000144,1006.296721,578.000269,211.8265413,218.3436562,317.9972192,415.0500311,512.2652486,19.72887222,27.56349953,41.03585657,2034.994424,1045.951184,1117.779796,607.086757,286.5076941,199.4738382,17021,10559,3467,1063,502,7245
G07,Wdr82.2,G07,Sample,94.22723695,44.41314554,58.984375,54.36893204,35.11737089,35.3515625,4176.14401,573.8155621,1330.641537,597.9027825,230.0237778,199.0808199,281.5861945,392.3939581,408.6031018,19.12883758,26.76056338,40.234375,2120.012487,1119.058901,1330.714964,599.9186682,288.8374842,238.3979074,17875,11340,3811,1065,512,8134
G08,Wdr82.3,G08,Sample,92.6686217,50.67920585,57,51.31964809,32.28840125,33.5,4218.123965,863.9580944,1161.600466,528.3578075,191.1958087,210.4120582,221.7635309,334.2444044,367.316023,19.90876507,28.52664577,36.625,2093.88079,1430.006406,1007.737762,629.0957973,278.7584088,205.8656684,16970,11096,3069,957,800,7737
G09,Wdr82.4,G09,Sample,90.20935961,46.75118859,58.07692308,48.15270936,34.23137876,31.28205128,3415.611123,855.7330293,1210.971803,423.5912454,234.2950036,209.983955,489.5613054,641.5013391,597.7462279,20.25862069,30.11093502,35,2164.471922,1402.586971,1228.364791,507.355615,308.6919681,292.5693596,13823,8755,1624,631,780,6219
G10,empty,G10,Sample,83.33333333,43.75,80,25,37.5,0,1087.255986,591.5594151,3034.841555,220.1981003,467.7185301,34.67965425,550.9146091,473.3128648,139.9727813,58.33333333,50,60,2028.296375,1340.31119,1509.385187,314.2023923,171.7210282,717.0887146,11816,7245,12,16,5,6150
G11,empty,G11,Sample,80,0,50,20,90.47619048,50,2472.218375,107.9661564,1173.310511,192.4649753,1972.199264,597.5986943,241.9690611,1724.366768,377.0831533,60,90.47619048,75,794.0298053,676.7330375,1670.608631,915.2398592,314.3594736,125.8128219,30551,24003,5,21,4,50
