,,Experiment: 10 U panel 1,Analysis: Analysis 2,User: Admin,Plate: control,Plate Type: 96 Well,Plate Order: Row,Export Date: 4/21/2015,Export Time: 10:18:01 AM,,,,,,,,,,,,,,,,,,,,,,,,
,,Well ID,Well Type,Amet+CXCR3+ as % of Amet+,Amet+GFP+CXCR3+ as % of Amet+GFP+,GFP+CXCR3+ as % of GFP+,Amet+CD103+ as % of Amet+,Amet+GFP+CD103+ as % of Amet+GFP+,GFP+CD103+ as % of GFP+,GeoMean PE-Cy7-A - CXCR3 of Amet+,GeoMean PE-Cy7-A - CXCR3 of Amet+GFP+,GeoMean PE-Cy7-A - CXCR3 of GFP+,GeoMean APC-A - CD103 of Amet+,GeoMean APC-A - CD103 of Amet+GFP+,GeoMean APC-A - CD103 of GFP+,GeoMean PerCP-Cy5-5-A - CD25 of Amet+,GeoMean PerCP-Cy5-5-A - CD25 of Amet+GFP+,GeoMean PerCP-Cy5-5-A - CD25 of GFP+,Amet+CD62L+ as % of Amet+,Amet+GFP+CD62L+ as % of Amet+GFP+,GFP+CD62L+ as % of GFP+,GeoMean Alexa 700-A - CD44 of Amet+,GeoMean Alexa 700-A - CD44 of Amet+GFP+,GeoMean Alexa 700-A - CD44 of GFP+,GeoMean PE-A - CD127 of Amet+,GeoMean PE-A - CD127 of Amet+GFP+,GeoMean PE-A - CD127 of GFP+,Count of live cells,Count of singlets,Count of Amet+,Count of Amet+GFP+,Count of GFP+,Count of Region Set 1 UR
B02,Bptf.1,B02,Sample,97.1106413,57.94768612,58.81708653,45.45454545,34.60764588,37.67798467,8172.912377,961.4814877,1096.080225,207.133158,181.2542878,262.2818863,72.55507857,475.0847396,279.6784361,40.31007752,38.53118712,42.38773275,2652.467813,2175.433789,1664.737857,1412.885266,372.5619715,250.7373867,16360,10019,1419,994,913,7643
B03,Bptf.2,B03,Sample,98.22695035,64.12037037,55.01915709,59.04255319,42.59259259,39.00383142,9000.947897,1496.213388,826.9999996,585.526717,279.3627031,281.7744757,158.0839231,463.742059,331.4374742,44.68085106,46.75925926,47.7394636,2493.077075,2149.256532,1448.321582,1136.009128,393.4917426,245.3225549,16691,10385,564,432,1305,8061
B04,Bptf.3,B04,Sample,98.02136921,59.73557692,52.12121212,62.01028888,47.83653846,51.11111111,9976.799822,1109.302781,748.953608,647.1069869,422.9374297,542.1742948,186.1442071,654.3010316,448.9181734,18.87613771,22.35576923,25.95959596,2819.577068,1816.29945,1524.461934,1440.653759,437.973946,317.5112199,20757,13355,2527,1664,990,10315
B05,Bptf.4,B05,Sample,98.3968542,67.94637416,53.08641975,59.86085904,44.24131627,33.15696649,10406.54823,1784.12749,830.6342382,550.9449048,330.324916,214.8749605,126.0680337,361.9615113,374.4157348,35.96491228,39.42717855,41.26984127,2628.78029,1960.983411,1453.006853,1397.384757,387.2000066,256.2746371,18571,11617,3306,1641,567,9170
B06,Whsc1.1,B06,Sample,98.25174825,53.66506153,55.70469799,62.55244755,42.00107009,34.89932886,10552.49879,954.3042814,952.7441298,634.8324009,312.0470983,241.8245374,181.0625884,743.4401577,365.3753768,31.81818182,33.97538791,40.15659955,2740.624988,1734.043042,1462.92321,1185.673496,373.6322943,211.6205075,20798,13055,2860,1869,894,9872
B07,Whsc1.2,B07,Sample,96.76048858,61.31989001,55.25773196,61.39139671,48.12098992,33.19587629,7846.110476,1235.834953,928.9027018,569.5034445,443.3341698,216.0558238,185.5110329,622.7763375,544.1504269,35.10355815,36.38863428,39.89690722,2305.888051,1686.752999,1534.621785,1169.621203,356.6296006,269.4059793,17926,10912,1883,1091,970,8340
B08,Whsc1.3,B08,Sample,98.45938375,57.18390805,53.0075188,62.51167134,40.66091954,33.83458647,9080.747764,1013.77658,858.0627012,688.0874028,295.0611343,241.3658545,212.4123346,781.1332331,535.1776549,32.30625584,31.03448276,34.08521303,2202.606496,1339.225188,1486.948837,1049.004394,337.1420168,242.6614494,17506,10672,2142,1392,798,8026
B09,Whsc1.4,B09,Sample,98.63448714,61.98729058,59.96409336,57.76436964,42.86539573,42.01077199,10212.39581,1441.007531,1316.996012,564.6607545,276.9652172,284.0565196,209.5090157,748.630394,395.4339542,34.10606542,35.23974581,37.52244165,2307.663183,1289.739927,1575.243499,1141.308523,445.8332685,243.634469,18318,11566,3149,1731,557,9147
B10,shCd4.1,B10,Sample,98.58728557,59.67283073,53.54107649,63.21897074,41.67852063,33.85269122,9442.061049,1393.468633,818.229221,705.8807646,337.0110003,204.5333867,181.5435847,742.8583026,443.2748209,32.79515641,35.63300142,36.11898017,2425.921715,1683.347448,1309.27156,1182.914629,385.6891225,216.4633408,16918,10401,1982,1406,706,7775
B11,shCd4.1,B11,Sample,99.28952043,98.16513761,98.78504673,57.37122558,60.90331687,52.52336449,10562.79545,12269.39836,10045.33192,468.863285,580.4352028,384.3562212,183.2773478,314.375277,183.903365,36.23445826,33.1686662,35.88785047,2410.277951,3375.173632,2857.271869,1124.046937,1051.856454,980.3060847,13435,8329,563,1417,1070,7124
C02,mll2.1,C02,Sample,76.28040973,41.4951989,59.72222222,61.9078105,46.84499314,38.65740741,1740.261071,347.4851029,1110.123239,656.0313479,314.3626865,243.7237068,458.9437927,1063.909737,261.5764658,44.46222791,39.23182442,40.50925926,2124.010754,2358.044266,1154.25564,1327.087836,431.4985538,260.5046882,16663,10557,3124,1458,432,6652
C03,mll2.2,C03,Sample,53.39966833,29.9170327,58.36065574,61.96793809,48.6090776,37.04918033,347.8709035,145.6799565,888.0331706,685.8907729,370.9966134,225.9330257,688.1543903,2701.144435,284.3867865,45.43946932,39.72669595,45.90163934,2195.885867,2934.117027,1171.666186,1187.463112,383.5217036,205.7095486,17784,11123,3618,2049,305,5863
C04,mll2.3,C04,Sample,95.4572624,62.03623814,62.06115515,77.94381351,63.33045729,51.52887882,6583.869479,1248.474515,1224.676097,1350.420338,773.1812951,513.6367119,186.8175793,586.4702228,275.7108342,27.73460849,32.52804142,31.59682899,2308.254985,2284.105571,1556.823623,1403.060176,580.4340447,307.6461157,17941,11423,1673,1159,883,8924
