Well,shRNA,Amet+GFP+CXCR3+ as % of Amet+GFP+,Amet+GFP+CD103+ as % of Amet+GFP+,GeoMean PE-Cy7-A - CXCR3 of Amet+GFP+,GeoMean APC-A - CD103 of Amet+GFP+,GeoMean PerCP-Cy5-5-A - CD25 of Amet+GFP+,Amet+GFP+CD62L+ as % of Amet+GFP+,GeoMean Alexa 700-A - CD44 of Amet+GFP+,GeoMean PE-A - CD127 of Amet+GFP+
B02,Bptf.1,57.94768612,34.60764588,961.4814877,181.2542878,475.0847396,38.53118712,2175.433789,372.5619715
B03,Bptf.2,64.12037037,42.59259259,1496.213388,279.3627031,463.742059,46.75925926,2149.256532,393.4917426
B04,Bptf.3,59.73557692,47.83653846,1109.302781,422.9374297,654.3010316,22.35576923,1816.29945,437.973946
B05,Bptf.4,67.94637416,44.24131627,1784.12749,330.324916,361.9615113,39.42717855,1960.983411,387.2000066
B06,Whsc1.1,53.66506153,42.00107009,954.3042814,312.0470983,743.4401577,33.97538791,1734.043042,373.6322943
B07,Whsc1.2,61.31989001,48.12098992,1235.834953,443.3341698,622.7763375,36.38863428,1686.752999,356.6296006
B08,Whsc1.3,57.18390805,40.66091954,1013.77658,295.0611343,781.1332331,31.03448276,1339.225188,337.1420168
B09,Whsc1.4,61.98729058,42.86539573,1441.007531,276.9652172,748.630394,35.23974581,1289.739927,445.8332685
B10,shCd4.1,59.67283073,41.67852063,1393.468633,337.0110003,742.8583026,35.63300142,1683.347448,385.6891225
B11,shCd4.1,98.16513761,60.90331687,12269.39836,580.4352028,314.375277,33.1686662,3375.173632,1051.856454
C02,mll2.1,41.4951989,46.84499314,347.4851029,314.3626865,1063.909737,39.23182442,2358.044266,431.4985538
C03,mll2.2,29.9170327,48.6090776,145.6799565,370.9966134,2701.144435,39.72669595,2934.117027,383.5217036
C04,mll2.3,62.03623814,63.33045729,1248.474515,773.1812951,586.4702228,32.52804142,2284.105571,580.4340447
C05,mll2.4,41.43081761,31.91823899,483.7142277,173.1795245,1404.872494,40.40880503,2237.734063,296.3501587
C06,Brd8.1,59.29487179,49.19871795,1332.537665,444.3110723,528.1173258,40.06410256,2201.128019,409.3891978
C07,Brd8.2,58.03757829,45.09394572,1179.319229,322.1455763,875.4996964,39.59638135,1949.919237,434.1231655
C08,Brd8.3,69.97112608,53.51299326,1985.822145,515.3719743,254.1049248,40.13474495,1939.411457,401.5003455
C09,Brd8.4,66.24737945,46.68064291,1960.817563,372.91954,472.9384413,37.87561146,1821.491289,475.4643478
C10,shCd4.2,67.22689076,52.33002292,1788.524989,516.823766,517.7498567,43.16271963,1347.341271,429.23851
C11,shCd4.2,98.40925524,71.14967462,11033.88101,995.2258458,225.7812248,43.45625452,2749.948436,1508.864075
D02,Ncor1.1,50.53254438,26.98224852,765.18326,125.3278486,1956.895243,49.58579882,2109.293369,299.2224283
D03,Ncor1.2,42.85714286,28.57142857,840.0625447,137.6293007,962.9624731,71.42857143,1262.125445,176.7675346
D04,Ncor1.3,53.27963176,27.73302647,1019.306329,137.6154199,2014.220262,51.32336018,2305.036661,394.5220977
