Pool,Gene,nbPctgShift
P1-7,Actb,0.26896689056365375
P1-7,Actl6a,2.3924752216887093
P1-7,Actl6b,-15.11517461665288
P1-7,Aff1,-7.661829356247127
P1-7,Aff4,3.5766311612472865
P1-7,Arid1a,0.16674872321623457
P1-7,Arid1b,-1.3398306353689218
P1-7,Arid2,2.3551708534261664
P1-7,Ash1l,1.194137304071596
P1-7,Ash2l,-2.925930895363786
P1-7,Asxl1,-0.1063355561514765
P1-7,Asxl2,2.12648247587534
P1-7,Asxl3,-5.711521623882594
P1-7,Atad2,-0.30905302925691913
P1-7,Atad2b,3.083841353262324
P1-7,Atm,-8.950107715898591
P1-7,Atr,-2.847020135558626
P1-7,Atrx,-1.484603571612066
P1-7,Aurkb,-2.1307405791584184
P1-7,Baz1a,-3.0435485378869718
P1-7,Baz1b,-4.423012333707881
P1-7,Baz2a,5.389782660566769
P1-7,Baz2b,-9.318953429015233
P1-7,Bcl6,5.818528776149719
P1-7,Bmi1,-4.180007444080964
P1-7,Bop1,-0.26359010666008853
P1-7,Bptf,-5.992852034357581
P1-7,Brd1,1.136495064620231
P1-7,Brd2,-15.136451977059831
P1-7,Brd3,5.23964063258098
P1-7,Brd4,23.03068483489852
P1-7,Brd7,-8.901106308275368
P1-7,Brd8,-3.4483558868134363
P1-7,Brd9,-2.770795736794272
P1-7,Brdt,-2.4859757467816324
P1-7,Brpf1,-8.923763990348746
P1-7,Brpf3,-1.3909297033001795
P1-7,Brwd1,5.488688756549449
P1-7,Brwd3,-8.664919229286552
P1-7,CD4,2.714564985682987
P1-7,Carm1,-15.832643642344772
P1-7,Cbx1,-4.170489548719598
P1-7,Cbx2,-5.303748972012197
P1-7,Cbx3,-13.3435142619354
P1-7,Cbx4,-10.283386420361913
P1-7,Cbx5,4.193184975273933
P1-7,Cbx6,12.794302742463989
P1-7,Cbx7,-7.283557191452637
P1-7,Cbx8,-7.368663518266491
P1-7,Cd14,-6.886962374248142
P1-7,Cd4,13.398125374270052
P1-7,Cecr2,-14.594707194631496
P1-7,Chaf1a,-3.1608726947672583
P1-7,Chaf1b,9.172948669684946
P1-7,Chd1,0.5354319637003044
P1-7,Chd1l,11.674046218103156
P1-7,Chd2,-2.446509283626746
P1-7,Chd3,3.1304356403651195
P1-7,Chd4,17.9184458398188
P1-7,Chd5,6.271546156295072
P1-7,Chd6,2.59186680255461
P1-7,Chd7,0.3402431788811171
P1-7,Chd8,3.5386486008926377
P1-7,Chd9,7.6145864172830535
P1-7,Clock,-0.7942301095349684
P1-7,Crebbp,4.409971507466965
P1-7,Ctsl,4.936801295100196
P1-7,Cxxc1,-6.705021808402277
P1-7,Dmap1,3.835257749341256
P1-7,Dnmt1,-6.7426395284970075
P1-7,Dnmt3a,2.479016041341305
P1-7,Dnmt3b,5.011777474608545
P1-7,Dnmt3l,7.676545553878304
P1-7,Dot1l,19.79160614920258
P1-7,Dpy30,6.463079740388906
P1-7,Dub2a,3.2768305962045545
P1-7,Eaf1,5.298010907672599
P1-7,Eed,-2.023727597681871
P1-7,Ehmt1,0.2097468204134838
P1-7,Ehmt2,-4.405609827217846
P1-7,Elp3,0.23114422203200036
P1-7,Elp4,1.4540493126364187
