gene_name,InputMinusAvg_z_p,Q3minusOther_z_p,Q4minusQ1_z_p
Actl6b,0.42674938990422456,-1.515686227245275,-10.673502320728588
Aff1,1.9075112337035944,0.35001713679985064,-2.6311671909681196
Aff4,-0.30409217322957904,3.2042076418580314,1.0732317182153148
Arid1b,-0.32673735700753603,0.8899394219987721,5.37698384719384
Arid2,-0.48415182989327316,-3.4590716561439816,0.27862710980677446
Ash1l,-5.918004359302492,1.0071728864913463,0.12931252400050128
Ash2l,-5.679131659239589,0.6335391490027126,-0.690631329230848
Asxl1,-1.0026791989374648,-2.8487440578626644,-0.10041438966418749
Asxl2,-0.5828603682643997,0.255583115082602,0.44478989204111535
Asxl3,-18.577060377397753,0.04767550823042158,-1.3711750211955984
Atad2,-5.660120947982832,2.842617043217959,-0.1133965519399124
Atad2b,-9.958592878629723,1.3133552084896296,0.7564229186423063
Atm,-10.282602052269423,-0.2224668895521088,-1.9267959542634308
Atr,-0.05184055183393216,-0.5662512553000719,-0.5734161998046451
Atrx,-6.493681004939785,-2.240631010375374,-0.4430663008833933
Aurkb,1.4849018651984662,0.936156925507894,-0.44312053239633203
Baz1a,-3.401575730609026,-0.007685802299103585,-1.5603055429048145
Baz1b,-4.567573663307362,-2.1341428137008602,-1.074154413633429
Baz2a,-1.8492913428940336,1.504675572552101,0.8818363192379481
Baz2b,-17.997513824600045,-11.647721074809407,-2.1585555937567853
Bcl6,-14.535107399202795,3.0848549687712055,2.2943658901081676
Bmi1,-0.6904336088134587,-0.6582799092261404,-0.6742990094613291
Bop1,-5.313803714447955,2.8504105666084394,-0.12440158955445552
Bptf,-2.7633341774279176,-2.801138837697017,-1.714276550506474
Brd1,-2.617597305659952,0.11953019819168251,0.08645789064133856
Brd2,-0.07425756247532944,1.108296902923461,-18.54208078394578
Brd3,-2.254268246358924,0.9398152206531039,0.7343034256582548
Brd4,2.719862519162597,-0.5594065087785776,10.523560409975984
Brd7,3.0589057629745398,-0.045297718601725837,-0.5337232369156357
Brd8,-0.2694471913480727,-0.6193661072732098,-0.605231577974777
Brd9,-0.5880640853012931,2.0011642841846,-0.5707705444617187
Brdt,-3.540958481212609,0.2284810278328174,-2.5129864559427815
Brpf1,-1.4797460776286024,0.9931046168238027,-2.298015420940876
Brpf3,-0.3073529973324471,0.03588438677108229,-0.23744454577436822
Brwd1,-1.2368040264121862,-2.110231022577291,1.2285614693490499
Brwd3,-2.0826292070902266,-5.202150936989787,-2.4623578519701965
Carm1,-0.8940286144407201,-2.144611564976883,-6.418495558539845
Cbx1,-3.3593519184997427,-1.1373814236854392,-1.0205297476811381
Cbx2,-0.21682125786799275,-1.8895882671591573,0.001396254983530415
Cbx3,0.2906504075238274,-0.4076994343284657,-2.768938694718076
Cbx4,-1.2450213617514856,0.2589095505307038,-6.0529129136723645
Cbx5,-0.7857730251360322,-2.2644803094168093,0.8157189483642641
Cbx6,0.6358510610977453,-7.454406202770714,2.0698017744327757
Cbx7,-11.986098575094205,-5.586373281856601,-1.445925250873878
Cbx8,-0.6012169476991803,-1.0152199579822974,-2.64966149600224
Cd14,0.22888350398552865,1.3082829862460716,-1.7510358601514426
Cd4,0.7237715768996217,-1.050045935891006,-0.14240241068083273
Cecr2,-4.8635323922948315,10.138444549952302,0.017201595856365028
Chaf1a,0.3172082361786141,-3.78555344277755,-0.6119675069743187
Chaf1b,0.5044831214604533,-1.1801119609940869,1.7005414003947663
Chd1,-0.2156391143255181,1.8134232935275423,0.030950424517654167
Chd1l,0.31361235743330446,-5.622071095853905,5.951856885948151
Chd2,-2.288040598921295,-1.3126750666141231,-0.5939020854011152
Chd3,-0.8475171460617196,0.1255198189707174,0.4458944015457794
Chd4,-0.8253147513483932,-2.0388623625985702,4.778721009375523
Chd5,-1.9071283541863675,8.079081321799757,2.2768424040601642
Chd6,-1.229589323002375,3.967715025662473,0.25012743594323805
Chd7,-0.9108068153296357,3.220952038063751,9.6647845000007635
Chd8,-2.1132360229187768,0.4270826103853184,0.2522940158376199
Chd9,-1.2496971082795736,-0.30344903584352584,3.3320694831864626
Clock,-3.2553907668566593,-1.467715677732904,-0.060200162996172805
Crebbp,-4.530636917865359,-0.10127314524944346,0.8308417997737122
Ctsl,0.09403935560352977,0.7127137776827681,1.1613757363212407
