shRNA,Q3,Q2,Q4,Q1,exp
Smarce1.3,0.48049633453769114,0.46772816335691464,0.35366069470462563,0.6865597818973503,P15-21_rep2
Smarcb1.2,0.40560132502435675,1.1301317235267168,0.39738100549200317,-0.09136755721464065,P15-21_rep2
Smarcd1.2,0.462459118182884,-1.1188070673155852,0.5739859625808008,-1.224036513020894,P15-21_rep2
Smarca5.1,0.0057366549587892736,-1.0361200542134457,-0.7106789083766867,-0.105611467348833,P15-21_rep2
Taf1.2,-0.007736403633529447,-0.8943795777805403,-0.022854919922562535,-0.9107802532986007,P15-21_rep2
Tet3.2,1.33301561175852,0.6711013942504285,-1.529733169490619,-0.6372473615594949,P15-21_rep2
Ssrp1.3,1.4675373042910103,-0.6426014381730834,-1.4620003610273833,0.10286234785021213,P15-21_rep2
Zmynd11.3,0.7199578200936887,-1.5752859099545382,-0.20366032581366275,-0.3065468433700759,P15-21_rep2
Setmar.2,0.26263008558394785,-0.2781924116054292,-1.7923256606074482,0.8448946050839692,P15-21_rep2
Sp100.1,-0.9907263947278346,-0.39814994013791755,-0.9948285230986713,1.0709606992289329,P15-21_rep2
Smarca1.3,-1.7572257446175437,0.022942118685800338,0.17682333314950188,0.2010089468922778,P15-21_rep2
Sirt1.2,-1.4077590160992421,0.49425440709951896,-0.9016551252660087,0.5116362232353558,P15-21_rep2
Wdr82.2,1.266994357328426,-0.19961566845810697,-0.26753473557960816,-1.6171789079984777,P15-21_rep2
Suv39h2.3,-1.0482564048232277,0.12456292470622754,1.7461515856528698,0.08795956878550934,P15-21_rep2
Setmar.1,-1.7720101707644358,-0.18814599857177333,0.18899462670251707,1.2175110832454945,P15-21_rep2
Smarcd1.1,-1.0702775636004682,-1.032322492282459,-0.17563190943646229,0.853809833700918,P15-21_rep2
Setd5.4,-1.7327880491018752,-0.1961884866108576,-0.04376968429945241,1.0611261870705107,P15-21_rep2
Sp140.1,-1.9289252229097884,0.4284462605984966,0.47442002143793394,0.09817500536047563,P15-21_rep2
Setdb1.2,-1.8009628676996512,1.119760266919641,-0.18072278090389945,0.6529438707446501,P15-21_rep2
Setd5.2,-1.131676047316875,1.2731828853865759,0.5640133770916446,-1.227781303823651,P15-21_rep2
Taf3.2,-0.5142117901415252,1.0672269136338355,0.6693893397995114,-1.706965555890689,P15-21_rep2
Setd1a.2,-0.18296107589777605,-0.40651846569448463,1.033184240785735,-1.570066237728834,P15-21_rep2
Suz12.4,0.30907206698014456,-0.5183804547528822,-0.29268128096287144,-1.2363008685033696,P15-21_rep2
Sfmbt2.3,0.3070527381079518,-0.13113793472329244,-0.767163009168715,-1.1405505304723649,P15-21_rep2
Sfmbt1.1,0.6009928330187775,0.015320241770780438,-0.7905453258481105,-1.3268203217655474,P15-21_rep2
Sirt1.4,-0.7540205021214719,0.5423901795096895,-0.6057328829777718,-0.9021029609504514,P15-21_rep2
Setmar.4,-0.8443907871757639,0.6159389515464551,-0.8945694671615784,-0.551319176489694,P15-21_rep2
Smarcd1.4,-0.675864115701942,0.2764841449557252,-0.710062790862432,-0.7389446168713266,P15-21_rep2
Ube2a.1,-0.42952245733718075,-0.23138702854698381,-0.48114313070052994,-0.8215126857611318,P15-21_rep2
Smarce1.4,-0.4272604782107097,-0.1269565875637682,-0.4691047840666678,-0.9127121663055157,P15-21_rep2
Rpa3.3,-0.3204909924788296,0.06843893481028555,-0.16403799437633926,-1.337776390997904,P15-21_rep2
Tet1.2,-0.33477926765561106,-0.2412800754154537,-0.1278677259518572,-1.1589302328599889,P15-21_rep2
Taf3.4,0.34310527085889775,-1.2486740718647376,0.36699631396543575,-0.9642808156620154,P15-21_rep2
Setdb1.1,0.37664172693287407,-1.4145105883525262,0.4745091233877727,-0.8304025918599793,P15-21_rep2
Sp110.2,-0.010696055011400887,-1.2705984094918101,0.6253439474003919,-0.8508535422526009,P15-21_rep2
Sfmbt1.3,0.17637052833381298,-1.1527653576847605,-0.11409413915651448,-0.6861013037053347,P15-21_rep2
Whsc1l1.4,0.15682971049966038,-1.2099364187283141,-0.5209576595464971,-0.21327329559097152,P15-21_rep2
Supt16h.4,0.330666955100582,-1.5820956894514686,-0.061839854359047194,-0.21556729747756057,P15-21_rep2
Ube2a.2,0.4081685940493015,-1.607922696715117,0.06535221652179912,-0.327304022921021,P15-21_rep2
Setd4.2,0.29355054528214225,-1.4372596454864672,0.1793941370065644,-0.602042421164631,P15-21_rep2
Setd3.1,0.35454338808530983,-1.6142690765979975,0.5796567849710962,-0.582241398818184,P15-21_rep2
Tet3.4,0.652627916189497,-1.1155203467640278,0.2579571942873597,-1.1707468216396217,P15-21_rep2
Supt16h.1,0.12088724892101597,-0.8608473717278257,-0.029291861397211263,-1.020293179041398,P15-21_rep2
Sirt4.2,-0.034965172204974464,-0.7564067044321185,0.00687046196104828,-1.0428203529514717,P15-21_rep2
Setd2.3,0.16921590511357512,-0.9159243387843302,-0.020766540490560002,-1.001453549544473,P15-21_rep2
Sirt5.1,-0.5087211008117168,-0.609266500194754,-0.21423040932791806,-0.6447495096083207,P15-21_rep2
Suz12.3,-0.31239953625698474,-0.662260879288702,-0.2283463342278855,-0.7564477268018015,P15-21_rep2
Setdb1.3,-0.3253301048651845,-0.7023301845736956,-0.22992155130188313,-0.704864333409904,P15-21_rep2
Setd7.1,-0.6381775831966349,-0.6001467083987492,-0.17402884709669153,-0.559701893796251,P15-21_rep2
Smyd4.2,-1.2916318912503568,-0.2540431472114269,0.037163857427062144,-0.2772396816258746,P15-21_rep2
Smarcc1.2,-1.075555356816578,-0.4276134050618573,-0.32971041756866537,-0.05100432274784042,P15-21_rep2
Rpa3.4,-1.2369592621660166,-0.43181494954364846,-0.29623277811137,0.18717729163227229,P15-21_rep2
Sfmbt2.2,-1.4337160771251567,-0.2658525565385182,-0.1308460924521007,0.14662070767216662,P15-21_rep2
Setd2.1,-1.3207736433956065,-0.34627513853966224,0.02929197025098373,-0.12813500607727982,P15-21_rep2
Sin3a.3,-1.2864087331402616,-0.19414293439565403,-0.25015244472488585,-0.06931806873308896,P15-21_rep2
Sp110.4,-1.275010812355337,-0.09652526532571405,-0.45539259631392587,0.050674184405120073,P15-21_rep2
Zmynd11.1,-1.264058486568747,-0.34824787079863323,-0.4519000929627031,0.344283577944246,P15-21_rep2
Smyd3.2,-1.238104764891211,-0.3064907263432675,-0.4281671257730078,0.1977315869240642,P15-21_rep2
Sp100.2,-1.1809465969321313,-0.28001158008387644,-0.7345827774068651,0.5605802166535365,P15-21_rep2
Smarca4.2,-1.1430263232823272,-0.28434125682349626,-0.7426141466739489,0.49053533274340444,P15-21_rep2
Tet2.2,-1.296106848606718,-0.407846097953403,-0.5298479127481955,0.6821035533935254,P15-21_rep2
Sin3b.3,-1.2827199416155477,-0.38234705028975974,-0.5726438132948874,0.6847790707431552,P15-21_rep2
Suv420h2.1,-1.3518133144843674,-0.28000493169090795,-0.5415835820146132,0.6181673126776079,P15-21_rep2
Smarca5.4,-1.4133036327031288,-0.25217347132870344,-0.5470101085749346,0.7962343400799667,P15-21_rep2
Ube2b.1,-1.4848942398525395,-0.17042358088017792,-0.5250191145728198,0.8519823501551989,P15-21_rep2
Suv39h1.4,-1.3607362583532865,-0.6612880449914113,-0.2708955968119262,1.0794909344259416,P15-21_rep2
Setd8.3,-1.4115847972301048,-0.7058675989905132,-0.11150534705756766,1.0350448114321658,P15-21_rep2
Taf1.3,-1.4187743933983392,-0.6771048044816397,-0.10511038083202608,0.8821114687623981,P15-21_rep2
Setd4.4,-1.3768582559448097,-0.5353698469906701,-0.13203740737706926,1.6182434221872488,P15-21_rep2
Sirt7.3,-1.176049369020835,-0.6466853842300803,-0.033158397305021396,1.7868519027142444,P15-21_rep2
Sp140.4,-1.0613980948226556,-0.6042952743483381,-0.43179995462680515,1.7977696866462098,P15-21_rep2
Sin3a.1,-1.0871055776789962,-0.7001467332390702,-0.2834286150075854,1.7782416968467776,P15-21_rep2
Suv39h2.2,-0.8920809508562684,-0.3781107265413479,0.0013210071909014831,1.9104066752357156,P15-21_rep2
Taf1.4,-1.073941189401103,-0.2561540366500393,0.10208375298482215,1.8421360735904528,P15-21_rep2
Sin3b.2,-1.0203715904839377,-0.10138637909252243,0.13253305149062006,1.8064269734559504,P15-21_rep2
Ube2i.2,-1.0423050593593688,-0.06485184229561143,0.12333850409250906,1.7977102355976693,P15-21_rep2
Whsc1l1.3,-1.0271841473814207,-0.12853243273658016,0.21394043070498844,1.7822100175205677,P15-21_rep2
Zmynd11.4,-0.9907970044100408,-0.4844463485873634,0.38078044258185295,1.7800564133429506,P15-21_rep2
Smyd5.1,-1.247731795043094,-0.3439514453158334,0.544656956812636,1.6370838739408213,P15-21_rep2
Ssrp1.4,-1.105043093400123,-0.7558101408013752,0.7018931187213531,1.5902675151328807,P15-21_rep2
Scml2.4,-1.0921624381669153,-0.8100364584569829,0.6922678302983366,1.5898058255787502,P15-21_rep2
Sp100.4,-1.1070646463853948,-0.7214190242462795,0.4924702506143605,1.6973194863807806,P15-21_rep2
Sp110.3,-1.2369562808683177,-0.7035155045956738,0.6532184149379074,1.5709346644249118,P15-21_rep2
Smarcc1.1,-1.1910972846510626,-0.7728909179726456,0.6705910267209281,1.5680553144631686,P15-21_rep2
Suv39h2.4,-1.1531202750481757,-0.6889957570793463,0.7296902486101295,1.567253211717705,P15-21_rep2
Suv39h1.1,-1.1441318406665564,-0.6506613370705471,0.8364436927562535,1.506001708629628,P15-21_rep2
Ssrp1.2,-1.1324519768555592,-0.6425332270164815,0.8003271595368743,1.5335605592352,P15-21_rep2
Trim24.3,-1.0981851861736902,-0.8401992727630638,0.8067115262250812,1.5137101865993503,P15-21_rep2
Smyd1.3,-1.25615028336386,-0.811086239775156,1.2735066600609322,1.040061175410914,P15-21_rep2
Usp51.2,-1.1878248104803943,-0.5757842427684958,1.2614592189260017,1.128624954571869,P15-21_rep2
Smarca5.2,-1.2702774160236303,-0.6712897139462415,1.1769408278048923,1.1754868404957817,P15-21_rep2
Smarcd3.2,-1.2117781410885518,-0.8581546112168501,1.2267100063649856,1.1052906328119858,P15-21_rep2
Smyd4.4,-1.2729908232549443,-0.827614214908857,1.233932184023558,1.0643671404147859,P15-21_rep2
Sirt3.3,-1.1313731392957411,-0.733152677662505,1.2963727624915304,1.1027647111399537,P15-21_rep2
Whsc1.3,-1.1524275994488549,-0.6385785276865168,1.302358807185247,1.0953822736163532,P15-21_rep2
Uhrf1.1,-1.1474423893868768,-0.6113111250083486,1.3156300864652648,1.0819723603648137,P15-21_rep2
Setd1a.4,-1.1896029293288355,-0.5771979843387047,1.3484474700726683,1.0295019548539228,P15-21_rep2
Sin3a.2,-1.1740643097735002,-0.5716174733683257,1.3876339325216343,0.9868603562488578,P15-21_rep2
Tdg.4,-1.1625433685565976,-0.558119866925879,1.4254604462208336,0.9417944767064865,P15-21_rep2
Suv420h1.4,-1.2592038567222017,-0.49231765018091417,1.3308004874109098,1.020451848152421,P15-21_rep2
Satb1.1,-1.3009284633590061,-0.334770376076098,1.3002433442961132,1.018790606449033,P15-21_rep2
Smyd3.3,-1.2776719633618934,-0.39831781763579316,1.255726304685371,1.0886924996157727,P15-21_rep2
Tet3.1,-1.3296723664190402,-0.34727065776011656,1.1403082990254716,1.1813023179002293,P15-21_rep2
Wdr5.1,-1.3868130169531276,-0.21897912634411934,0.7285765545810164,1.4665232597068956,P15-21_rep2
Trim28.3,-1.2791924093474045,-0.0454447694644023,0.6984545485665639,1.4701804329464305,P15-21_rep2
Ube2i.4,-1.224393369611362,-0.04833390547923335,0.7935045114696795,1.4130780561825722,P15-21_rep2
Suv420h1.1,-1.2948355803439506,-0.025890994385134956,0.6950032221245006,1.4626303792430824,P15-21_rep2
Setd2.4,-1.37404150383364,0.00886340297979142,0.7862990411193929,1.3678909012478324,P15-21_rep2
Whsc1.4,-1.1349718915021052,-0.699682382335039,0.865278192005588,1.485620612514908,P15-21_rep2
Sfmbt1.4,-1.3238386741377062,-0.5231251079184882,0.8450327174811337,1.4384563492102316,P15-21_rep2
Tet2.3,-1.3274007735036826,-0.49369770924726025,0.5228179691529391,1.6182029440185859,P15-21_rep2
Suv39h1.3,-1.155393800608019,-0.6500809342202507,0.17006970103942867,1.7862739982517086,P15-21_rep2
Smarcd1.3,-0.9510167188491919,-1.091488796493874,0.40888648564505925,1.6542686727662046,P15-21_rep2
Smyd2.1,-1.0637774813915695,-0.9740159355526624,0.36718774346599586,1.6687840693692222,P15-21_rep2
Smarcc2.4,-1.0969963845670192,-0.9569145802518646,0.3636888280199795,1.657582119840429,P15-21_rep2
Scml4.1,-1.0911466511991679,-0.9578812096016011,0.3199192485007434,1.6691057189704348,P15-21_rep2
Setdb2.2,-1.2323261683208138,-0.8806045186127421,0.38619109345268965,1.5934210018490695,P15-21_rep2
Sirt1.3,-1.3899028768782875,-0.7911278175058103,0.4479384375977975,1.4747539629653783,P15-21_rep2
Sirt1.1,-1.3321596880536266,-0.6996863235499283,-0.0669025632524125,1.563641178721955,P15-21_rep2
Smarca4.1,-1.2221878239368253,-0.9170847082222687,0.009980103923374013,1.5108355438984675,P15-21_rep2
Suv39h1.2,-1.3096394950005588,-0.6607553451857998,-0.3121480778130638,1.411280031276631,P15-21_rep2
Setd4.3,-0.9381345295884975,-0.44843559720237136,-1.0089575019687729,1.3233376347028758,P15-21_rep2
Sirt7.4,-0.7942594437528615,-0.753962923859218,-0.8859627132723087,1.3800855037046384,P15-21_rep2
Ube2b.2,-0.7161865314430521,-0.8283379964710414,-0.8449072398048338,1.5355770620648153,P15-21_rep2
Sp140.2,-0.6878473992676114,-0.8887374706545609,-0.856846110941044,1.3616865848402375,P15-21_rep2
Scml4.2,-0.7479684959303446,-0.9943379474469437,-0.6434854766281387,1.5025409776840595,P15-21_rep2
Setd1a.3,-1.0055660123672947,-0.8995070856601504,-0.4670180792554537,1.458267772340525,P15-21_rep2
Usp27x.2,-1.0544928210478,-0.9374691091424803,-0.3962921904122608,1.2057500395450342,P15-21_rep2
Smyd2.2,-1.1517933152543371,-0.8858241469960646,-0.32153642264770044,1.214921971308347,P15-21_rep2
Ube2b.4,-1.1579336211347349,-0.9008663572886182,-0.13125112770547595,0.6301380650098689,P15-21_rep2
Sirt3.4,-1.216861137449024,-0.8597951020929058,-0.11578196062637214,0.6700716717226683,P15-21_rep2
Taf3.1,-1.2653983146843277,-0.7190213636041721,-0.30335833590138833,0.849963010619059,P15-21_rep2
Whsc1l1.2,-1.1058795765107414,-0.7655560635272004,-0.5261021594912257,1.0572114140101228,P15-21_rep2
Satb1.3,-1.10386730659772,-0.7630886201358799,-0.3402222055914577,1.6726250598216854,P15-21_rep2
Smarcd3.3,-1.0590665339419996,-0.7545901251881576,-0.42868994955854933,1.6739560781584506,P15-21_rep2
Trim33.3,-1.3187362062106907,-0.60638050579314,-0.23195454996987722,1.5849723855549536,P15-21_rep2
Tcea1.3,-1.4511706857680604,-0.40094701301142827,-0.2710237280894924,1.512140637582519,P15-21_rep2
Satb1.2,-1.5985480518760682,-0.2669849255195908,-0.1634688160265294,1.3941171389348612,P15-21_rep2
Suv420h2.3,-1.630203504781798,-0.25029233500329806,-0.17104702110845998,1.2960667703659154,P15-21_rep2
Scml4.3,-1.6252830176126598,-0.1754250871249496,-0.25726660653525074,1.2971897871220766,P15-21_rep2
Smarca5.3,-1.6191880637763472,-0.10283373213764829,-0.3668739323293377,1.20462912660178,P15-21_rep2
Setd3.3,-1.7046298782639668,0.03279222128212411,-0.2859259002853956,1.1968140557488964,P15-21_rep2
Smarcc1.3,-1.7649611616087246,0.12945258586904,-0.2023967539510225,1.181861089550564,P15-21_rep2
Setd2.2,-1.5504292483300708,-0.6086354164244111,0.06552418016432855,1.1692095687007154,P15-21_rep2
Smyd4.1,-1.6350676437371612,-0.5276632925802904,0.2623538492718947,0.6555878210563604,P15-21_rep2
Setd7.2,-1.6522392528440935,-0.5172009761450387,0.3940485183175092,0.519370928344133,P15-21_rep2
Sirt3.2,-1.4311455926795305,-0.14219167397087445,-0.5872683871873262,0.7249077888837663,P15-21_rep2
Smarca1.1,-1.4665999466820117,-0.19598032569801538,-0.5124616402505073,0.7853159640057381,P15-21_rep2
Taf3.3,-1.339237803754676,-0.08644228812029278,-0.7885808315286563,0.8564968750575532,P15-21_rep2
Usp27x.4,-1.2588011920004056,0.1045862743500205,-0.9281701504610053,0.6082851212741113,P15-21_rep2
Scmh1.2,-1.2396080418044901,0.1601698494871871,-0.9666316848612889,0.5701885315800814,P15-21_rep2
Usp51.4,-1.4212440945891114,0.35742987120610004,-0.8768335413423841,0.6537680593430405,P15-21_rep2
Smarca4.4,-1.571995274410722,0.5286404440171949,-0.6526565047447128,0.4091535281557412,P15-21_rep2
Ube2b.3,-1.4229867845250337,0.7026747770306505,-0.8666113890290664,0.30808630952616967,P15-21_rep2
Wdr82.4,-1.435077165747484,0.7259795394093898,-0.8378264909785597,0.2659845244976087,P15-21_rep2
Wdr5.4,-1.4189912764138626,0.29897730269451783,-0.7570074635548597,0.4082224517182308,P15-21_rep2
Tcea1.4,-1.2560716104465492,0.10829535618293083,-0.8996028687925014,0.5210016529024873,P15-21_rep2
Scml2.1,-1.0953047623038865,-0.15691891096353527,-0.9507013885631762,0.6295454890425689,P15-21_rep2
Sirt6.1,-1.0420646583021216,-0.1889473112843127,-0.8819654339690957,0.39762590088835564,P15-21_rep2
Sirt7.1,-0.9995654288004405,-0.28227637532682004,-0.8679090297391521,0.420196643135733,P15-21_rep2
Supt16h.3,-0.800809503760231,-0.564382030839901,-0.8410560699920829,0.43266220656622256,P15-21_rep2
Smarca1.2,-0.7659914234892075,-0.650538175908723,-0.725684520119953,0.3066142438496921,P15-21_rep2
Trim33.4,-0.7264147370289629,-0.7930266147869011,-0.6645096424162685,0.3788708832623856,P15-21_rep2
Setmar.3,-0.8408051567952778,-0.684704182958039,-0.7076125273074785,0.47231923014136495,P15-21_rep2
Uhrf1.3,-0.9236076304016346,-0.6433292514886676,-0.6802029546050571,0.5130039359790789,P15-21_rep2
Trim33.2,-1.0259948532783956,-0.5311531222875021,-0.7793856230453685,0.763251772670196,P15-21_rep2
Smarca1.4,-1.0346998382576438,-0.5623551179717756,-0.7585208872474654,0.8148621356443926,P15-21_rep2
Sirt5.2,-0.6074040720798202,-0.9835854453050263,-0.4252625684922432,0.15661694846495214,P15-21_rep2
Setd8.4,-0.5901249420111593,-0.9984980074211838,-0.43816159787928183,0.17409468175961293,P15-21_rep2
Smarcc2.2,-0.8423424970918718,-0.789885328971336,-0.4544484597902261,0.24242993311374955,P15-21_rep2
Sin3b.1,-0.8281926885105457,-0.7420948420871896,-0.5186138296899641,0.23430335860483748,P15-21_rep2
Tet1.4,-0.8169121098175977,-0.6999959551249304,-0.5531187342929964,0.20008392396140917,P15-21_rep2
Smarcc2.3,-0.7067939843900846,-0.5208889717086213,-0.6159759631380465,-0.11502912533375034,P15-21_rep2
Uhrf1.2,-0.8383496120954314,-0.6984200571408853,-0.441635721384993,0.07890238869206688,P15-21_rep2
Ube2e1.3,-0.8096133110015749,-0.7019180785719225,-0.4939658267931588,0.10920915265930463,P15-21_rep2
Trim66.4,-0.7142004171242052,-0.6247609247655955,-0.7287758243254726,0.1880823055320329,P15-21_rep2
Usp27x.1,-0.6733090540413693,-0.659233369889644,-0.7699522919214699,0.24223631509649798,P15-21_rep2
Sin3a.4,-0.5373020865504148,-0.8870328742278191,-0.7236341513552967,0.3344079510148718,P15-21_rep2
Zmynd8.1,-0.3542588457721401,-1.0332796989198942,-0.6651572721087862,0.23337266313823818,P15-21_rep2
Setdb1.4,-0.35559389520200413,-0.998247059321855,-0.7092843041040784,0.2423450896559775,P15-21_rep2
