,,Experiment: 100U p1_1,Analysis: Analysis 1,User: Admin,Plate: 1,Plate Type: 96 Well,Plate Order: Row,Export Date: 4/20/2015,Export Time: 9:23:45 PM,,,,,,,,,,,,,,,,,,,,,,,,,
,,Well ID,Well Type,Count of singlets,Count of Amet+,Count of Amet+GFP+,Count of GFP+,GeoMean Alexa 700-A - CD44 of Amet+,GeoMean Alexa 700-A - CD44 of Amet+GFP+,GeoMean Alexa 700-A - CD44 of GFP+,GeoMean PerCP-Cy5-5-A - CD25 of Amet+,GeoMean PerCP-Cy5-5-A - CD25 of Amet+GFP+,GeoMean PerCP-Cy5-5-A - CD25 of GFP+,GeoMean PerCP-Cy5-5-A - CD25 of untransduced,Amet+CD62L+ as % of Amet+,Amet+GFP+CD62L as % of Amet+GFP+,GFP+CD62L+ as % of GFP+,CD62L+ as % of untransduced,GeoMean PE-Cy7-A - CXCR3 of Amet+,GeoMean PE-Cy7-A - CXCR3 of Amet+GFP+,GeoMean PE-Cy7-A - CXCR3 of GFP+,GeoMean PE-Cy7-A - CXCR3 of untransduced,Amet+CXCR3+ as % of Amet+,Amet+GFP+CXCR3+ as % of Amet+GFP+,GFP+CXCR3+ as % of GFP+,CXCR3+ as % of untransduced,Amet+CD103+ as % of Amet+,Amet+GFP+CD103+ as % of Amet+GFP+,GFP+CD103+ as % of GFP+,CD103+ as % of untransduced,GeoMean PE-A - CD127 of Amet+,GeoMean PE-A - CD127 of Amet+GFP+,GeoMean PE-A - CD127 of GFP+,GeoMean PE-A - CD127 of untransduced
B02,Actl6b.1,B02,Sample,12715,1283,1632,2211,3537.927134,2682.399522,2994.309573,2946.779908,6023.122281,7054.907779,2475.832697,17.30319564,25.49019608,30.93622795,20.77524651,150.3884231,31.75374304,21.32066234,97.88291996,21.979735,5.147058824,1.854364541,14.92689561,1.325019486,0.919117647,0.271370421,1.207072424,36.04712974,54.95558801,61.55844658,39.06713038
B03,Asxl3.1,B03,Sample,12816,2052,2715,1876,4101.320655,2660.589156,3341.083277,2363.96955,7463.963034,6606.644048,2177.228538,20.56530214,30.60773481,31.98294243,19.99556147,86.85982714,24.62544015,22.3074051,124.8649894,14.08382066,3.020257827,1.97228145,17.66533511,0.877192982,0.5893186,0.426439232,0.998668442,50.65892928,87.6792418,72.80144704,47.44984417
B04,Atad2.1,B04,Sample,12932,2554,2396,1685,4059.584405,2537.368739,3170.047883,2998.917556,8296.669243,7902.472741,2297.442747,20.47768207,30.71786311,30.56379822,22.29477612,66.37391619,20.1726762,19.63203583,88.5930145,13.03837118,2.712854758,1.18694362,13.57276119,0.743931088,0.751252087,0,0.862873134,42.91132129,82.13692567,68.14889148,39.56759511
B05,Asxl2.1,B05,Sample,13532,1096,1542,3389,4390.110485,3159.444884,3028.791149,1814.081381,6962.834627,7836.521418,2290.65965,21.53284672,31.19325551,30.89406905,21.2698968,105.9609447,23.20466146,19.44363322,97.33613724,20.52919708,4.150453956,1.681912068,16.5646318,0.729927007,0.389105058,0.501622898,1.066993178,34.66750699,69.37214249,68.01918791,36.39836283
B06,Aff4.1,B06,Sample,13174,641,863,3954,4542.55865,3031.561166,3104.558656,2352.44367,7095.111476,7392.986178,2136.924317,22.15288612,30.12746234,28.35103692,20.29032784,83.53933103,23.12321366,23.18449557,127.3581487,14.66458658,3.82387022,2.175012645,18.90393084,1.248049922,0.926998841,0.505816894,1.663676399,35.93691368,65.36752262,58.50701603,37.68262057
B07,Aurkb.1,B07,Sample,15161,5790,4266,591,4303.200735,2977.723918,3006.592725,2217.759839,7410.98779,6752.432619,1993.069626,22.1761658,29.30145335,36.88663283,22.55001695,65.85157362,23.04319292,16.95088571,103.7617193,11.67530225,2.812939522,0.676818951,17.36181757,0.984455959,0.445382091,0.507614213,1.492031197,35.3967767,63.91588013,49.36215152,33.26358336
B08,Atm.1,B08,Sample,14799,4026,3702,1338,3930.393855,2749.422764,3093.45369,2278.115717,6752.57455,6797.255673,1966.473441,22.15598609,33.60345759,34.45440957,20.70921986,59.26872682,16.93775038,17.02521985,92.44185188,12.04669647,2.242031334,1.34529148,16.43026005,1.415797317,0.513236089,0.224215247,0.85106383,33.24756874,55.27659542,58.00569261,33.74622067
B09,Ash2l.1,B09,Sample,12503,3724,2834,960,3349.420166,2702.787664,2924.821861,2777.775463,9641.899729,5837.067484,1941.220174,25.69817401,30.27522936,31.04166667,20.61324401,87.8749377,20.72765471,19.40414196,110.0879593,16.67561762,3.211009174,1.458333333,17.88198918,1.933404941,0.705716302,0.3125,1.417160526,36.09131132,70.10984811,51.48394598,33.72874551
B10,Aff1.1,B10,Sample,16873,3091,3190,2515,4349.166605,2627.729264,2740.975914,2302.452237,6704.30769,6936.255898,2069.548106,19.18472986,27.49216301,29.30417495,21.72071044,49.07594609,18.02628109,16.21312579,64.61129832,9.964412811,2.131661442,1.073558648,11.11292162,1.197023617,0.470219436,0.238568588,0.961381783,38.55632917,67.08256377,53.96868847,33.12754525
B11,Atr.1,B11,Sample,13753,1411,1662,2706,4224.253331,2933.658613,3177.586071,2758.610781,8048.621779,7623.210067,2116.419958,20.19844082,23.88688327,27.67923134,20.79106014,42.53695176,16.54507662,17.45584344,55.04581987,8.575478384,1.805054152,1.10864745,10.24849287,1.417434444,0.180505415,0.184774575,0.955741803,38.95544382,71.02797118,63.68259691,36.75264832
