,,Experiment: 100U p1_1,Analysis: Analysis 1,User: Admin,Plate: 7,Plate Type: 96 Well,Plate Order: Row,Export Date: 4/20/2015,Export Time: 9:26:44 PM,,,,,,,,,,,,,,,,,,,,,,,,,
,,Well ID,Well Type,Count of singlets,Count of Amet+,Count of Amet+GFP+,Count of GFP+,GeoMean Alexa 700-A - CD44 of Amet+,GeoMean Alexa 700-A - CD44 of Amet+GFP+,GeoMean Alexa 700-A - CD44 of GFP+,GeoMean PerCP-Cy5-5-A - CD25 of Amet+,GeoMean PerCP-Cy5-5-A - CD25 of Amet+GFP+,GeoMean PerCP-Cy5-5-A - CD25 of GFP+,GeoMean PerCP-Cy5-5-A - CD25 of untransduced,Amet+CD62L+ as % of Amet+,Amet+GFP+CD62L as % of Amet+GFP+,GFP+CD62L+ as % of GFP+,CD62L+ as % of untransduced,GeoMean PE-Cy7-A - CXCR3 of Amet+,GeoMean PE-Cy7-A - CXCR3 of Amet+GFP+,GeoMean PE-Cy7-A - CXCR3 of GFP+,GeoMean PE-Cy7-A - CXCR3 of untransduced,Amet+CXCR3+ as % of Amet+,Amet+GFP+CXCR3+ as % of Amet+GFP+,GFP+CXCR3+ as % of GFP+,CXCR3+ as % of untransduced,Amet+CD103+ as % of Amet+,Amet+GFP+CD103+ as % of Amet+GFP+,GFP+CD103+ as % of GFP+,CD103+ as % of untransduced,GeoMean PE-A - CD127 of Amet+,GeoMean PE-A - CD127 of Amet+GFP+,GeoMean PE-A - CD127 of GFP+,GeoMean PE-A - CD127 of untransduced
B02,Hdac7.1,B02,Sample,18582,1064,1423,4398,3576.047237,2459.782127,2730.918181,1812.425631,4709.655061,4760.155021,1658.10333,25.93984962,40.75895994,40.67758072,28.75268817,76.51665902,26.96358057,23.6956344,118.3083941,12.5,4.075895994,2.478399272,16.83870968,1.597744361,0.702740689,0.295588904,1.096774194,37.38758832,55.98860124,49.250509,33.10735024
B03,Ing4.1,B03,Sample,18110,4289,4026,1363,3559.382476,2729.359737,2764.065807,2162.70803,4728.337182,4498.544884,1732.37484,23.50198181,42.07650273,42.55319149,26.78128616,289.1162085,40.79203252,28.71394425,191.8061559,29.65726277,6.060606061,1.614086574,20.63150934,2.378176731,1.192250373,0.586940572,1.620102496,38.04726586,50.97240449,46.50492875,32.14476265
B04,Ing5.1,B04,Sample,19698,3996,4177,2405,3572.662323,2856.807616,3053.305258,2057.503322,4935.969618,5246.947166,1695.531835,22.17217217,32.36772803,42.41164241,28.70384918,94.7998813,28.73387361,25.94374326,165.3783752,13.96396396,2.968637778,1.995841996,19.71720346,0.725725726,0.670337563,0.332640333,1.03692066,42.45743914,63.57389813,51.33121522,36.96074887
B05,Ing3.1,B05,Sample,16051,1795,1357,2754,3702.492992,2640.021991,2987.610992,1620.687215,5571.358675,5394.955872,1775.60393,24.51253482,40.82535004,39.94190269,25.4016298,180.1296085,37.41507581,31.13319196,183.8092852,22.89693593,4.937361828,1.74291939,19.59254948,2.674094708,1.179071481,0.108932462,1.012805588,47.97015406,77.69150183,55.71678944,37.29210441
B06,Hdac9.1,B06,Sample,17980,12,16,4901,3818.774857,5603.897858,2812.021095,1966.501728,14597.68985,5554.962736,1827.293914,33.33333333,43.75,35.48255458,21.28081365,90.48035153,51.37853726,33.57184239,182.9289313,25,6.25,3.223831871,19.12601276,0,0,0.448887982,0.999827616,11.35765119,136.9556205,59.65925487,40.77678762
B07,Jmjd4.1,B07,Sample,15884,1645,2071,3059,4069.401027,3067.872741,3008.259816,2367.495205,6292.418829,5438.731342,1686.493882,18.96656535,31.43408981,38.11703171,24.04558405,157.9502568,29.89237744,34.39825469,186.3354918,18.8449848,3.814582327,2.549852893,20.27065527,0.729483283,0.386286818,0.490356326,1.566951567,49.16361029,76.60695369,63.70283089,44.48333387
B08,Jarid2.1,B08,Sample,15699,3404,3859,1637,3491.935763,2665.598313,3027.833264,2571.238748,6114.055812,5862.893974,2026.105563,23.97179788,40.9173361,36.95784973,24.21890547,224.4835958,33.42973983,40.90182691,222.2987254,22.12103408,2.928219746,1.588271228,22.70646766,1.263219741,0.544182431,0.305436775,1.134328358,42.38733938,70.98502837,61.23195595,41.68766632
B09,Hltf.1,B09,Sample,13918,1838,1612,2228,3600.159823,2678.667976,2859.995129,2822.326602,6338.645313,6082.060072,1943.234711,20.34820457,32.44416873,34.11131059,24.71875,206.3353729,33.17162576,32.21060093,186.9213695,24.7007617,5.64516129,1.570915619,19.390625,2.39390642,0.620347395,0.314183124,1.046875,50.94478395,84.82843281,65.04485721,41.12053117
B10,Hdac8.1,B10,Sample,14798,3715,3345,1301,2495.563726,1672.688225,2812.800191,2368.477665,6637.338005,5180.054702,1782.388058,18.25033647,28.31091181,36.35664873,23.18535662,296.0116275,35.19698028,33.99851552,207.5872539,27.83310902,3.467862481,1.383551115,19.71386493,2.422611036,0.717488789,0.307455803,1.030927835,43.8006055,67.40009136,65.10772865,43.02842907
B11,Jhdm1d.1,B11,Sample,16932,1659,1669,3504,3692.152769,2660.590883,2743.597559,2191.345226,5716.818683,5693.079256,1922.779676,22.00120555,35.65008987,36.55821918,23.26993584,133.0259239,43.60015237,35.67695252,200.449442,13.92405063,3.295386459,2.226027397,20.22227314,1.386377336,0.419412822,0.570776256,1.489459212,49.39875177,75.00199549,64.67393359,49.42209183
C02,Jarid2.2,C02,Sample,18392,275,790,5218,4219.838166,3380.933128,2696.916316,2854.065387,7944.643971,4590.063621,1655.20796,29.45454545,41.64556962,45.13223457,34.36016341,148.459978,22.98021801,23.91998836,159.2744022,17.09090909,2.53164557,2.10808739,19.07916529,1.818181818,0.632911392,0.402453047,0.861212322,51.73399745,99.72801755,50.8204541,34.21145416
C03,Hells.1,C03,Sample,14082,3963,3687,837,3653.924861,2431.787961,3089.134481,1681.389988,3905.911713,5815.43771,2007.667089,24.8549079,36.45240033,38.11230585,28.12803104,224.4459018,29.59182545,22.37042606,213.4456881,26.39414585,4.637917006,1.672640382,22.34076948,1.715871814,0.759425007,0.597371565,1.357904947,37.39737957,58.56292963,51.24149198,33.07727581
C04,Hdac7.2,C04,Sample,15709,2995,3039,2102,4214.089158,3128.194452,3137.747604,2230.360244,6120.811159,5015.843161,1935.944473,27.54590985,40.17769003,40.77069458,29.32104237,140.490528,27.60951917,29.19069923,196.1536251,17.76293823,3.027311616,1.760228354,22.28328311,1.168614357,0.493583416,0.095147479,0.921822372,40.28791208,69.71941221,58.7239866,38.85124681
C05,Jhdm1d.2,C05,Sample,17692,1073,1429,4427,4181.201853,2877.328775,3122.581013,2351.197616,6288.134028,5925.842396,2033.579354,27.02702703,36.17914626,38.60402078,25.74492099,156.9626093,36.01858556,35.39264295,183.5652438,19.47809879,4.828551435,3.004291845,20.25959368,1.770736253,0.699790063,0.632482494,1.151241535,39.86480441,69.84019945,63.33304877,41.1304098
C06,Ino80.1,C06,Sample,13290,3996,3104,978,4288.817832,3088.111064,3233.976445,2060.330333,5964.836779,5741.88554,1833.713721,21.47147147,34.69716495,34.5603272,24.40840202,165.6966324,38.8306624,40.78995926,233.9595821,17.36736737,2.609536082,0.920245399,21.64318001,0.775775776,0.257731959,0.511247444,0.877426216,45.82720625,69.31129537,58.45450916,43.91270953
