Well,shRNA,GeoMean Alexa 700-A - CD44 of Amet+GFP+,GeoMean PerCP-Cy5-5-A - CD25 of Amet+GFP+,Amet+GFP+CD62L as % of Amet+GFP+,GeoMean PE-Cy7-A - CXCR3 of Amet+GFP+,Amet+GFP+CXCR3+ as % of Amet+GFP+,Amet+GFP+CD103+ as % of Amet+GFP+,GeoMean PE-A - CD127 of Amet+GFP+
B02,,2972.88703,6932.89567,25.81602374,28.65152571,2.077151335,1.483679525,88.85325383
B03,,1703.916919,5899.980706,23.2,23.95412479,3.644444444,0.355555556,52.97340206
B04,,2393.965659,4475.356928,27.55555556,30.96448072,6.666666667,0.444444444,64.78597834
B05,,2129.965544,5820.301709,26.19363395,19.05477164,2.785145889,0.464190981,69.32937641
B06,,2587.866086,5410.493315,32.79172821,20.28065671,3.249630724,0.664697194,51.82442772
B07,,3446.515604,6141.16272,32.75193798,17.92381173,1.647286822,0.290697674,53.95082301
B08,,2947.341612,9384.535709,16.66666667,44.38270312,0,0,59.33805561
B09,,3325.148354,5925.8208,36.05749487,19.38404677,2.05338809,0.205338809,59.77179714
B10,,2702.512047,6755.570448,33.50327749,14.06933854,1.165331391,0.072833212,57.93965251
B11,,1305.919735,9558.847848,42.85714286,35.04273983,7.142857143,0,57.88043953
C02,,2713.466547,8041.601686,29.63671128,23.32466501,2.485659656,0.191204589,65.16201038
C03,,2766.484101,6744.658119,27.77501244,25.933993,2.837232454,0.149328024,67.96809421
C04,,3243.874729,6128.997094,34.09893993,25.94588466,2.650176678,0.883392226,54.25232221
C05,,2290.34986,7705.89243,30.07103394,18.55390721,1.736385162,0.394632991,51.44821822
C06,,1919.377004,6130.327301,31.97026022,29.3604509,3.717472119,1.115241636,55.62072902
C07,,2526.785867,6530.337181,31.66114529,17.81631709,2.035021297,0.236630383,53.30376361
C08,,2896.688306,5940.805648,66.66666667,82.81169065,8.333333333,0,54.24748194
C09,,1712.220269,6139.17511,25.64469914,18.01994553,1.790830946,0.286532951,44.06155673
C10,,2338.303158,5562.505089,35.50420168,16.51710575,2.31092437,0.840336134,57.11746342
C11,,3752.779418,7309.764259,36.67820069,19.06902301,1.730103806,0.346020761,64.51236857
D02,,2098.950872,5390.230997,23.89891697,27.5105075,3.971119134,0.866425993,65.98505007
D03,,2532.362479,6797.407439,27.12871287,26.95293935,4.224422442,0.726072607,59.18162806
D04,,2868.883145,6964.71236,34.34343434,25.56601918,1.795735129,0,76.91428285
D05,,2673.684492,7032.683269,39.58468527,16.99469783,2.011680727,0.58403634,68.97925706
