Well,shRNA,GeoMean Alexa 700-A - CD44 of Amet+,GeoMean PerCP-Cy5-5-A - CD25 of Amet+,Amet+CD62L+ as % of Amet+,GeoMean PE-Cy7-A - CXCR3 of Amet+,Amet+CXCR3+ as % of Amet+,Amet+CD103+ as % of Amet+,GeoMean PE-A - CD127 of Amet+
B02,Dub2a.1,4690.865982,2031.286107,24.07063197,39.34804054,7.899628253,1.394052045,39.81591448
B03,Epc1.1,4490.53038,1629.992002,24.39932318,109.7901437,19.32318105,1.319796954,43.63307308
B04,Epc2.1,3869.577738,1897.395302,27.16378162,52.88752672,9.409675988,0.621393697,28.43323829
B05,Ep400.1,4118.944776,702.4182253,22.4647325,149.7006427,23.55602875,1.543784935,43.35930335
B06,Ehmt1.1,5023.13907,2321.790587,24.45710217,58.53517007,9.398362407,0.996796013,40.05474703
B07,Fbxo44.1,3287.295568,1608.660852,22.71407837,99.3859275,16.32801161,1.015965167,39.19495561
B08,Ezh1.1,5626.285821,5707.207153,0,137.9148239,0,0,95.19990442
B09,Elp4.1,4322.241787,2365.81252,21.40820981,68.20374244,8.608893957,0.370581528,41.60372606
B10,Eed.1,5996.881944,2304.084696,12.68221574,77.02332953,12.39067055,3.935860058,64.12628972
B11,Ezh2.1,6877.913092,3110.897942,21.89054726,61.96592701,10.94527363,1.492537313,63.7264924
C02,Ezh1.2,3944.84643,1607.27032,26.04239055,86.259467,15.58373871,1.546212648,32.95243499
C03,Ehmt2.1,5608.517597,2467.009686,25.38783551,72.51311174,12.3861118,0.615611918,42.30510572
C04,Dub2a.2,4270.511974,2727.946186,16.82926829,71.40132181,12.92682927,1.951219512,36.94470973
C05,Ezh2.2,5361.217759,2268.062856,26.98485544,87.61579218,15.14456173,1.147315282,49.01283564
C06,Ercc5.1,4949.978015,2513.851398,23.84833451,69.07052461,12.54429483,0.566973777,39.5965784
C07,Epc2.2,4898.87829,1422.562284,14.66978375,93.49639253,14.6113384,1.636469901,43.11467181
C08,Ehmt1.2,4334.718354,2112.781491,20.05813953,88.39317676,14.49335548,0.664451827,50.7545089
C09,Fbxl19.1,5473.028357,2563.109234,20.0430519,71.37500576,9.901937336,0.502272184,52.35973013
C10,Epc1.2,5496.671076,2451.943783,19.45854484,72.64154485,9.983079526,0.338409475,64.52916154
C11,Ep300.1,2637.849853,1616.773633,41.66666667,202.4657351,25,0,19.90126503
D02,Eed.2,3853.154917,1947.799392,17.32954545,135.1089573,19.6969697,1.515151515,39.10901484
D03,Fbxl19.2,5409.896743,2609.240068,23.04147465,69.54583916,13.47040057,1.098901099,43.12810262
D04,Epc1.3,4641.908966,1847.590247,20.26706231,80.73901799,17.35905045,1.602373887,42.17215419
D05,Elp3.1,4568.246225,3026.895228,15.74167508,89.42652199,16.85166498,1.513622603,37.56019356
D06,Ehmt2.2,4261.157096,1931.281521,17.43327655,85.68165806,16.46791596,1.078932425,33.44854625
D07,Fbxl19.3,5100.399931,2791.290114,19.11468813,88.0806074,15.09054326,1.408450704,47.67997708
D08,Ercc5.2,4637.098206,1975.378632,18.42105263,94.95112941,15.33180778,0.686498856,44.11169306
D09,Elp4.2,3722.488719,2764.894508,13.52299299,221.3968935,27.63055339,2.572096648,47.61273932
D10,Dub2a.3,5387.058177,2607.584991,16.4791901,98.52959691,13.3295838,1.293588301,53.22630751
D11,Fbxo44.2,4639.305616,3198.752251,19.72284088,63.70470375,9.849047266,0.569166048,42.90690122
E02,Ep300.2,1998.855571,1702.517129,17.20969089,186.1432049,23.1411863,1.169590643,28.18548249
E03,Ep400.2,5911.221075,4292.490822,17.67955801,160.8758164,16.57458564,0.552486188,64.83191385
E04,Dub2a.4,4296.62954,2337.720333,13.0952381,120.8346822,18.65079365,1.587301587,41.03080022
E05,Ezh1.3,4501.788912,3101.603509,20.84639498,226.6006015,31.81818182,1.724137931,55.54798489
E06,Epc2.3,4869.346168,1797.947051,17.52232143,156.090433,22.87946429,2.260044643,47.45200766
E07,Elp3.2,4915.725747,3060.070427,20.92651757,103.3795245,15.89456869,0.878594249,42.73435484
E08,Eed.3,6484.379878,2441.667935,25.72972973,82.8550805,11.51351351,2,55.67202784
E09,Ezh2.3,6128.975483,2110.899651,29.81651376,78.85533366,11.05087573,1.000834028,40.06890989
