NA,NA,Experiment: 100U p1_1,Analysis: Analysis 1,User: Admin,Plate: 2,Plate Type: 96 Well,Plate Order: Row,Export Date: 12/21/2015,Export Time: 5:15:47 PM,,,,,,,,,,,,,,,,,,,,,,,,,
,,Well ID,Well Type,Count of singlets,Count of Amet+,Count of Amet+GFP+,Count of GFP+,GeoMean Alexa 700-A - CD44 of Amet+,GeoMean Alexa 700-A - CD44 of Amet+GFP+,GeoMean Alexa 700-A - CD44 of GFP+,GeoMean PerCP-Cy5-5-A - CD25 of Amet+,GeoMean PerCP-Cy5-5-A - CD25 of Amet+GFP+,GeoMean PerCP-Cy5-5-A - CD25 of GFP+,GeoMean PerCP-Cy5-5-A - CD25 of untransduced,Amet+CD62L+ as % of Amet+,Amet+GFP+CD62L as % of Amet+GFP+,GFP+CD62L+ as % of GFP+,CD62L+ as % of untransduced,GeoMean PE-Cy7-A - CXCR3 of Amet+,GeoMean PE-Cy7-A - CXCR3 of Amet+GFP+,GeoMean PE-Cy7-A - CXCR3 of GFP+,GeoMean PE-Cy7-A - CXCR3 of untransduced,Amet+CXCR3+ as % of Amet+,Amet+GFP+CXCR3+ as % of Amet+GFP+,GFP+CXCR3+ as % of GFP+,CXCR3+ as % of untransduced,Amet+CD103+ as % of Amet+,Amet+GFP+CD103+ as % of Amet+GFP+,GFP+CD103+ as % of GFP+,CD103+ as % of untransduced,GeoMean PE-A - CD127 of Amet+,GeoMean PE-A - CD127 of Amet+GFP+,GeoMean PE-A - CD127 of GFP+,GeoMean PE-A - CD127 of untransduced
,,C09,Sample,13386,1501,1396,2630,3655.456673,1712.220269,2966.114465,1636.443404,6139.17511,6454.366297,1755.328326,16.58894071,25.64469914,36.34980989,25.58278542,51.00841331,18.01994553,16.45736797,51.6454206,9.260493005,1.790830946,0.950570342,7.964734011,0.532978015,0.286532951,0.266159696,0.373580395,35.24012166,44.06155673,55.45982761,33.79439931
,,C10,Sample,16834,559,476,3856,3772.311251,2338.303158,2918.810951,1224.299511,5562.505089,5724.960269,1631.58276,21.10912343,35.50420168,32.5466805,24.65329835,43.21028144,16.51710575,16.0398543,40.62044218,8.765652952,2.31092437,0.726141079,6.212518741,0.53667263,0.840336134,0.15560166,0.412293853,29.57991113,57.11746342,55.49953002,33.97384961
,,C11,Sample,15184,534,289,3048,5186.763267,3752.779418,2710.438716,2300.269225,7309.764259,6281.515529,1881.603414,23.22097378,36.67820069,32.02099738,19.08552568,30.81387962,19.06902301,18.57448201,42.18388509,3.745318352,1.730103806,0.95144357,5.863508397,0,0.346020761,0.164041995,0.300941656,38.38733179,64.51236857,58.87754839,35.59889985
,,D02,Sample,6099,1713,1385,354,3634.146141,2098.950872,2550.444378,1662.180184,5390.230997,5953.027564,1932.445841,14.36077058,23.89891697,35.31073446,20.61688312,157.5692546,27.5105075,21.98016606,112.0430627,20.37361354,3.971119134,1.694915254,14.66450216,2.276707531,0.866425993,0.282485876,1.19047619,36.65876429,65.98505007,55.57543038,36.82757551
,,D03,Sample,12928,1926,1515,2529,3492.817184,2532.362479,2958.635367,1722.139537,6797.407439,6496.952987,1811.585477,19.6780893,27.12871287,32.81929616,20.34542314,111.9493623,26.95293935,25.25262478,107.2844861,15.83592939,4.224422442,1.700276789,14.80138169,0.986500519,0.726072607,0.158165283,0.967184801,37.07633624,59.18162806,58.86533309,36.70178597
,,D04,Sample,4644,923,891,787,4046.409284,2868.883145,3339.2773,1579.183971,6964.71236,6544.079089,1894.578322,20.04333694,34.34343434,35.06988564,21.13583138,105.3170501,25.56601918,21.5723885,103.3893144,16.90140845,1.795735129,1.016518424,14.63700234,0.325027086,0,0.254129606,0.585480094,44.34119273,76.91428285,68.98671499,44.54466356
,,D05,Sample,9698,1209,1541,2090,4252.391865,2673.684492,3038.803103,1925.312339,7032.683269,6620.371617,1750.197099,24.7311828,39.58468527,33.11004785,24.70163752,52.94482045,16.99469783,18.67441839,77.1204662,8.436724566,2.011680727,1.004784689,12.43408271,1.240694789,0.58403634,0.33492823,0.693866223,40.61501256,68.97925706,61.58787695,36.66236152
,,D06,Sample,9863,1548,1907,1833,4522.30444,2978.429697,2888.538075,2032.153213,7996.212717,6626.97227,1847.650302,25.7751938,34.34714211,34.47899618,20.88505127,66.38455477,19.32551046,16.06754325,87.60450191,12.14470284,2.621919245,0.981996727,13.572585,1.162790698,0.314630309,0.163666121,0.782514841,37.83382592,71.44782897,52.2418281,31.86606913
,,D07,Sample,9121,451,702,2685,4635.36668,3359.06244,2952.750973,2743.028281,7498.158324,6023.196668,1743.299822,18.62527716,34.33048433,35.82867784,25.07042254,75.14691772,24.29707068,17.65247623,77.90014381,14.19068736,4.131054131,1.415270019,12.13828425,0.88691796,0.427350427,0.223463687,0.640204866,43.36947751,91.62954394,59.40423926,37.40147571
,,D08,Sample,10140,96,168,3214,660.1969659,862.5992359,1931.825087,2071.921737,6900.46627,6614.362013,1925.536773,27.08333333,45.23809524,37.55444928,25.12838069,86.83747408,24.63527881,18.35401846,61.69016657,15.625,4.761904762,1.213441195,8.781239302,2.083333333,2.380952381,0.217797138,0.376583362,47.32757191,61.50516406,66.30630008,43.49893753
,,D09,Sample,9451,1511,1220,1597,4516.718294,3061.053847,2990.275628,1823.232293,6613.845656,6426.969173,1698.269276,24.35473197,36.8852459,36.94427051,25.11715089,62.39516269,20.28064092,17.92838687,61.00416792,10.12574454,2.213114754,0.751408892,8.692596064,0.397088021,0.573770492,0.125234815,0.468603561,42.76864429,62.85524793,58.97518584,34.32821185
,,D10,Sample,15201,2395,2253,2510,4631.333601,3145.186745,2813.783074,2209.246453,7616.814512,5844.69507,1632.220137,20.12526096,36.61784288,38.92430279,27.79552716,30.08916108,15.46004653,13.14223045,43.32289203,5.970772443,1.464713715,0.637450199,7.135250266,0.292275574,0.22192632,0.15936255,0.486840103,35.24994418,58.63101714,48.80854722,31.20756734
,,D11,Sample,14529,786,668,3313,4424.438116,3239.467709,2879.509794,1639.989534,6346.599499,6099.206236,1649.973103,22.7735369,34.13173653,35.73800181,26.51908221,37.23650535,13.70887094,15.83011225,38.44157878,5.852417303,1.646706587,1.207364926,6.422229909,0.636132316,0.149700599,0.181104739,0.392021215,39.86924153,65.1386179,61.50248347,35.12383197
,,E02,Sample,7369,105,223,2029,5037.496364,2962.230067,3040.041413,1959.909733,6152.918096,7215.051707,1984.608905,13.33333333,29.14798206,31.78905865,19.63589077,56.20740716,16.57111741,23.01015953,81.42267716,14.28571429,5.381165919,2.020699852,11.78153446,2.857142857,0,0.640709709,0.676202861,55.24445171,74.55403896,73.78143268,44.00771163
